case,policy,task_offset,max_tasks,fault_edges,fault_windows,python_planned,cpp_planned,python_unplanned,cpp_unplanned,python_decisions,cpp_decisions,python_conflicts,cpp_conflicts,mean_travel_abs_diff,makespan_abs_diff,python_trace_rows,cpp_trace_rows,summary_match,trace_match,strict_parity_pass,first_mismatch_status,first_mismatch_decision,first_mismatch_field,python_value,cpp_value
legacy_first16,edge_score_event,0,16,none,none,16,16,0,0,173,173,0,0,0.0,0.0,173,173,True,True,True,match,,none,,
legacy_first16,fallback_event,0,16,none,none,15,15,1,1,168,168,0,0,0.0,0.0,168,168,True,True,True,match,,none,,
legacy_offset32_static_fault,edge_score_event,32,16,16->17,none,12,12,4,4,205,205,0,0,0.0,0.0,205,205,True,True,True,match,,none,,
legacy_offset32_static_fault,fallback_event,32,16,16->17,none,12,12,4,4,193,193,0,0,0.0,0.0,193,193,True,True,True,match,,none,,
legacy_offset64_repair_window,edge_score_event,64,16,none,"28->47@[0.000,12000.000)",9,9,7,7,150,150,0,0,0.0,0.0,150,150,True,True,True,match,,none,,
legacy_offset64_repair_window,fallback_event,64,16,none,"28->47@[0.000,12000.000)",8,8,8,8,157,157,0,0,0.0,0.0,157,157,True,True,True,match,,none,,
