schema,kind,rule,split,description,parameters,row_count,activation_count,activation_coverage,beneficial_activation_count,harmful_activation_count,neutral_activation_count,beneficial_precision,beneficial_recall,harmful_activation_rate,high_confidence_harmful_precision,neutral_activation_rate,target_panel_abstention_rate,direct_benefit_sum_seconds,direct_benefit_mean_seconds,risk_adjusted_utility_sum_seconds,risk_adjusted_utility_mean_seconds,risk_adjusted_utility_lcb_seconds,externality_cvar95_mean_seconds,externality_cvar95_max_seconds
czr005.g4irsf16.rule_ab.v1,I3,R0,train,never override; exact frozen F2,{},654,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,
czr005.g4irsf16.rule_ab.v1,I3,R1,train,permit only improving static potential,{},654,62,0.09480122324159021,0,62,0,0.0,0.0,0.09480122324159021,1.0,0.0,0.9051987767584098,-5281.278029999834,-85.18190370967474,-5340.985288902846,-86.14492401456204,-90.27270555882754,6.588759499999651,54.03688499999771
czr005.g4irsf16.rule_ab.v1,I3,R2,train,static potential plus low local queue/calendar risk,{},654,40,0.06116207951070336,0,40,0,0.0,0.0,0.06116207951070336,1.0,0.0,0.9388379204892966,-3383.9560799998944,-84.59890199999737,-3441.0804520454467,-86.02701130113617,-91.21625241487494,9.40812071428549,54.03688499999771
czr005.g4irsf16.rule_ab.v1,I3,R3,train,"train-only verified ID-free subgroup task_class/node_type=('storage_in', 4)",{},654,62,0.09480122324159021,0,62,0,0.0,0.0,0.09480122324159021,1.0,0.0,0.9051987767584098,-5281.278029999834,-85.18190370967474,-5340.985288902846,-86.14492401456204,-90.27270555882754,6.588759499999651,54.03688499999771
czr005.g4irsf16.rule_ab.v1,I3,R4,train,ID-free conservative potential/slack/margin/fault rule,{},654,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,
czr005.g4irsf16.rule_ab.v1,I3,R0,calibration,never override; exact frozen F2,{},165,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,
czr005.g4irsf16.rule_ab.v1,I3,R1,calibration,permit only improving static potential,{},165,20,0.12121212121212122,0,20,0,0.0,0.0,0.12121212121212122,1.0,0.0,0.8787878787878788,-1659.42222999996,-82.971111499998,-1659.42222999996,-82.971111499998,-87.81913345635252,0.0,0.0
czr005.g4irsf16.rule_ab.v1,I3,R2,calibration,static potential plus low local queue/calendar risk,{},165,14,0.08484848484848485,0,14,0,0.0,0.0,0.08484848484848485,1.0,0.0,0.9151515151515152,-1147.2245199999888,-81.94460857142778,-1147.2245199999888,-81.94460857142778,-85.50445263063155,,
czr005.g4irsf16.rule_ab.v1,I3,R3,calibration,"train-only verified ID-free subgroup task_class/node_type=('storage_in', 4)",{},165,20,0.12121212121212122,0,20,0,0.0,0.0,0.12121212121212122,1.0,0.0,0.8787878787878788,-1659.42222999996,-82.971111499998,-1659.42222999996,-82.971111499998,-87.81913345635252,0.0,0.0
czr005.g4irsf16.rule_ab.v1,I3,R4,calibration,ID-free conservative potential/slack/margin/fault rule,{},165,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,
czr005.g4irsf16.rule_ab.v1,I3,R0,validation,never override; exact frozen F2,{},150,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,
czr005.g4irsf16.rule_ab.v1,I3,R1,validation,permit only improving static potential,{},150,8,0.05333333333333334,0,8,0,0.0,0.0,0.05333333333333334,1.0,0.0,0.9466666666666667,-617.4013999999625,-77.1751749999953,-617.4013999999625,-77.1751749999953,-79.36371613138861,0.0,0.0
czr005.g4irsf16.rule_ab.v1,I3,R2,validation,static potential plus low local queue/calendar risk,{},150,6,0.04,0,6,0,0.0,0.0,0.04,1.0,0.0,0.96,-464.3498799999652,-77.39164666666086,-464.3498799999652,-77.39164666666086,-80.33864318453828,0.0,0.0
czr005.g4irsf16.rule_ab.v1,I3,R3,validation,"train-only verified ID-free subgroup task_class/node_type=('storage_in', 4)",{},150,8,0.05333333333333334,0,8,0,0.0,0.0,0.05333333333333334,1.0,0.0,0.9466666666666667,-617.4013999999625,-77.1751749999953,-617.4013999999625,-77.1751749999953,-79.36371613138861,0.0,0.0
czr005.g4irsf16.rule_ab.v1,I3,R4,validation,ID-free conservative potential/slack/margin/fault rule,{},150,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,
