label_type,hardcase_reason,count,training_use
MOVE_TO_NEXT_CIE,conservative_fallback,3609,risk_calibration_candidate
MOVE_TO_NEXT_CIE,would_model_be_wrong_without_fallback,1771,positive_hardcase_candidate
