round,mode,mean_seconds,delta_vs_round0_seconds,speedup_vs_round0,planned_count,scope_total,node_window_conflicts,runtime_full_cie_astar_calls,notes
round0_debug_trace_payload,cpp_trace500_tasks_profile_off,0.44381448,0,1,4449,4449,0,0,G4I-style task payload and trace sample.
round1_summary_payload,cpp_trace0_summary_profile_off,0.41133962,-0.03247486,1.07894902,4449,4449,0,0,Remove task/trace payload from timed path.
round2_edge_diag_off,cpp_no_edge_diag_trace0_summary,0.39282838,-0.0509861,1.1297923,4449,4449,0,0,Disable diagnostic-only edge overlap scan.
round3_final_scan_off,cpp_no_final_scan_trace0_summary,0.39568538,-0.0481291,1.12163477,4449,4449,0,0,Disable final full conflict scan for latency isolation.
round4_combined_latency_floor,cpp_no_edge_diag_no_final_scan_trace0_summary,0.38162104,-0.06219344,1.16297173,4449,4449,0,0,Combined latency floor; not the standalone safety-reporting mode.
