source_file,schema,status,map,scale,policy,policy_label,potential,potential_label,dynamic,cell_id,release_mode,coordination_protocol,binary_sha256,workload_sha256,integrity_pass,population_segment_count,completed_segment_count,population_raw_bag_count,completed_raw_bag_count,completion_rate,full_population_complete,timing_status,population_latency_mean_seconds,population_latency_p95_seconds,population_latency_p99_seconds,population_latency_max_seconds,business_on_time_raw_bag_count,business_on_time_rate,business_missed_raw_bag_count,business_missed_rate,business_fixed_horizon_tardiness_sum_seconds,business_fixed_horizon_tardiness_mean_seconds,business_fixed_horizon_tardiness_p95_seconds,business_fixed_horizon_tardiness_p99_seconds,business_fixed_horizon_tardiness_max_seconds,business_time_to_90_percent_status,business_time_to_90_percent_elapsed_seconds,business_time_to_95_percent_status,business_time_to_95_percent_elapsed_seconds,business_time_to_99_percent_status,business_time_to_99_percent_elapsed_seconds,business_raw_total_backlog_area_seconds,business_raw_total_backlog_area_legacy_seconds,business_raw_total_backlog_area_status,business_raw_total_backlog_area_method,business_raw_total_backlog_peak,business_raw_total_backlog_end,business_raw_source_backlog_area_seconds,business_raw_source_backlog_area_legacy_seconds,business_raw_source_backlog_area_status,business_raw_source_backlog_area_method,business_raw_source_backlog_peak,business_raw_source_backlog_end,business_raw_network_backlog_area_seconds,business_raw_network_backlog_area_legacy_seconds,business_raw_network_backlog_area_status,business_raw_network_backlog_area_method,business_raw_network_backlog_peak,business_raw_network_backlog_end,pre_feasibility_component_raw_argmin_counterfactual_scope,pre_feasibility_component_raw_argmin_change_count_total,wall_seconds,cpu_seconds
C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_heterogeneity_factorial\s4\P0D1\map2_1x.json,czr005.cie_potential_factorial.single_cell.v1,COMPLETE,map2,1,s4,G31_S4_NEUTRAL_FIFO,ff,H_FF,full,P0D1,same_hca,neutral_fifo,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,True,43603,43603,28506,28506,1.0,True,FULL_POPULATION_RAW_BAG_TIMING,697.9824073177596,4573.664499999997,5754.594499999996,6130.001999999993,28153,0.9876166421104329,353,0.012383357889567126,283804.50299999904,9.955956745948187,0.0,146.94599999999744,2930.001000000004,REACHED,63229.355547000014,REACHED,67299.15554700002,REACHED,71140.35554700001,76857416.21905257,76857416.21905257,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,2518,0,66873538.213052414,66873538.213052414,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,2193,0,9983878.006000012,9983878.006000012,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,803,0,same_state_pre_feasibility_raw_scorer;full_mask15_vs_one_term_removed,2948,33.07998250005767,32.390625
C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_heterogeneity_factorial\s4\P0D0\map2_1x.json,czr005.cie_potential_factorial.single_cell.v1,COMPLETE,map2,1,s4,G31_S4_NEUTRAL_FIFO,ff,H_FF,off,P0D0,same_hca,neutral_fifo,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,True,43603,43603,28506,28506,1.0,True,FULL_POPULATION_RAW_BAG_TIMING,714.9629903529101,4718.850999999995,5923.534499999996,6355.601999999999,28117,0.9863537500877009,389,0.013646249912299124,279094.33899999893,9.790722619799302,0.0,208.9934999999966,3046.6509999999944,REACHED,63258.65554700003,REACHED,67299.15554700002,REACHED,71140.35554700001,77208567.41905305,77208567.41905305,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,2536,0,66873538.213052414,66873538.213052414,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,2193,0,10335029.205999888,10335029.205999888,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,829,0,same_state_pre_feasibility_raw_scorer;full_mask15_vs_one_term_removed,6441,33.64509810018353,32.859375
C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_heterogeneity_factorial\s4\P1D1\map2_1x.json,czr005.cie_potential_factorial.single_cell.v1,COMPLETE,map2,1,s4,G31_S4_NEUTRAL_FIFO,sa,H_SA,full,P1D1,same_hca,neutral_fifo,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,True,43603,43603,28506,28506,1.0,True,FULL_POPULATION_RAW_BAG_TIMING,629.2717727145179,3916.601999999989,5546.991999999994,5865.251999999993,28317,0.9933698168806567,189,0.006630183119343269,165000.58899999957,5.788275766505282,0.0,0.0,2771.201000000001,REACHED,63161.75554700002,REACHED,67299.15554700002,REACHED,71129.55554700003,75592747.66905193,75592747.66905193,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,2489,0,66873538.213052414,66873538.213052414,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,2193,0,8719209.456000026,8719209.456000026,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,675,0,same_state_pre_feasibility_raw_scorer;full_mask15_vs_one_term_removed,3326,38.71494289999828,37.609375
C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_heterogeneity_factorial\s4\P1D0\map2_1x.json,czr005.cie_potential_factorial.single_cell.v1,COMPLETE,map2,1,s4,G31_S4_NEUTRAL_FIFO,sa,H_SA,off,P1D0,same_hca,neutral_fifo,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,True,43603,43603,28506,28506,1.0,True,FULL_POPULATION_RAW_BAG_TIMING,609.3015208377203,3770.801999999996,5772.204499999994,6110.351999999995,28370,0.99522907458079,136,0.0047709254192099815,71691.0359999998,2.514945485161012,0.0,0.0,2968.6509999999944,REACHED,63143.75554700002,REACHED,67299.15554700002,REACHED,71129.55554700003,75176947.5690522,75176947.5690522,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,2471,0,66873538.213052414,66873538.213052414,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,2193,0,8303409.3559999615,8303409.3559999615,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,642,0,same_state_pre_feasibility_raw_scorer;full_mask15_vs_one_term_removed,5527,36.9047908000648,35.75
C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_heterogeneity_factorial\s4\P0D1\nanning_1x.json,czr005.cie_potential_factorial.single_cell.v1,COMPLETE,nanning,1,s4,G31_S4_NEUTRAL_FIFO,ff,H_FF,full,P0D1,same_hca,neutral_fifo,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,f167648ca524770b48465c66eaa7a548390f31e35815fb9c73accff68520c3a1,True,43603,43603,28506,28506,1.0,True,FULL_POPULATION_RAW_BAG_TIMING,9315.001184206863,36276.34125000007,40548.60770000002,44676.960000000196,10532,0.36946607731705605,17974,0.630533922682944,268236279.21100083,9409.818256191707,39478.06700000007,54719.65540000016,58950.564000000115,REACHED,78780.78354700013,REACHED,83581.23054700019,REACHED,88184.31454700018,389796477.6680566,389796477.6680566,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,7620,0,187671514.9260533,187671514.9260533,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,3477,0,202124962.74200115,202124962.74200115,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,5205,0,same_state_pre_feasibility_raw_scorer;full_mask15_vs_one_term_removed,223379,254.74884849996306,247.4375
C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_heterogeneity_factorial\s4\P0D0\nanning_1x.json,czr005.cie_potential_factorial.single_cell.v1,COMPLETE,nanning,1,s4,G31_S4_NEUTRAL_FIFO,ff,H_FF,off,P0D0,same_hca,neutral_fifo,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,f167648ca524770b48465c66eaa7a548390f31e35815fb9c73accff68520c3a1,True,43603,39047,28506,24107,0.8456816108889357,False,NOT_MEASURED_FULL_POPULATION_INCOMPLETE,,,,,10212,0.3582403704483267,18294,0.6417596295516733,415838195.1420001,14587.742760892446,44559.0,67059.0,71559.0,NOT_REACHED,,NOT_REACHED,,NOT_REACHED,,538123736.5740536,538107257.9200536,EXACT_LEGACY_TAIL_CORRECTED_V1,LEGACY_PLUS_EXACT_FIXED_HORIZON_TAIL_V1,9606,4399,187678624.9200533,187678624.9200533,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,3477,0,350445111.65400076,350428633.0000008,EXACT_LEGACY_TAIL_CORRECTED_V1,LEGACY_PLUS_EXACT_FIXED_HORIZON_TAIL_V1,7631,4399,same_state_pre_feasibility_raw_scorer;full_mask15_vs_one_term_removed,169100,425.83859400008805,415.46875
C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_heterogeneity_factorial\s4\P1D1\nanning_1x.json,czr005.cie_potential_factorial.single_cell.v1,COMPLETE,nanning,1,s4,G31_S4_NEUTRAL_FIFO,sa,H_SA,full,P1D1,same_hca,neutral_fifo,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,f167648ca524770b48465c66eaa7a548390f31e35815fb9c73accff68520c3a1,True,43603,43603,28506,28506,1.0,True,FULL_POPULATION_RAW_BAG_TIMING,8850.43536241495,34110.62300000003,38334.594150000004,41779.0110000001,10575,0.3709745316775416,17931,0.6290254683224584,256737590.62500057,9006.440420437822,38434.45700000014,54425.10265000009,58702.90900000006,REACHED,78230.17354700009,REACHED,83570.25554700015,REACHED,88141.21154700014,377750444.3830502,377750444.3830502,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,7388,0,187672286.74305305,187672286.74305305,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,3477,0,190078157.63999963,190078157.63999963,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,4905,0,same_state_pre_feasibility_raw_scorer;full_mask15_vs_one_term_removed,156815,244.40349519997835,237.46875
C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_heterogeneity_factorial\s4\P1D0\nanning_1x.json,czr005.cie_potential_factorial.single_cell.v1,COMPLETE,nanning,1,s4,G31_S4_NEUTRAL_FIFO,sa,H_SA,off,P1D0,same_hca,neutral_fifo,085a87615d5cd9a38fa3c7e5a26249ea99593d1a9277d064dd5a309a03452aca,f167648ca524770b48465c66eaa7a548390f31e35815fb9c73accff68520c3a1,True,43603,43603,28506,28506,1.0,True,FULL_POPULATION_RAW_BAG_TIMING,9296.634787869243,34536.68400000007,38595.46399999999,42520.40100000013,10326,0.3622395285203115,18180,0.6377604714796885,264981878.8010006,9295.652802953786,39402.676500000125,55784.43640000013,60006.30500000011,REACHED,79556.5235470001,REACHED,84559.80554700013,REACHED,88432.66954700011,387389376.4850539,387389376.4850539,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,7514,0,187672622.19905323,187672622.19905323,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,3477,0,199716754.2860005,199716754.2860005,EXACT_LEGACY_ZERO_END_BACKLOG,LEGACY_LAST_EVENT_EQUIVALENT_AT_ZERO_END_BACKLOG,4927,0,same_state_pre_feasibility_raw_scorer;full_mask15_vs_one_term_removed,188404,254.4600819000043,248.734375
