family,row_count,top1_accuracy,mean_system_utility,mean_regret,p95_regret,mean_advantage_vs_baseline,beneficial_override_rate,harmful_override_rate
FIFO,34,0.9411764705882353,0.0,0.11029411764705882,0.34999999999999787,0.0,0.0,0.0
CURRENT_AGING_Q0,34,0.9411764705882353,0.0,0.11029411764705882,0.34999999999999787,0.0,0.0,0.0
LOCALIZED_THESIS_RULE,34,0.9411764705882353,0.0,0.11029411764705882,0.34999999999999787,0.0,0.0,0.0
PAIRWISE_LINEAR,34,0.9411764705882353,0.0,0.11029411764705882,0.34999999999999787,0.0,0.0,0.0
TINY_MLP,34,0.9411764705882353,0.0,0.11029411764705882,0.34999999999999787,0.0,0.0,0.0
SELECTIVE_GATE,34,0.9411764705882353,0.0,0.11029411764705882,0.34999999999999787,0.0,0.0,0.0
