round,mode,status,planned_count,node_window_conflicts,final_conflict_scan_measured,runtime_full_cie_astar_calls,details
round0_debug_trace_payload,cpp_trace500_tasks_profile_off,PASS,4449,0,True,0,same planned count and zero runtime full A*
round1_summary_payload,cpp_trace0_summary_profile_off,PASS,4449,0,True,0,same planned count and zero runtime full A*
round2_edge_diag_off,cpp_no_edge_diag_trace0_summary,PASS,4449,0,True,0,same planned count and zero runtime full A*
round3_final_scan_off,cpp_no_final_scan_trace0_summary,PASS,4449,0,False,0,same planned count and zero runtime full A*
round4_combined_latency_floor,cpp_no_edge_diag_no_final_scan_trace0_summary,PASS,4449,0,False,0,same planned count and zero runtime full A*
