candidate_id,mode,alpha,beta,min_support,margin_s,detour_allowance_s,edge_residual_count,value_residual_count,offline_coverage,offline_mae_s,static_mae_s,runtime_lookup_coverage,td_bellman_coverage,td_bellman_mae_s,td_zero_value_mae_s,test_runtime_lookup_coverage,test_mae_s,test_static_mae_s,test_td_bellman_coverage,test_td_bellman_mae_s,test_td_zero_value_mae_s,screen_mean_relative_delta,screen_committed_mutations,screen_safety_pass,screen_selected,status
DLP_EWMA_A,ewma,0.1,0.5,8,0.5,2.0,59,0,1.0,13.472754999833953,8.920641966082382,1.0,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,1.0,8.756412450130863,2.5966015457538267,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,OFFLINE_NOT_SELECTED_NATIVE_NOT_RUN
DLP_EWMA_B,ewma,0.1,1.0,8,0.5,2.0,59,0,1.0,13.472754999833953,8.920641966082382,1.0,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,1.0,8.756412450130863,2.5966015457538267,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,OFFLINE_NOT_SELECTED_NATIVE_NOT_RUN
DLP_EWMA_C,ewma,0.1,0.5,32,2.0,2.0,59,0,1.0,13.472754999833953,8.920641966082382,1.0,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,1.0,8.756412450130863,2.5966015457538267,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,OFFLINE_NOT_SELECTED_NATIVE_NOT_RUN
DLP_EWMA_D,ewma,0.2,1.0,32,2.0,2.0,59,0,1.0,12.209581979267238,8.920641966082382,1.0,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,1.0,7.47628328535413,2.5966015457538267,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,0.0,0,True,False,SCREEN_NO_MUTATION
DLP_TD_A,td,0.05,0.5,8,0.5,2.0,59,121,1.0,14.345798120385153,32.58814470294435,1.0,1.0,16.854136754584875,32.72642864166487,1.0,9.628686330773363,25.87510784404095,1.0,12.571566406753222,25.948257758493547,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,OFFLINE_NOT_SELECTED_NATIVE_NOT_RUN
DLP_TD_B,td,0.1,1.0,8,0.5,2.0,59,121,1.0,13.472754999833953,29.536043090554855,1.0,1.0,15.703021709215832,29.674327029275386,1.0,8.756412450130865,22.830188523828305,1.0,11.670230300976403,22.9033384382809,0.0,0,True,False,SCREEN_NO_MUTATION
DLP_TD_C,td,0.1,0.5,32,2.0,2.0,59,120,0.9999410017896124,13.472804608157114,29.519751165438272,0.9999410017896124,0.9998820035792247,15.681631554928941,29.637995478954466,1.0,8.756412450130865,22.830188523828305,1.0,11.670230300976403,22.9033384382809,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,OFFLINE_NOT_SELECTED_NATIVE_NOT_RUN
DLP_TD_D,td,0.2,1.0,32,2.0,2.0,59,120,0.9999410017896124,12.209640482477143,24.283389599563975,0.9999410017896124,0.9998820035792247,15.267676417220283,24.41579153796041,1.0,7.47628328535413,17.76249036485186,1.0,11.410095646301727,17.835640279304453,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,OFFLINE_NOT_SELECTED_NATIVE_NOT_RUN
