bucket,task_count,planned_count,mean_wait_seconds,mean_transport_seconds,counted_as_primary_conflict
0,135,135,0.00000004,74.8266667,False
1-2,164,164,0.01727038,53.87702648,False
3-5,510,510,0.16871072,56.60125974,False
6-10,918,918,0.55349527,64.61689396,False
>10,10273,10273,24.21354108,178.56773168,False
