scenario,context,teacher_source,teacher_parity_verifier,task_offset,max_tasks,planned_count,unplanned_count,decision_count,teacher_move_label_count,teacher_no_path_count,teacher_action_candidate_recall,teacher_action_safe_recall,teacher_action_candidate_hits,teacher_action_safe_hits,teacher_replay_planned_count,teacher_replay_unplanned_count,teacher_replay_conflicts,node_reservation_conflicts,edge_reservation_conflicts,merge_group_conflicts,post_shield_conflicts,teacher_divergence_count,teacher_block_reason_distribution,mean_travel_time,p95_travel_time,p99_travel_time,late_count,max_lateness,makespan,fault_edges,fault_windows,node_capacities,merge_groups
legacy_first16,no_fault,python_faithful_legacy_astar_event_trace,existing_java_cpp_phase1_legacy_acceptance,0,16,14,2,168,168,0,1.0,0.6964285714285714,168,117,14,2,0,0,0,0,0,51,edge_capacity:51,50.17142857142816,57.349999999999994,57.87,0,0.0,10733.8454,none,none,none,none
legacy_first16_buffer2,buffer_capacity,python_faithful_legacy_astar_event_trace,existing_java_cpp_phase1_legacy_acceptance,0,16,14,2,168,168,0,1.0,0.6964285714285714,168,117,14,2,0,0,0,0,0,51,edge_capacity:51,50.17142857142816,57.349999999999994,57.87,0,0.0,10733.8454,none,none,28:2;47:2,none
legacy_first32,no_fault,python_faithful_legacy_astar_event_trace,existing_java_cpp_phase1_legacy_acceptance,0,32,21,11,335,331,4,1.0,0.6374622356495468,331,211,21,11,0,0,0,0,0,124,edge_capacity:120;legacy_astar_no_path:4,51.11428571428552,59.0,65.08000000000175,0,0.0,11332.14959,none,none,none,none
legacy_offset32_static16,static_fault,python_faithful_legacy_astar_event_trace,existing_java_cpp_phase1_legacy_acceptance,32,16,9,7,190,184,6,1.0,0.5978260869565217,184,110,9,7,0,0,0,0,0,80,edge_capacity:74;legacy_astar_no_path:6,55.13333333333422,66.76000000000022,69.51199999999918,0,0.0,11940.187810000003,16->17,none,none,none
legacy_offset64_repair32,repair_window,python_faithful_legacy_astar_event_trace,existing_java_cpp_phase1_legacy_acceptance,64,32,10,22,326,313,13,1.0,0.5623003194888179,313,176,10,22,0,0,0,0,0,150,edge_capacity:137;legacy_astar_no_path:13,52.84000000000069,64.70000000000218,65.42000000000218,0,0.0,13141.521160000002,none,"28->47@[0.000,12000.000)",none,none
legacy_offset64_merge32,merge_group,python_faithful_legacy_astar_event_trace,existing_java_cpp_phase1_legacy_acceptance,64,32,10,22,322,303,19,1.0,0.5412541254125413,303,164,10,22,0,0,0,0,0,158,edge_capacity:73;edge_capacity+merge_group:35;legacy_astar_no_path:19;merge_group:31,53.3600000000004,65.70000000000218,66.42000000000219,0,0.0,13142.521160000002,none,none,none,13->23:9;18->22:9
