scale,execution_mode,policy,status,requested_bags,released_bags,completed_bags,failed_bags,current_backlog,event_count,congestion_beacon_event_count,redundant_beacon_suppressed_count,same_state_beacon_suppressed_count,events_per_completed_bag,events_per_wall_second,mean_tth_seconds,p95_tth_seconds,p99_tth_seconds,hard_safety_pass,action_semantics_equal_to_e0,tth_semantics_equal_to_e0,route_wait_semantics_equal_to_e0,hard_safety_equal_to_e0,full_semantic_gate_pass,beacon_reduction_fraction,events_per_completed_bag_reduction_fraction,events_per_second_improvement_fraction,completion_improvement_fraction
1,full,E0,COMPLETE,43603,43603,28506,0,15097,4857316,1978963,0,0,170.39626745246613,238905.93296688006,213.9123169157372,252.00399999998626,281.00399999999354,True,True,True,True,True,True,0.0,0.0,0.0,0.0
1,full,E1,COMPLETE,43603,43603,28506,0,15097,4246986,1368633,610330,0,148.98568722374236,225926.01551198424,213.9123169157372,252.00399999998626,281.00399999999354,True,True,True,True,True,True,0.3084090000672069,0.12565169735714127,-0.05433066183708068,0.0
1,full,E2,COMPLETE,43603,43603,28506,0,15097,4064751,1186398,610330,182235,142.5928225636708,221397.8310776466,213.9123169157372,252.00399999998626,281.00399999999354,True,True,True,True,True,True,0.4004951077913028,0.16316933055209906,-0.07328450018719557,0.0
2,full,E0,COMPLETE,87206,87206,57012,0,30194,11388415,4620693,0,0,199.75470076475128,204490.58940095035,337.8427087630685,960.0039999999972,2242.9539999999943,True,True,True,True,True,True,0.0,0.0,0.0,0.0
2,full,E1,COMPLETE,87206,87206,57012,0,30194,10169869,3402123,1218570,0,178.38120044902828,195950.0423383532,337.8427087630685,960.0039999999972,2242.9539999999943,True,True,True,True,True,True,0.2637201822324054,0.10699873511810022,-0.04176498824526083,0.0
2,full,E2,COMPLETE,87206,87206,57012,0,30194,9454789,2687019,1218570,715104,165.83857784326108,188124.58869194533,337.8427087630685,960.0039999999972,2242.9539999999943,True,True,True,True,True,True,0.41848138363661036,0.16978885999500362,-0.08003302624804778,0.0
4,bounded,E0,BOUNDED_PROGRESS,174412,41310,26977,0,14333,5570560,2187615,0,0,206.49293842903214,92885.12244362466,,,,True,,,,,,0.0,0.0,0.0,0.0
4,bounded,E1,BOUNDED_PROGRESS,174412,42312,27676,0,14636,5308416,1841584,399794,0,191.8057522763405,87292.24767899873,,,,True,,,,,,0.15817728439419185,0.0711268204347789,-0.06021281576089268,0.025910961189161138
4,bounded,E2,BOUNDED_PROGRESS,174412,42449,27760,0,14689,4915200,1433053,401010,417136,177.06051873198848,82213.56999703945,,,,True,,,,,,0.3449244953979562,0.14253475165282248,-0.114889792529069,0.029024724765541018
