source_file,schema,case_id,map,scale,speed_mps,arm,arm_label,family,ablation,config,release,coordination,status,whole_population,raw_bag_population,segment_population,capacity_eligible,denominator_raw_bags,completed_raw_bags,completion_rate,unfinished_raw_bags,deadline_success_count,deadline_success_rate,formal_timing_status,formal_timing_min_seconds,formal_timing_mean_seconds,formal_timing_p95_seconds,formal_timing_p99_seconds,formal_timing_max_seconds,binary_sha256,requested_binary_sha256,wall_seconds,event_count,safety_status
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\g31\map2_1x.json,czr005.g4irsf31.map2_final_policy_case.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,g31,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,"{""decision_scope"":""one_next_edge_at_current_junction"",""direct_neighbor_merge_calendar_visibility"":{""decision_scope"":""one_next_edge_at_current_junction"",""enabled"":true,""learning_active"":false,""merge_authority"":""E4/J2_unchanged"",""read_scope"":""direct_outgoing_merge_neighbor_service_calendar_scalar"",""score_input"":""existing_target_next_available_calendar_wait"",""score_weight"":""existing_calendar_wait_weight""},""event_hotpath_policy"":""E2"",""goal_arrival_completion"":{""enabled"":true,""goal_service"":""not_reserved_or_executed"",""legacy_reference"":""HCA_Tasks_ICS_goal_arrival_completion"",""terminal_event"":""physical_goal_edge_exit""},""learning_active"":false,""local_potential_descent_guard"":{""decision_scope"":""one_next_edge_at_current_junction"",""enabled"":true,""learned_values_allowed"":false,""learning_active"":false,""no_descending_action"":""hold_retry"",""read_scope"":""current_and_direct_outgoing_neighbors"",""rule"":""H_eff(next,goal)+epsilon<H_eff(current,goal)""},""local_software_queue_cap"":{""local_queue_capacity"":0,""semantics"":""no configured software queue cap; service calendar/R3 and E4/J2 retained; capacity-triggered PIBT relief inactive""},""merge_grant_rule"":""M3"",""merge_grant_timing_mode"":""jit_fair_aging_deadline"",""queue_discipline"":""fifo"",""scorer_mode"":""S4_queue_aware_rule_only""}",NOT_REPORTED,"{""event_hotpath_policy"":""E2"",""merge_grant_rule"":""M3"",""merge_grant_timing_mode"":""jit_fair_aging_deadline"",""queue_discipline"":""fifo""}",COMPLETE_G31_MAP2_FIXED_HORIZON_CAPACITY_EVIDENCE,True,28506,43603,True,28506,28506,1.0,0,28506,1.0,TIMING_NOT_REPORTED,,,,,,NOT_REPORTED,NOT_REPORTED,25.045419899979606,3997648,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\feng_dh\canonical\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,feng_dh,FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED_NOT_EXACT,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED""}",canonical,G31_BASE_COORDINATION_UNCHANGED,COMPLETE,True,28506,43603,True,28506,28506,1.0,0,28506,1.0,NOT_FORMAL_SAME_HCA,,,,,,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,29.67223529983312,3950032,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo\g31\canonical\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,g31,G31_S4,NOT_REPORTED,NOT_REPORTED,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",canonical,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",COMPLETE,True,28506,43603,True,28506,28506,1.0,0,28506,1.0,NOT_FORMAL_SAME_HCA,,,,,,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,27.180875800084323,3997434,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\g31\canonical\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,g31,G31_S4,NOT_REPORTED,NOT_REPORTED,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",canonical,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",COMPLETE,True,28506,43603,True,28506,28506,1.0,0,28506,1.0,NOT_FORMAL_SAME_HCA,,,,,,17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,25.27659000013955,3997434,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\g31\canonical\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,g31,G31_S4,NOT_REPORTED,NOT_REPORTED,{},canonical,G31_BASE_COORDINATION_UNCHANGED,COMPLETE,True,28506,43603,True,28506,28506,1.0,0,28506,1.0,NOT_FORMAL_SAME_HCA,,,,,,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,28.9125288000796,3997648,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\s5\canonical\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,s5,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""S5_dynamic_workload_oracle""}",canonical,G31_BASE_COORDINATION_UNCHANGED,COMPLETE,True,28506,43603,True,28506,28506,1.0,0,28506,1.0,NOT_FORMAL_SAME_HCA,,,,,,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,24.41007119999267,3991195,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\ssp_time\canonical\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,ssp_time,SSP_TIME_ADAPTATION_NOT_FENG_DHA,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""S3_shortest_potential_only""}",canonical,G31_BASE_COORDINATION_UNCHANGED,COMPLETE,True,28506,43603,True,28506,28506,1.0,0,28506,1.0,NOT_FORMAL_SAME_HCA,,,,,,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,19.820645000087097,4007127,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\tarau_distributed_2010\canonical\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,tarau_distributed_2010,TARAU_DISTRIBUTED_2010_ADAPTED_ROUTE_ONLY_NOT_EXACT,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo"",""scorer_mode"":""TARAU_DISTRIBUTED_2010_ADAPTED_ROUTE_ONLY""}",canonical,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",COMPLETE,True,28506,43603,True,28506,28506,1.0,0,28506,1.0,NOT_FORMAL_SAME_HCA,,,,,,17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,24.208793100202456,4061624,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo\tarau_local_2009\canonical\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,tarau_local_2009,TARAU_LOCAL_2009_CIE_DH_ADAPTED_NOT_EXACT,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo"",""scorer_mode"":""FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED""}",canonical,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",COMPLETE,True,28506,43603,True,28506,28506,1.0,0,28506,1.0,NOT_FORMAL_SAME_HCA,,,,,,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,27.83823399990797,3949959,NOT_REPORTED
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\feng_dh\same_hca\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,feng_dh,FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED_NOT_EXACT,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED""}",same_hca,G31_BASE_COORDINATION_UNCHANGED,COMPLETE,True,28506,43603,True,28506,28506,1.0,0,28506,1.0,FORMAL_SAME_HCA_FULL_POPULATION,188.0009999999893,210.884582298465,247.20199999999022,256.4019999999946,275.80199999999604,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,24.461798700038344,3829807,NOT_REPORTED
