edge_start,edge_end,move_count,edge_overlap_diagnostic_only_sum,mean_overlap_per_move,counted_as_primary_conflict
44,50,3192,209544,65.64661654,False
37,49,2693,116401,43.22354252,False
52,29,2238,99367,44.39991063,False
52,40,2001,86679,43.31784108,False
45,48,1876,84173,44.86833689,False
27,28,5092,27904,5.47996858,False
32,37,2174,15923,7.32428703,False
46,36,2462,14245,5.78594639,False
22,24,3113,11468,3.6839062,False
18,22,3307,10538,3.18657393,False
32,33,1368,9145,6.68494152,False
33,44,1331,7432,5.5837716,False
41,42,1057,7154,6.76821192,False
28,47,4228,6923,1.63741722,False
41,45,1015,6475,6.37931034,False
29,30,3102,4889,1.57607995,False
36,44,1861,4068,2.18592155,False
24,27,5953,4059,0.68184109,False
11,14,1448,3838,2.65055249,False
20,21,1202,3792,3.1547421,False
30,31,3542,2930,0.82721626,False
31,32,3542,2930,0.82721626,False
42,30,440,2187,4.97045455,False
40,41,2072,2007,0.96862934,False
8,11,2520,1883,0.74722222,False
