case,policy,python_planned,cpp_planned,python_unplanned,cpp_unplanned,python_decisions,cpp_decisions,python_conflicts,cpp_conflicts,mean_travel_abs_diff,makespan_abs_diff,python_trace_rows,cpp_trace_rows,summary_match,trace_match,strict_parity_pass,first_mismatch_status,first_mismatch_decision,first_mismatch_field,python_value,cpp_value
synthetic_seed7_medium_repair,edge_score_event,18,18,0,0,55,55,0,0,0.0,0.0,55,55,True,True,True,match,,none,,
synthetic_seed7_medium_repair,fallback_event,18,18,0,0,55,55,0,0,0.0,0.0,55,55,True,True,True,match,,none,,
synthetic_seed11_dense_multi_repair,edge_score_event,16,16,8,8,112,112,0,0,0.0,0.0,112,112,True,True,True,match,,none,,
synthetic_seed11_dense_multi_repair,fallback_event,16,16,8,8,112,112,0,0,0.0,0.0,112,112,True,True,True,match,,none,,
synthetic_seed17_static_plus_repair,edge_score_event,12,12,8,8,97,97,0,0,0.0,0.0,97,97,True,True,True,match,,none,,
synthetic_seed17_static_plus_repair,fallback_event,12,12,8,8,97,97,0,0,0.0,0.0,97,97,True,True,True,match,,none,,
synthetic_seed23_repeated_repair,edge_score_event,20,20,2,2,85,85,0,0,1.7763568394002505e-15,0.0,85,85,True,True,True,match,,none,,
synthetic_seed23_repeated_repair,fallback_event,19,19,3,3,93,93,0,0,3.552713678800501e-15,0.0,93,93,True,True,True,match,,none,,
synthetic_seed31_merge_buffer,edge_score_event,22,22,4,4,104,104,0,0,0.0,0.0,104,104,True,True,True,match,,none,,
synthetic_seed31_merge_buffer,fallback_event,22,22,4,4,104,104,0,0,0.0,0.0,104,104,True,True,True,match,,none,,
