ablation,all_top1,val_top1,test_top1
none,0.95495129,0.95409461,0.95861708
no_enhanced_pressure,0.95487498,0.95409461,0.95861708
no_static_topology,0.79978633,0.80200916,0.81063384
no_historical_risk,0.95492585,0.95409461,0.95861708
no_source_retry_pressure,0.95495129,0.95409461,0.95861708
no_base_distance,0.85658688,0.85681587,0.85725511
