group_type,group_value,group_id,metric,observation_count,clone_group_count,unweighted_realized_panel_mean,reference_design_horvitz_thompson_total,reference_design_estimated_denominator,reference_design_hajek_mean,cluster_bootstrap_ci95_lower,cluster_bootstrap_ci95_upper,bootstrap_seed_sha256,bootstrap_replicates,population_inference_status,estimate_scope
overall,ALL,overall:ALL,delta_completion_mean_seconds,2172,2169,18.7307493603214,,,,17.47889226944998,20.07964127247595,59384f66749f682bfb06dbcc01f494745df875ed31788a39f74ce90eac58393d,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,delta_completion_p95_seconds,2172,2169,18.730628420810255,,,,17.39288584277185,20.017332933872233,2e5e1580ed69416363adca467af72c01ca3d400bb80c5d8c487507fac5e260b9,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,delta_completion_p99_seconds,2172,2169,18.730144995395797,,,,17.50293236156066,20.03317151923862,95b665cea60cfcb957996fc10b3bda393a54e6ead207929488c20e3cf3b93e0c,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,delta_deadline_miss_count,2172,2169,0.0,,,,0.0,0.0,75b3b93e99205e2cfcb693c861bb0740f6f8fa8bc296a9eba2182a4bd509f0c7,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,delta_edge_travel_mean_seconds,2172,2169,15.860827145850411,,,,14.957759760067097,16.829031521244747,e8880afb078a1df9bcaa7e4298c9a10787355f8f8f89d43e561ed717ff71ff0e,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,delta_junction_wait_mean_seconds,2172,2169,0.5499609304025305,,,,0.05112281292620783,1.0148824960431753,7fdeae8367832ae92a3bdf47172f309f6701e537079496f276cb714bff8aa544,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,delta_loop_extra_mean_seconds,2172,2169,0.0,,,,0.0,0.0,286650e4a26d81e10a64306d64f18bbe00a17fe2e127d84d775dc7699a10f991,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,delta_merge_wait_mean_seconds,2172,2169,0.9469652111964532,,,,0.6385826278335822,1.2518744187231767,916c1aae2f502ba59bd59bf72e247878131d9ceb4759da8acd046bab9e58c14b,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,delta_node_service_mean_seconds,2172,2169,2.31998939747206,,,,2.1573121602066605,2.494820606761005,8b1f06990fb9e6f900825dd6002fa82c1ce08f78d08c1218831efd3d2d188dbb,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,delta_path_length_hops_mean,2172,2169,2.31998939747206,,,,2.1449545430573878,2.4955363982769128,8f91a809e596fb723e7c984b68b83e81853cee319e51a3083320e8d34dcc850a,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,delta_path_length_hops_total,2172,2169,2.660681399631676,,,,2.477102797657775,2.8335941944810688,70acbc11b4c9afe934d2dc44dcbae7eec8a2a440d42364e9cfebc6ffc2a1db0c,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,delta_source_wait_mean_seconds,2172,2169,-2.8113403419079667e-05,,,,-5.659379787366621e-05,-5.6772153377003324e-06,3c0b321f8fd0d2efc08d8c3ac77bbd729334209e1bc504823cd4d0c1e07838a5,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,delta_total_local_wait_mean_seconds,2172,2169,0.5499328169991111,,,,0.0995667676354032,1.0164824083795447,67312018f530e54006ff49d0ce0a65a11b9e4185239d6f24c2a22deef3d88e13,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,direct_affected_delta_completion_mean_seconds,2172,2169,21.4204317357273,,,,20.17240772028093,22.78541658509879,b2352603cbf7fc77a404f6ff9215c99a909937b93d80494498347e5e05a1b53d,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,raw_bag_delta_deadline_miss_raw_bag_count,256,256,0.0,,,,0.0,0.0,b1fb585ce0afedef72ee8f0e4ba2f865708a28daeb9f5fb98680fbe38bd40f6c,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,raw_bag_delta_java_release_mean_minutes,256,256,1.2627846809956655e-06,,,,-1.0649831845208415e-05,1.0779638355426671e-05,530bf4a6e932ddb2105ecaf9b6c7d0520ca8541a296da5fb3a177c2e81b0d341,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,raw_bag_delta_network_time_mean_minutes,256,256,7.343604288773467e-06,,,,-3.6119888844683874e-06,1.536481506399256e-05,57587b6c3f0020610ed568ea9cf007ee520ca3abd81806af446c8a044e92b0be,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,raw_bag_delta_original_entry_max_seconds,256,256,0.2972656249999801,,,,0.0,0.8917968749999403,daa14085e931f236249745d03d0846464e70886857229b2007071a8dd5d638a3,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,raw_bag_delta_original_entry_mean_minutes,256,256,1.2627846777135687e-06,,,,-9.526180695503677e-06,1.0707318196971624e-05,ddbce326c6a12dec77ce41ce4b408657fe0ba8a8a5d12ce4a8f1da0163f38351,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,raw_bag_delta_original_entry_median_seconds,256,256,-0.0001819531250148998,,,,-0.0008430468750191267,0.0002971874999744273,6864ee57bbc8c3f9f736490a3c99664c8c62c515ff10995e155226553e13e2de,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,raw_bag_delta_original_entry_p95_seconds,256,256,0.0,,,,0.0,0.0,bd1aeb9ae34d13676b3f2c77dd748ea3604925c53173e1fac160a22b5e9e29c4,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,raw_bag_delta_original_entry_p99_seconds,256,256,-0.003710937500002842,,,,-0.011132812500008527,0.0,5ad74abadc23ef7e66d75aa2d9a38007182e33b62bc3d5a15ff8824260a662a0,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,raw_bag_delta_scheduled_pre_release_wait_mean_minutes,256,256,0.0,,,,0.0,0.0,945105decd4723a83bdd822ab95e0574dce6c8147566a08604b974924269d30b,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,raw_bag_delta_source_wait_mean_minutes,256,256,-6.080819608152285e-06,,,,-1.1995829825298858e-05,-1.1704578549974932e-06,e7c62cefb8798875df54ed4c05b1e74df291972738ae93d2770ca98c761d5683,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
overall,ALL,overall:ALL,raw_bag_delta_total_system_time_mean_minutes,256,256,1.2627846777135687e-06,,,,-1.155092962770235e-05,1.044590492305028e-05,fb81f48b6eac4cdadad57c6ac4c2dec9536cf037966b653db08966e4bf97f67f,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
kind,I3,kind:I3,delta_completion_mean_seconds,1086,1086,37.18736619911,,,,35.18388554413778,39.183157334885856,f88f477d2ab22056c1e900a56dc6d8f7e8ccacb7f9c22e4d84affe9b3029ce18,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
kind,I3,kind:I3,delta_completion_p95_seconds,1086,1086,37.1873426795578,,,,35.075809846454405,39.23818495211759,e46fd6663e69c8c30445b785664bf986531277fb6d34d6f1afba9e7f5146aa01,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
kind,I3,kind:I3,delta_completion_p99_seconds,1086,1086,37.18614562615062,,,,35.15487167080993,39.234409073895286,44995073e9198f52e6ed092b5479ffb0cdf77faad24fe87d40e6957f10141b79,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
kind,I3,kind:I3,delta_deadline_miss_count,1086,1086,0.0,,,,0.0,0.0,a3f9fd1c0e5f05addc5d57a0c2bfbc48d1ac4944ce2de414ea5085e790084f18,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
kind,I3,kind:I3,delta_edge_travel_mean_seconds,1086,1086,31.721654291700823,,,,30.3252595944684,33.11867992550734,0eef478149f7e99e98416429a05e32756db9f4bb2ffda53cc5002e8050163ae5,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
kind,I3,kind:I3,delta_junction_wait_mean_seconds,1086,1086,0.8257751690610392,,,,-0.15248620350850978,1.7544858454246128,451a3f2b432ab2320f493a856480294b032da0cb70e5ca9a7f96a14be6408c1c,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
kind,I3,kind:I3,delta_loop_extra_mean_seconds,1086,1086,0.0,,,,0.0,0.0,484b46e9efbec320f2e04e0de88c06059d2cdf75ddae8fb1310aa62f69423664,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
kind,I3,kind:I3,delta_merge_wait_mean_seconds,1086,1086,1.9928761126641532,,,,1.4168093304607217,2.5822987070680763,7604cf393973091136ce46c5bb4a18b95e04b9a1a7cd07ca0013a530928ade3b,1000,DESCRIPTIVE_ONLY_NO_HORIZON_ASSIGNMENT_WEIGHT,DESCRIPTIVE_CONDITIONAL_ON_COMPLETE_PREREGISTERED_REALIZED_PANEL
