case,seed,task_count,node_count,edge_count,spacing,fault_edges,fault_windows,python_planned,cpp_planned,planned_match,python_unplanned,cpp_unplanned,unplanned_match,python_steps,cpp_decision_count,decision_match,python_mean_travel_time,cpp_mean_travel_time,mean_travel_abs_diff,mean_travel_match,python_conflicts,cpp_conflicts,conflict_match,python_truncated,strict_parity_pass
synthetic_seed7_medium_repair,7,18,12,20,3.0,none,"4->8@[4.000,18.000)",18,18,True,0,0,True,55,55,True,9.152747331723951,9.152747331723951,0.0,True,0,0,True,False,True
synthetic_seed11_dense_multi_repair,11,24,12,18,1.4,none,"7->9@[5.000,16.000);8->9@[10.000,22.000)",18,18,True,6,6,True,140,140,True,14.44533922252001,14.445339222520008,1.7763568394002505e-15,True,0,0,True,False,True
synthetic_seed17_static_plus_repair,17,20,12,17,2.2,4->7,"5->8@[0.000,14.000)",14,14,True,6,6,True,247,247,True,26.709650948764427,26.709650948764427,0.0,True,0,0,True,False,True
synthetic_seed23_repeated_repair,23,22,12,17,1.8,none,"4->8@[3.000,8.000);4->8@[14.000,21.000);8->9@[9.000,15.000)",20,20,True,2,2,True,128,128,True,15.721168344321168,15.721168344321171,3.552713678800501e-15,True,0,0,True,False,True
synthetic_seed31_merge_buffer,31,26,12,20,0.9,none,"4->8@[2.000,13.000)",25,25,True,1,1,True,185,185,True,15.742222212174314,15.742222212174315,1.7763568394002505e-15,True,0,0,True,False,True
