schema,rule,run_id,transition_index,input_selection_sha256,map_raw_sha256,map_semantic_sha256,task_raw_sha256,source_bundle_sha256,binary_sha256,time,request_id,grant_id,lineage,request_generation,junction_queue_generation,runtime_bag_id,task_id,segment_id,upstream_node,destination_node,edge_from_node,edge_to_node,request_time,fifo_request_time,earliest_edge_entry,exact_edge_travel_seconds,projected_arrival,goal,route_score,static_remaining,destination_service_seconds,downstream_queue_pressure,deadline_slack,wait_age,task_class_code,task_class,storage_leg,source_release_age,local_queue_age,enqueue_sequence,request_expiry,slot_start,slot_end,issue_time,grant_expiry,calendar_generation,fault_generation,advertised_fault_generation,observed_claimed_request_generation,observed_claimed_junction_queue_generation,observed_claimed_calendar_generation,observed_claimed_owner_runtime_bag_id,observed_claimed_edge_from_node,observed_claimed_edge_to_node,observed_claimed_destination_node,observed_event_owner_runtime_bag_id,observed_event_edge_from_node,observed_event_edge_to_node,observed_event_destination_node,observed_junction_queue_generation,observed_calendar_generation,observed_physical_fault_generation,observed_advertised_fault_generation,observed_physical_fault_active,observed_exact_calendar_reservation_present,state,reason,row_sha256
czr005.g4irsf14.merge_grant_protocol.v2,M0,be7f35c35ec863c6f2f0c65e,0,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,8270.4464530000005,1,0,1,1,3,0,0,0:storage_in,16,17,16,17,8270.4464530000005,8270.4464530000005,8270.4464530000005,3.6000000000000001,8274.0464530000008,47,40.399999999999999,36.799999999999997,1,0,13929.553547,0,4,2,false,2.6010000000005675,0,3,8270.6964530000005,0,0,0,0,0,0,0,1,3,0,0,16,17,17,0,16,17,17,3,0,0,0,false,false,REQUESTED,submitted,356e52dc47acb3d8feaccdbfa0047b2a1a82fe33114d82c59e9185a8ffcd95d2
czr005.g4irsf14.merge_grant_protocol.v2,M0,be7f35c35ec863c6f2f0c65e,1,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,8270.4464530000005,1,77309411329,1,1,3,0,0,0:storage_in,16,17,16,17,8270.4464530000005,8270.4464530000005,8270.4464530000005,3.6000000000000001,8274.0464530000008,47,40.399999999999999,36.799999999999997,1,0,13929.553547,0,4,2,false,2.6010000000005675,0,3,8270.6964530000005,8274.0464530000008,8275.0464530000008,8270.4464530000005,8275.0464530000008,1,0,0,1,3,1,0,16,17,17,0,16,17,17,3,1,0,0,false,false,ISSUED,exact_slot_committed,64e2d54fbe6ab94cb07ac6df69b523555f3f71565f9777f91d426b8b763c05f1
czr005.g4irsf14.merge_grant_protocol.v2,M0,be7f35c35ec863c6f2f0c65e,2,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,8270.4464530000005,1,77309411329,1,1,3,0,0,0:storage_in,16,17,16,17,8270.4464530000005,8270.4464530000005,8270.4464530000005,3.6000000000000001,8274.0464530000008,47,40.399999999999999,36.799999999999997,1,0,13929.553547,0,4,2,false,2.6010000000005675,0,3,8270.6964530000005,8274.0464530000008,8275.0464530000008,8270.4464530000005,8275.0464530000008,1,0,0,1,3,1,0,16,17,17,0,16,17,17,3,1,0,0,false,false,PREPARED,exact_slot_committed,3bee96fae3558e5fbf6c12d868b06b829184666155c7eca51be7e04d1bc818f4
czr005.g4irsf14.merge_grant_protocol.v2,M0,be7f35c35ec863c6f2f0c65e,3,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,8270.4464530000005,1,77309411329,1,1,3,0,0,0:storage_in,16,17,16,17,8270.4464530000005,8270.4464530000005,8270.4464530000005,3.6000000000000001,8274.0464530000008,47,40.399999999999999,36.799999999999997,1,0,13929.553547,0,4,2,false,2.6010000000005675,0,3,8270.6964530000005,8274.0464530000008,8275.0464530000008,8270.4464530000005,8275.0464530000008,1,0,0,1,3,1,0,16,17,17,0,16,17,17,3,1,0,0,false,false,COMMITTED,exact_slot_committed,7f982be7703a5cba55cab6ab39c659a3714072409448da45406882f02328a0f0
czr005.g4irsf14.merge_grant_protocol.v2,M0,be7f35c35ec863c6f2f0c65e,4,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,8274.0464530000008,1,77309411329,1,1,3,0,0,0:storage_in,16,17,16,17,8270.4464530000005,8270.4464530000005,8270.4464530000005,3.6000000000000001,8274.0464530000008,47,40.399999999999999,36.799999999999997,1,0,13929.553547,0,4,2,false,2.6010000000005675,0,3,8270.6964530000005,8274.0464530000008,8275.0464530000008,8270.4464530000005,8275.0464530000008,1,0,0,1,3,1,0,16,17,17,0,16,17,17,4,1,0,0,false,true,CONSUMED,consumed_at_destination_entry,fdd37d4c7b342bcb5fe83eb093a9058043ae2ecc4752c31b5fd5b321a0c07c40
czr005.g4irsf14.merge_grant_protocol.v2,M0,be7f35c35ec863c6f2f0c65e,5,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,8275.0464530000008,2,0,2,2,5,0,0,0:storage_in,17,18,17,18,8275.0464530000008,8275.0464530000008,8275.0464530000008,1.6000000000000001,8276.6464530000012,47,-4.0697232186557883,35.200000000000003,1,0,13924.953546999999,0,4,2,false,7.2010000000009313,0,4,8275.2964530000008,0,0,0,0,0,0,0,2,5,0,0,17,18,18,0,17,18,18,5,0,0,0,false,false,REQUESTED,submitted,f38c12f8b0a20880fa4ceaacf2b1931d99cf6188ab2fd1a21eb1ed6979911471
czr005.g4irsf14.merge_grant_protocol.v2,M0,be7f35c35ec863c6f2f0c65e,6,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,8275.0464530000008,2,81604378625,2,2,5,0,0,0:storage_in,17,18,17,18,8275.0464530000008,8275.0464530000008,8275.0464530000008,1.6000000000000001,8276.6464530000012,47,-4.0697232186557883,35.200000000000003,1,0,13924.953546999999,0,4,2,false,7.2010000000009313,0,4,8275.2964530000008,8276.6464530000012,8277.6464530000012,8275.0464530000008,8277.6464530000012,1,0,0,2,5,1,0,17,18,18,0,17,18,18,5,1,0,0,false,false,ISSUED,exact_slot_committed,fa0f1a116a471df53f22b51adb289b49ce15feff0078cf9fc4699a283de8ffb2
czr005.g4irsf14.merge_grant_protocol.v2,M0,be7f35c35ec863c6f2f0c65e,7,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,8275.0464530000008,2,81604378625,2,2,5,0,0,0:storage_in,17,18,17,18,8275.0464530000008,8275.0464530000008,8275.0464530000008,1.6000000000000001,8276.6464530000012,47,-4.0697232186557883,35.200000000000003,1,0,13924.953546999999,0,4,2,false,7.2010000000009313,0,4,8275.2964530000008,8276.6464530000012,8277.6464530000012,8275.0464530000008,8277.6464530000012,1,0,0,2,5,1,0,17,18,18,0,17,18,18,5,1,0,0,false,false,PREPARED,exact_slot_committed,6dcf6ac912088ed77a2086c33565533400d84d0854c8e52b77f9ba3e32e26a55
czr005.g4irsf14.merge_grant_protocol.v2,M0,be7f35c35ec863c6f2f0c65e,8,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,8275.0464530000008,2,81604378625,2,2,5,0,0,0:storage_in,17,18,17,18,8275.0464530000008,8275.0464530000008,8275.0464530000008,1.6000000000000001,8276.6464530000012,47,-4.0697232186557883,35.200000000000003,1,0,13924.953546999999,0,4,2,false,7.2010000000009313,0,4,8275.2964530000008,8276.6464530000012,8277.6464530000012,8275.0464530000008,8277.6464530000012,1,0,0,2,5,1,0,17,18,18,0,17,18,18,5,1,0,0,false,false,COMMITTED,exact_slot_committed,e3479b7512fe48a59d6fa46f7f6b8fd4c52e6ce17ff227778d3e58a68e29dd4b
czr005.g4irsf14.merge_grant_protocol.v2,M0,be7f35c35ec863c6f2f0c65e,9,e5688fdd82c93baafe7e78eb93e33410181baf3996317cadfd8e10285d726a94,9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,968d2c876fcbf03c5b25c8e865ccd469431af3ddbf59dc9ebe073752bd93678f,d3ef2a05a55cbc1f0884241c16b5e4641fd5f09ae2da918a11f322fca74876ed,0d82141e8e650d682f812fe18582661ba6feb6dd08c88731c343d3caf07d6a38,8276.6464530000012,2,81604378625,2,2,5,0,0,0:storage_in,17,18,17,18,8275.0464530000008,8275.0464530000008,8275.0464530000008,1.6000000000000001,8276.6464530000012,47,-4.0697232186557883,35.200000000000003,1,0,13924.953546999999,0,4,2,false,7.2010000000009313,0,4,8275.2964530000008,8276.6464530000012,8277.6464530000012,8275.0464530000008,8277.6464530000012,1,0,0,2,5,1,0,17,18,18,0,17,18,18,6,1,0,0,false,true,CONSUMED,consumed_at_destination_entry,06e229e37f11e3db902d20450ab8f04aa74163ffc54e90afe7c75c9a2cd070db
