scenario,context,segment_id,task_id,reason,constraint_variant
legacy_first32,no_fault,18:storage_in,18,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,66:storage_in,66,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,71:storage_in,71,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,72:storage_in,72,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,80:storage_in,80,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,84:storage_in,84,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,89:storage_in,89,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,90:storage_in,90,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_repair32,repair_window,95:storage_in,95,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,66:storage_in,66,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,71:storage_in,71,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,72:storage_in,72,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,80:storage_in,80,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,84:storage_in,84,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,89:storage_in,89,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,90:storage_in,90,legacy_astar_no_path,cie_node_window_primary
legacy_offset64_merge32,merge_group_window,95:storage_in,95,legacy_astar_no_path,cie_node_window_primary
