max_tasks,python_planned,cpp_planned,planned_match,python_unplanned,cpp_unplanned,unplanned_match,python_steps,cpp_decision_count,decision_match,python_mean_travel_time,cpp_mean_travel_time,mean_travel_abs_diff,python_conflicts,cpp_conflicts,python_truncated
24,20,20,True,4,4,True,302,302,True,57.75999999999949,57.75999999999949,0.0,0,0,False
32,26,26,True,6,6,True,432,432,True,60.05384615384572,60.05384615384572,0.0,0,0,False
48,35,35,True,13,13,True,794,794,True,63.3199999999996,63.3199999999996,0.0,0,0,False
64,45,45,True,19,19,True,1053,1053,True,65.4666666666663,65.4666666666663,0.0,0,0,False
