group_type,group_value,total_segments,java_release_time_tth,original_entry_time_tth,ambiguous_equal,release_share,entry_share,dominant_denominator
source_node,0,3200,1202,1996,2,0.375625,0.62375,original_entry_time_tth
source_node,1,3193,1685,1505,3,0.52771688,0.47134356,java_release_time_tth
source_node,2,3199,2759,440,0,0.86245702,0.13754298,java_release_time_tth
source_node,3,4887,4362,525,0,0.89257213,0.10742787,java_release_time_tth
source_node,4,4887,3386,1501,0,0.6928586,0.3071414,java_release_time_tth
source_node,5,4886,3137,1749,0,0.64203848,0.35796152,java_release_time_tth
source_node,52,15097,14937,0,160,0.98940187,0,java_release_time_tth
source_node,53,4254,2832,1422,0,0.66572638,0.33427362,java_release_time_tth
