case_id,case_group,execution_class,protocol_status,primary_capacity_eligible,full_completion_eligible,repeats_expected,repeats_complete,speed_mps,fault_line_ids,seed_edges,fault_schedule,status_echo_pass,fixed_horizon_pass,cohort_pass,release_repeat_match,comparison_eligible_by_repeat,released_segment_count_by_repeat,planned_segment_count_by_repeat,completed_segment_count_by_repeat,canonical_complete_raw_bag_count_by_repeat,canonical_success_rate_by_repeat,wall_seconds_by_repeat,timing_scope,secondary_timing_censored,processed_attempt_mean_minutes_by_repeat,full_population_processed_attempt_minutes_by_repeat,secondary_censored_processed_attempt_mean_minutes_by_repeat,secondary_censored_processed_attempt_minutes_by_repeat
t5_2_speed_1p5,stable_speed,PRIMARY_MEASURABLE,EXACT_RELEASE_FULL_POPULATION_FIXED_HORIZON,True,False,2,2,1.5,[],[],none,True,True,True,True,"[false, false]","[87206, 87206]","[87206, 87206]","[87016, 87016]","[56822, 56822]","[0.996667368273346, 0.996667368273346]","[373.81002460001037, 386.4725467999815]",CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,"[null, null]","[null, null]","[6.655409876456302, 6.655409876456302]","[{""max"": 9.633333333333333, ""mean"": 6.655409876456302, ""min"": 5.1, ""p50"": 6.65, ""p95"": 8.116666666666667, ""p99"": 8.916666666666666}, {""max"": 9.633333333333333, ""mean"": 6.655409876456302, ""min"": 5.1, ""p50"": 6.65, ""p95"": 8.116666666666667, ""p99"": 8.916666666666666}]"
t5_2_speed_2,stable_speed,PRIMARY_MEASURABLE,EXACT_RELEASE_FULL_POPULATION_FIXED_HORIZON,True,False,2,2,2.0,[],[],none,True,True,True,True,"[false, false]","[87206, 87206]","[87206, 87206]","[87186, 87186]","[56992, 56992]","[0.9996491966603522, 0.9996491966603522]","[348.05338259995915, 356.5557989999652]",CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,"[null, null]","[null, null]","[5.0328329707093395, 5.0328329707093395]","[{""max"": 7.366666666666666, ""mean"": 5.0328329707093395, ""min"": 3.8833333333333333, ""p50"": 5.05, ""p95"": 6.183333333333334, ""p99"": 6.783333333333333}, {""max"": 7.366666666666666, ""mean"": 5.0328329707093395, ""min"": 3.8833333333333333, ""p50"": 5.05, ""p95"": 6.183333333333334, ""p99"": 6.783333333333333}]"
t5_2_speed_2p5,stable_speed,PRIMARY_MEASURABLE,EXACT_RELEASE_FULL_POPULATION_FIXED_HORIZON,True,False,2,2,2.5,[],[],none,True,True,True,True,"[false, false]","[87206, 87206]","[87206, 87206]","[87111, 87111]","[56917, 56917]","[0.998333684136673, 0.998333684136673]","[287.21199270000216, 293.93821829999797]",CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,"[null, null]","[null, null]","[4.104975666321135, 4.104975666321135]","[{""max"": 5.983333333333333, ""mean"": 4.104975666321135, ""min"": 3.1333333333333333, ""p50"": 4.083333333333333, ""p95"": 5.033333333333333, ""p99"": 5.516666666666667}, {""max"": 5.983333333333333, ""mean"": 4.104975666321135, ""min"": 3.1333333333333333, ""p50"": 4.083333333333333, ""p95"": 5.033333333333333, ""p99"": 5.516666666666667}]"
t5_2_speed_3,stable_speed,PRIMARY_MEASURABLE,EXACT_RELEASE_FULL_POPULATION_FIXED_HORIZON,True,False,2,2,3.0,[],[],none,True,True,True,True,"[false, false]","[87206, 87206]","[87206, 87206]","[87023, 87023]","[56829, 56829]","[0.9967901494422227, 0.9967901494422227]","[322.5766363000148, 347.33793420001166]",CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,"[null, null]","[null, null]","[3.467984948999044, 3.467984948999044]","[{""max"": 5.066666666666666, ""mean"": 3.467984948999044, ""min"": 2.6333333333333333, ""p50"": 3.45, ""p95"": 4.266666666666667, ""p99"": 4.945333333333353}, {""max"": 5.066666666666666, ""mean"": 3.467984948999044, ""min"": 2.6333333333333333, ""p50"": 3.45, ""p95"": 4.266666666666667, ""p99"": 4.945333333333353}]"
t5_5_fault_single_1,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,[1],"[[6, 12]]",8260:6:12:fault,True,True,True,,[false],[87206],[87206],[87088],[56894],[0.997930260296078],[455.8678045999841],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[4.101463833327474],"[{""max"": 5.983333333333333, ""mean"": 4.101463833327474, ""min"": 3.1333333333333333, ""p50"": 4.066666666666666, ""p95"": 5.033333333333333, ""p99"": 5.533333333333333}]"
t5_5_fault_single_2,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,[2],"[[8, 11]]",8260:8:11:fault,True,True,True,,[false],[80821],[80820],[80777],[50583],[0.8872342664702167],[314.7198321999749],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[4.024122119356926],"[{""max"": 5.983333333333333, ""mean"": 4.024122119356926, ""min"": 2.433333333333333, ""p50"": 4.016666666666667, ""p95"": 5.0, ""p99"": 5.483333333333333}]"
t5_5_fault_single_3,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,[3],"[[13, 23]]",8260:13:23:fault,True,True,True,,[false],[87206],[87206],[87200],[57006],[0.9998947589981056],[757.8973802999826],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[4.019583318714989],"[{""max"": 5.95, ""mean"": 4.019583318714989, ""min"": 3.1333333333333333, ""p50"": 4.05, ""p95"": 5.033333333333333, ""p99"": 5.433333333333334}]"
t5_5_fault_single_4,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,[4],"[[24, 27]]",8260:24:27:fault,True,True,True,,[false],[73094],[73092],[72786],[42592],[0.7470707921139409],[319.2973926999839],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[3.9754340997128486],"[{""max"": 6.0, ""mean"": 3.9754340997128486, ""min"": 2.433333333333333, ""p50"": 3.75, ""p95"": 5.066666666666666, ""p99"": 5.983333333333333}]"
t5_5_fault_single_5,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,[5],"[[14, 46]]",8260:14:46:fault,True,True,True,,[false],[80780],[80780],[80714],[50520],[0.8861292359503262],[680.559328000003],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[3.7450021843599823],"[{""max"": 5.483333333333333, ""mean"": 3.7450021843599823, ""min"": 2.433333333333333, ""p50"": 3.75, ""p95"": 4.383333333333334, ""p99"": 5.366666666666666}]"
t5_5_fault_single_6,all_day_line_interruption,PRIMARY_MEASURABLE,FIXED_HORIZON_CAPACITY,True,False,1,1,2.5,[6],"[[43, 15]]",8260:43:15:fault,True,True,True,,[false],[87206],[87206],[87011],[56817],[0.9965796674384341],[445.38720009999815],CENSORED_COMPLETED_SURVIVORS_SECONDARY,True,[null],[null],[3.818389449167209],"[{""max"": 5.8, ""mean"": 3.818389449167209, ""min"": 3.1333333333333333, ""p50"": 3.65, ""p95"": 4.75, ""p99"": 5.4}]"
