kind,path,size_bytes,netty_related,notes
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/commons-beanutils-1.8.3.jar,232019,False,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/commons-collections-3.1.jar,559366,False,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/commons-lang-2.4.jar,261809,False,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/commons-logging-1.1.1-1.0.0.jar,64334,False,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/ezmorph-1.0.4.jar,86381,False,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/json-lib-2.4-jdk15.jar,159123,False,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/jxl.jar,680408,False,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/logback-access-1.2.1.jar,107752,False,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/logback-classic-1.2.1.jar,310442,False,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/logback-core-1.2.1.jar,473113,False,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/slf4j-api-1.7.25.jar,41203,False,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-buffer-4.0.56.Final-sources.jar,150049,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-buffer-4.0.56.Final.jar,234444,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-build-22-sources.jar,8444,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-build-22.jar,14433,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-codec-4.0.56.Final-sources.jar,138865,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-codec-4.0.56.Final.jar,153509,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-codec-http-4.0.56.Final-sources.jar,361444,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-codec-http-4.0.56.Final.jar,461709,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-codec-socks-4.0.56.Final-sources.jar,33960,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-codec-socks-4.0.56.Final.jar,49239,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-common-4.0.56.Final-sources.jar,232574,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-common-4.0.56.Final.jar,408119,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-example-4.0.56.Final-sources.jar,212504,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-example-4.0.56.Final.jar,324688,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-handler-4.0.56.Final-sources.jar,243254,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-handler-4.0.56.Final.jar,359145,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-tcnative-2.0.7.Final-linux-x86_64.jar,64012,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-tcnative-2.0.7.Final-sources.jar,24717,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-transport-4.0.56.Final-sources.jar,264077,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-transport-4.0.56.Final.jar,390239,True,
jar,legacy/jichang_origin_readonly/Java_jar/Java_jar/netty-4.0.56.Final/jar/netty-transport-rxtx-4.0.56.Final-sources.jar,11417,True,
