schema,map,scale,service_condition,service_time_multiplier,comparison_status,missing_or_failed_arms,normalized_pair_status,normalized_pair_status_detail,no_qi_pair_status,no_qi_pair_status_detail,metric,metric_label,preferred_direction,raw_count_as_seconds,service_rate_normalized,no_qi_but_calendar,normalized_minus_raw,normalized_relative_to_raw_percent,normalized_outcome,no_qi_minus_raw,no_qi_relative_to_raw_percent,no_qi_outcome,comparison_identity_sha256,timing_protocol,source_files
czr005.cie_service_normalization.summary.v2,map2,1,REAL_SERVICE,1.0,COMPLETE,,COMPLETE,,COMPLETE,,completed_segment_count,completed segments,higher,43603,43603,43603,0.0,0.0,TIE,0.0,0.0,TIE,8dfd074c2bcb44f4e94e2924892774c0d4d4e4acaec8ac6b8b9195c3898c1ddc,1x full-population raw-bag timing only; no survivor/common cohort,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\RAW_COUNT_AS_SECONDS.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\SERVICE_RATE_NORMALIZED.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\NO_QI_BUT_CALENDAR.json
czr005.cie_service_normalization.summary.v2,map2,1,REAL_SERVICE,1.0,COMPLETE,,COMPLETE,,COMPLETE,,completed_raw_bag_count,completed raw bags,higher,28506,28506,28506,0.0,0.0,TIE,0.0,0.0,TIE,8dfd074c2bcb44f4e94e2924892774c0d4d4e4acaec8ac6b8b9195c3898c1ddc,1x full-population raw-bag timing only; no survivor/common cohort,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\RAW_COUNT_AS_SECONDS.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\SERVICE_RATE_NORMALIZED.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\NO_QI_BUT_CALENDAR.json
czr005.cie_service_normalization.summary.v2,map2,1,REAL_SERVICE,1.0,COMPLETE,,COMPLETE,,COMPLETE,,completion_rate,raw-bag completion rate,higher,1.0,1.0,1.0,0.0,0.0,TIE,0.0,0.0,TIE,8dfd074c2bcb44f4e94e2924892774c0d4d4e4acaec8ac6b8b9195c3898c1ddc,1x full-population raw-bag timing only; no survivor/common cohort,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\RAW_COUNT_AS_SECONDS.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\SERVICE_RATE_NORMALIZED.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\NO_QI_BUT_CALENDAR.json
czr005.cie_service_normalization.summary.v2,map2,1,REAL_SERVICE,1.0,COMPLETE,,COMPLETE,,COMPLETE,,population_latency_min_seconds,population latency minimum (s),lower,188.0009999999893,188.0009999999893,188.0009999999893,0.0,0.0,TIE,0.0,0.0,TIE,8dfd074c2bcb44f4e94e2924892774c0d4d4e4acaec8ac6b8b9195c3898c1ddc,1x full-population raw-bag timing only; no survivor/common cohort,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\RAW_COUNT_AS_SECONDS.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\SERVICE_RATE_NORMALIZED.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\NO_QI_BUT_CALENDAR.json
czr005.cie_service_normalization.summary.v2,map2,1,REAL_SERVICE,1.0,COMPLETE,,COMPLETE,,COMPLETE,,population_latency_mean_seconds,population latency mean (s),lower,237.41280897039394,237.41280897039394,238.15899186311827,0.0,0.0,TIE,0.7461828927243346,0.3142976556152814,WORSE,8dfd074c2bcb44f4e94e2924892774c0d4d4e4acaec8ac6b8b9195c3898c1ddc,1x full-population raw-bag timing only; no survivor/common cohort,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\RAW_COUNT_AS_SECONDS.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\SERVICE_RATE_NORMALIZED.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\NO_QI_BUT_CALENDAR.json
czr005.cie_service_normalization.summary.v2,map2,1,REAL_SERVICE,1.0,COMPLETE,,COMPLETE,,COMPLETE,,population_latency_p95_seconds,population latency P95 (s),lower,339.7229675000199,339.7229675000199,343.8852825000322,0.0,0.0,TIE,4.162315000012313,1.225208595886903,WORSE,8dfd074c2bcb44f4e94e2924892774c0d4d4e4acaec8ac6b8b9195c3898c1ddc,1x full-population raw-bag timing only; no survivor/common cohort,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\RAW_COUNT_AS_SECONDS.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\SERVICE_RATE_NORMALIZED.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\NO_QI_BUT_CALENDAR.json
czr005.cie_service_normalization.summary.v2,map2,1,REAL_SERVICE,1.0,COMPLETE,,COMPLETE,,COMPLETE,,population_latency_p99_seconds,population latency P99 (s),lower,401.8339754999956,401.8339754999956,409.5132989999946,0.0,0.0,TIE,7.679323499999043,1.9110687418712626,WORSE,8dfd074c2bcb44f4e94e2924892774c0d4d4e4acaec8ac6b8b9195c3898c1ddc,1x full-population raw-bag timing only; no survivor/common cohort,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\RAW_COUNT_AS_SECONDS.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\SERVICE_RATE_NORMALIZED.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\NO_QI_BUT_CALENDAR.json
czr005.cie_service_normalization.summary.v2,map2,1,REAL_SERVICE,1.0,COMPLETE,,COMPLETE,,COMPLETE,,population_latency_max_seconds,population latency maximum (s),lower,527.0250299999898,527.0250299999898,558.894269999997,0.0,0.0,TIE,31.869240000007267,6.047006913506155,WORSE,8dfd074c2bcb44f4e94e2924892774c0d4d4e4acaec8ac6b8b9195c3898c1ddc,1x full-population raw-bag timing only; no survivor/common cohort,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\RAW_COUNT_AS_SECONDS.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\SERVICE_RATE_NORMALIZED.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\NO_QI_BUT_CALENDAR.json
czr005.cie_service_normalization.summary.v2,map2,1,REAL_SERVICE,1.0,COMPLETE,,COMPLETE,,COMPLETE,,business_on_time_raw_bag_count,on-time raw bags,higher,28506,28506,28506,0.0,0.0,TIE,0.0,0.0,TIE,8dfd074c2bcb44f4e94e2924892774c0d4d4e4acaec8ac6b8b9195c3898c1ddc,1x full-population raw-bag timing only; no survivor/common cohort,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\RAW_COUNT_AS_SECONDS.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\SERVICE_RATE_NORMALIZED.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\NO_QI_BUT_CALENDAR.json
czr005.cie_service_normalization.summary.v2,map2,1,REAL_SERVICE,1.0,COMPLETE,,COMPLETE,,COMPLETE,,business_on_time_rate,on-time raw-bag rate,higher,1.0,1.0,1.0,0.0,0.0,TIE,0.0,0.0,TIE,8dfd074c2bcb44f4e94e2924892774c0d4d4e4acaec8ac6b8b9195c3898c1ddc,1x full-population raw-bag timing only; no survivor/common cohort,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\RAW_COUNT_AS_SECONDS.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\SERVICE_RATE_NORMALIZED.json;C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\service_normalization\map2\REAL_SERVICE\NO_QI_BUT_CALENDAR.json
