policy,window_name,planned_count,scope_total,node_window_conflicts,runtime_full_cie_astar_calls,model_inference_count,model_selected_decision_count,rule_fallback_calls,bounded_local_search_calls,source_retry_count,failed_count,loop_count,nonprogress_steps,avg_no_progress_steps_per_task,mean_wait_seconds,mean_transport_time,edge_overlap_diagnostic_only,window_offset,window_size,context,source,stable
model_plus_pibt_lite,g4i_1024_offset0_no_fault,1024,1024,0,0,7028,5250,1778,0,490,0,0,1235,1.20605469,7.50754498,119.17707623,23997,0,1024,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_1024_offset1024_no_fault,1024,1024,0,0,7367,5557,1810,0,462,0,0,1334,1.30273438,6.17863298,122.24328142,22274,1024,1024,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_1024_offset2048_no_fault,1024,1024,0,0,7496,5684,1812,0,435,0,0,1381,1.34863281,8.37419736,129.93591611,25391,2048,1024,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_1024_offset3072_no_fault,1024,1024,0,0,7570,5696,1874,0,406,0,0,1278,1.24804688,6.23449719,134.56613781,22482,3072,1024,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_1024_offset4096_no_fault,1024,1024,0,0,7834,5878,1956,0,315,0,0,1269,1.23925781,5.21593992,148.88000242,25961,4096,1024,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_1024_offset8192_no_fault,1024,1024,0,0,8106,6085,2021,0,297,0,0,1182,1.15429688,4.530956,150.44775287,26675,8192,1024,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_12000_offset0_no_fault_smoke,12000,12000,0,0,96732,73019,23713,0,4194,0,75,17800,1.48333333,20.77855758,161.79572425,766929,0,12000,no_fault,g4i_raw_inputdata_smoke,True
model_plus_pibt_lite,g4i_2048_offset0_no_fault,2048,2048,0,0,14616,10970,3646,0,974,0,0,2829,1.38134766,12.44636568,127.10867037,67905,0,2048,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_2048_offset2048_no_fault,2048,2048,0,0,15213,11500,3713,0,868,0,0,2863,1.39794922,11.89860474,137.2440149,64714,2048,2048,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_2048_offset4096_no_fault,2048,2048,0,0,15602,11664,3938,0,660,0,0,2646,1.29199219,8.28053868,151.36393711,64195,4096,2048,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_4096_offset0_no_fault,4096,4096,0,0,30251,22814,7437,0,1867,0,0,6003,1.46557617,20.72791291,141.42405549,196451,0,4096,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_4096_offset4096_no_fault,4096,4096,0,0,31406,23488,7918,0,1367,0,0,5460,1.33300781,11.14036176,153.38743207,150955,4096,4096,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_512_offset0_no_fault,512,512,0,0,3522,2630,892,0,238,0,0,572,1.1171875,3.86378482,114.90206607,7924,0,512,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_512_offset1024_no_fault,512,512,0,0,3552,2656,896,0,228,0,0,648,1.265625,4.07241887,114.97007512,8562,1024,512,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_512_offset1536_no_fault,512,512,0,0,3756,2861,895,0,210,0,0,613,1.19726562,4.11414046,124.37898421,8838,1536,512,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_512_offset2048_no_fault,512,512,0,0,3768,2865,903,0,204,0,0,636,1.2421875,4.35244566,126.31338316,8895,2048,512,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_512_offset3072_no_fault,512,512,0,0,3742,2833,909,0,200,0,0,594,1.16015625,4.16270066,129.22129441,8390,3072,512,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_512_offset4096_no_fault,512,512,0,0,3931,2930,1001,0,131,0,0,495,0.96679688,1.7699475,151.68674438,10987,4096,512,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_512_offset512_no_fault,512,512,0,0,3451,2591,860,0,234,0,0,562,1.09765625,4.07044028,115.10520591,8378,512,512,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_512_offset8192_no_fault,512,512,0,0,4001,2983,1018,0,135,0,0,513,1.00195312,2.31068559,149.95951372,11274,8192,512,no_fault,g4i_raw_inputdata_stress,True
model_plus_pibt_lite,g4i_8192_offset0_no_fault,8192,8192,0,0,62765,47254,15511,0,3257,0,45,12353,1.50793457,21.69313033,154.06210005,467262,0,8192,no_fault,g4i_raw_inputdata_stress,True
