policy,role,planned,max_tasks,node_window_conflicts,wrong_high_confidence_actions,fallback_actions,learner_visited_states,notes
old_edge_score_event,previous_learning_baseline,97,144,0,,,,From G2/G4B baseline comparison.
fallback_event,previous_safe_baseline,93,144,0,,,,From G2/G4B baseline comparison.
g4b_no_calibration,round0_route_exact,132,144,0,14,0,14,Existing G4B no-scenario model without failure-cluster abstain.
g4c_round1_no_calibration,dagger_round1_unwrapped,132,144,0,14,0,14,"Round1 relabels are included, but no cluster abstain is active."
g4c_round1_cluster_abstain,learner_visited_calibrated_policy,144,144,0,0,114,0,Failure-derived risky branch clusters abstain to verified CIE retry fallback.
cie_retry_teacher_upper_bound,teacher_upper_bound,144,144,0,0,0,0,Verified G3k CIE/Java retry teacher.
