task_id,segment_id,start_node,entry_time,java_release_time,output_start_time,output_tth,finish_time_if_reconstructable,tth_if_entry_denominator,tth_if_release_denominator,closest_denominator,confidence
0,0:storage_in,3,8267.845453,8267,8267,54,8321,53.154547,54,java_release_time_tth,high
0,0:storage_out,52,19500,19500,19500,146,19646,146,146,ambiguous_equal,tie
1,1:storage_in,4,8867.845453,8867,8867,47,8914,46.154547,47,java_release_time_tth,high
1,1:storage_out,52,19500,19501,19501,171,19672,172,171,java_release_time_tth,high
2,2:storage_in,5,8875.816299,8875,8875,46,8921,45.183701,46,java_release_time_tth,high
2,2:storage_out,52,19500,19502,19502,146,19648,148,146,java_release_time_tth,high
3,3:storage_in,3,8880.000872,8880,8880,54,8934,53.999128,54,java_release_time_tth,high
3,3:storage_out,52,19500,19503,19503,199,19702,202,199,java_release_time_tth,high
4,4:storage_in,3,9462.482986,9462,9462,54,9516,53.517014,54,java_release_time_tth,high
4,4:storage_out,52,19500,19504,19504,146,19650,150,146,java_release_time_tth,high
5,5:storage_in,4,9470.615484,9470,9470,47,9517,46.384516,47,java_release_time_tth,high
5,5:storage_out,52,20400,20400,20400,146,20546,146,146,ambiguous_equal,tie
6,6:storage_in,5,10062.62162,10062,10062,46,10108,45.37838,46,java_release_time_tth,high
6,6:storage_out,52,19500,19505,19505,171,19676,176,171,java_release_time_tth,high
7,7:storage_in,3,10073.28213,10073,10073,54,10127,53.71787,54,java_release_time_tth,high
7,7:storage_out,52,19500,19506,19506,146,19652,152,146,java_release_time_tth,high
8,8:storage_in,0,10084.10648,10084,10084,46,10130,45.89352,46,java_release_time_tth,high
8,8:storage_out,52,20700,20700,20700,210,20910,210,210,ambiguous_equal,tie
9,9:storage_in,4,10085.33414,10085,10085,47,10132,46.66586,47,java_release_time_tth,high
9,9:storage_out,52,20700,20701,20702,250,20952,252,251,java_release_time_tth,medium
10,10:storage_in,5,10087.97294,10087,10087,46,10133,45.02706,46,java_release_time_tth,high
10,10:storage_out,52,19500,19507,19507,199,19706,206,199,java_release_time_tth,high
11,11:storage_in,1,10089.43982,10089,10089,51,10140,50.56018,51,java_release_time_tth,high
11,11:storage_out,52,20700,20702,20703,213,20916,216,214,java_release_time_tth,medium
12,12:storage_in,0,10645.1686,10645,10645,46,10691,45.8314,46,java_release_time_tth,high
12,12:storage_out,52,21300,21300,21300,146,21446,146,146,ambiguous_equal,tie
13,13:storage_in,4,10665.17885,10665,10665,47,10712,46.82115,47,java_release_time_tth,high
13,13:storage_out,52,21600,21600,21600,146,21746,146,146,ambiguous_equal,tie
14,14:storage_in,5,10673.28828,10673,10673,46,10719,45.71172,46,java_release_time_tth,high
14,14:storage_out,52,19500,19508,19508,146,19654,154,146,java_release_time_tth,high
15,15:storage_in,3,10675.8454,10675,10675,54,10729,53.1546,54,java_release_time_tth,high
15,15:storage_out,52,21300,21301,21301,171,21472,172,171,java_release_time_tth,high
16,16:storage_in,3,10681.05953,10681,10681,49,10730,48.94047,49,java_release_time_tth,high
16,16:storage_out,52,19500,19509,19509,171,19680,180,171,java_release_time_tth,high
17,17:storage_in,2,10681.47782,10681,10681,53,10734,52.52218,53,java_release_time_tth,high
17,17:storage_out,52,21300,21302,21302,185,21487,187,185,java_release_time_tth,high
18,18:storage_in,0,10684.10647,10684,10686,46,10732,47.89353,48,original_entry_time_tth,medium
18,18:storage_out,52,21300,21303,21305,210,21515,215,212,java_release_time_tth,medium
19,19:storage_in,1,10686.81115,10686,10686,51,10737,50.18885,51,java_release_time_tth,high
19,19:storage_out,52,22200,22201,22460,213,22673,473,472,java_release_time_tth,medium
20,20:storage_in,3,10688.10327,10688,10688,54,10742,53.89673,54,java_release_time_tth,high
20,20:storage_out,52,21900,21900,21900,199,22099,199,199,ambiguous_equal,tie
21,21:storage_in,2,10689.43977,10689,10689,75,10764,74.56023,75,java_release_time_tth,high
21,21:storage_out,52,21900,21901,21902,210,22112,212,211,java_release_time_tth,medium
22,22:storage_in,4,10812.77765,10812,10812,47,10859,46.22235,47,java_release_time_tth,high
22,22:storage_out,52,20400,20401,20403,200,20603,203,202,java_release_time_tth,medium
23,23:storage_in,5,11251.84541,11251,11251,46,11297,45.15459,46,java_release_time_tth,high
23,23:storage_out,52,21900,21902,21904,146,22050,150,148,java_release_time_tth,medium
24,24:storage_in,3,11254.48296,11254,11254,54,11308,53.51704,54,java_release_time_tth,high
24,24:storage_out,52,22200,22202,22462,146,22608,408,406,java_release_time_tth,medium
25,25:storage_in,4,11267.81636,11267,11267,47,11314,46.18364,47,java_release_time_tth,high
25,25:storage_out,52,21900,21903,21905,222,22127,227,224,java_release_time_tth,medium
26,26:storage_in,4,11269.33434,11269,11269,47,11316,46.66566,47,java_release_time_tth,high
26,26:storage_out,52,20700,20703,20707,199,20906,206,203,java_release_time_tth,medium
27,27:storage_in,5,11270.51203,11270,11270,77,11347,76.48797,77,java_release_time_tth,high
27,27:storage_out,52,19500,19510,19510,146,19656,156,146,java_release_time_tth,high
28,28:storage_in,3,11273.14959,11273,11273,54,11327,53.85041,54,java_release_time_tth,high
28,28:storage_out,52,19500,19511,19511,171,19682,182,171,java_release_time_tth,high
29,29:storage_in,0,11273.43982,11273,11273,46,11319,45.56018,46,java_release_time_tth,high
29,29:storage_out,52,21900,21904,21907,210,22117,217,213,java_release_time_tth,medium
30,30:storage_in,5,11274.66746,11274,11274,46,11320,45.33254,46,java_release_time_tth,high
30,30:storage_out,52,21900,21905,21908,250,22158,258,253,java_release_time_tth,medium
31,31:storage_in,1,11276.14448,11276,11276,72,11348,71.85552,72,java_release_time_tth,high
31,31:storage_out,52,21900,21906,21910,210,22120,220,214,java_release_time_tth,medium
32,32:storage_in,2,11278.77315,11278,11278,53,11331,52.22685,53,java_release_time_tth,high
32,32:storage_out,52,21900,21907,21912,185,22097,197,190,java_release_time_tth,medium
33,33:storage_in,0,11281.43983,11281,11282,46,11328,46.56017,47,original_entry_time_tth,medium
33,33:storage_out,52,22200,22203,22463,235,22698,498,495,java_release_time_tth,medium
34,34:storage_in,3,11282.63961,11282,11282,54,11336,53.36039,54,java_release_time_tth,high
34,34:storage_out,52,19500,19512,19512,250,19762,262,250,java_release_time_tth,high
35,35:storage_in,4,11285.33412,11285,11285,80,11365,79.66588,80,java_release_time_tth,high
35,35:storage_out,52,22200,22204,22467,199,22666,466,462,java_release_time_tth,medium
36,36:storage_in,1,11286.58781,11286,11286,72,11358,71.41219,72,java_release_time_tth,high
36,36:storage_out,52,20700,20704,20708,185,20893,193,189,java_release_time_tth,medium
37,37:storage_in,5,11288.00084,11288,11288,46,11334,45.99916,46,java_release_time_tth,high
