scenario,context,teacher_task_count,move_slice_count,source_retry_slice_count,branch_slice_count
legacy_first16,no_fault,16,121,0,57
legacy_first16_buffer2,buffer_capacity,16,121,0,57
legacy_first32,no_fault,32,252,1,116
legacy_offset32_static16,static_fault,16,134,0,59
legacy_offset64_merge32,merge_window,32,279,8,122
legacy_offset64_repair32,repair_window,32,279,8,122
