stage,runtime_seconds,runtime_decisions,decisions_per_second,notes
g4g_python_repro,0,,,fresh rerun only in state/repro entrypoint
cpp_action_core_parity,15.8939585,35235,2216.88008055,Python event loop calling C++ action core
g4h_raw_stress_python_loop,0,262188,,official no-A* candidate over expanded stress windows
