epoch,loss,top1
1,0.903913181374067,0.5128205128205128
2,0.8504208774667833,0.6282051282051282
3,0.8083249571911908,0.5641025641025641
4,0.7675689197231877,0.6410256410256411
5,0.7237712068378022,0.7564102564102564
6,0.7048372893342991,0.6923076923076923
7,0.6692701949796299,0.717948717948718
8,0.6299921858725832,0.7307692307692307
9,0.577180240345217,0.7307692307692307
10,0.5261028229212535,0.7692307692307693
11,0.5070674978071578,0.7564102564102564
12,0.4872621872274131,0.7948717948717948
13,0.47702642225893555,0.782051282051282
14,0.44935353243347564,0.7948717948717948
15,0.4276196290490873,0.7948717948717948
16,0.40181062759091607,0.8205128205128205
17,0.39284666814006863,0.782051282051282
18,0.3651584876999757,0.8076923076923077
19,0.35502761673993355,0.782051282051282
20,0.3414830494938276,0.8076923076923077
21,0.317387202082934,0.8076923076923077
22,0.3153927666916604,0.8589743589743589
23,0.319701697287583,0.8205128205128205
24,0.29178190991932146,0.8461538461538461
25,0.293239875018185,0.8205128205128205
26,0.2698659825786911,0.8589743589743589
27,0.27219269412702557,0.8974358974358975
28,0.26580175675912493,0.8974358974358975
29,0.21102001636094497,0.9615384615384616
30,0.24727431152624532,0.9358974358974359
31,0.23932101352711918,0.9230769230769231
32,0.23381503944260898,0.9358974358974359
33,0.2166132557898745,0.9358974358974359
34,0.20018766494737558,0.9487179487179487
35,0.20343977145908929,0.9230769230769231
36,0.21115738278463353,0.9358974358974359
37,0.19460204127194713,0.9230769230769231
38,0.1975265358185987,0.9615384615384616
39,0.18882148822604772,0.9358974358974359
40,0.17284258329583166,0.9487179487179487
41,0.17405145483393106,0.9615384615384616
42,0.1774050279606031,0.9615384615384616
43,0.16470232906031304,0.9487179487179487
44,0.16428352725881307,0.9743589743589743
45,0.1642060906704572,0.9615384615384616
46,0.16203146643845864,0.9615384615384616
47,0.15606638829990935,0.9743589743589743
48,0.1557840137373574,0.9487179487179487
49,0.1345819681722846,0.9487179487179487
50,0.15138243241482555,0.9743589743589743
51,0.1507878408628102,0.9743589743589743
52,0.1469443679885829,0.9743589743589743
53,0.13025201385379007,0.9615384615384616
54,0.13756668528490967,0.9743589743589743
55,0.13534917842650446,0.9743589743589743
56,0.12084988875969539,0.9487179487179487
57,0.1334504906926418,0.9743589743589743
58,0.12561134259487094,0.9743589743589743
59,0.12846316061766674,0.9615384615384616
60,0.11909006280780392,0.9743589743589743
61,0.12352471760124416,0.9615384615384616
62,0.12654257853764966,0.9743589743589743
63,0.12296782065395359,0.9743589743589743
64,0.11000137571879784,0.9615384615384616
65,0.1201030082373076,0.9743589743589743
66,0.11286516915044945,0.9615384615384616
67,0.11547820057009016,0.9743589743589743
68,0.11360404293795681,0.9743589743589743
69,0.11425319131111493,0.9743589743589743
70,0.10617202127085526,0.9487179487179487
71,0.11393966839426717,0.9743589743589743
72,0.10429271607476145,0.9615384615384616
73,0.11272693255286861,0.9743589743589743
74,0.10435046859865323,0.9615384615384616
75,0.09943196734405403,0.9743589743589743
76,0.106967945578626,0.9615384615384616
77,0.10559215086486784,0.9743589743589743
78,0.10598167712526974,0.9743589743589743
79,0.10682173693253481,0.9743589743589743
80,0.1035397284164582,0.9743589743589743
81,0.10131542202136677,0.9615384615384616
82,0.10392890762216694,0.9743589743589743
83,0.09936527483144059,0.9743589743589743
84,0.10252181302294522,0.9743589743589743
85,0.10050164705553045,0.9743589743589743
86,0.09957490004969483,0.9743589743589743
87,0.09956470735052052,0.9743589743589743
88,0.10163772279086655,0.9743589743589743
89,0.09707622216006903,0.9743589743589743
90,0.09763511056758045,0.9743589743589743
91,0.09945518407804291,0.9743589743589743
92,0.09817696516456134,0.9743589743589743
93,0.08428169186949445,0.9615384615384616
94,0.09441826852907034,0.9743589743589743
95,0.09448957303567039,0.9743589743589743
96,0.09623221599707141,0.9743589743589743
