row_type,coverage_dimension,sampling_stratum_id,N_population,n_descriptor_pool,N_h,n_h,pi_h,analysis_weight,coverage_status
REQUIRED_CATEGORY,top_tail,,20487,380,,,,,COVERED
REQUIRED_CATEGORY,non_tail,,727475,5764,,,,,COVERED
REQUIRED_CATEGORY,no_divergence,,703544,5780,,,,,COVERED
REQUIRED_CATEGORY,route_divergence,,44418,364,,,,,COVERED
REQUIRED_CATEGORY,entry_early,,261431,2212,,,,,COVERED
REQUIRED_CATEGORY,entry_normal,,247715,1945,,,,,COVERED
REQUIRED_CATEGORY,entry_late,,238816,1987,,,,,COVERED
REQUIRED_CATEGORY,slack_tight,,518049,4821,,,,,COVERED
REQUIRED_CATEGORY,slack_ample,,172201,963,,,,,COVERED
REQUIRED_CATEGORY,direct,,245812,1416,,,,,COVERED
REQUIRED_CATEGORY,storage,,502150,4728,,,,,COVERED
REQUIRED_CATEGORY,goal_48,,90202,836,,,,,COVERED
REQUIRED_CATEGORY,goal_49,,263109,2324,,,,,COVERED
REQUIRED_CATEGORY,goal_50,,160786,1519,,,,,COVERED
REQUIRED_CATEGORY,hour_6,,89378,769,,,,,COVERED
REQUIRED_CATEGORY,hour_other,,658584,5375,,,,,COVERED
REQUIRED_CATEGORY,source_0_1_2_53,,252416,1501,,,,,COVERED
REQUIRED_CATEGORY,source_3_4_5,,227261,1380,,,,,COVERED
REQUIRED_CATEGORY,node_52,,168465,2610,,,,,COVERED
REQUIRED_CATEGORY,node_19_22,,39092,283,,,,,COVERED
REQUIRED_CATEGORY,low_contention,,4504,31,,,,,COVERED
REQUIRED_CATEGORY,high_contention,,743458,6113,,,,,COVERED
REQUIRED_CATEGORY,p2_prefilter_candidate,,0,0,,,,,ZERO_ELIGIBLE_SUPPORT
REQUIRED_CATEGORY,random_eligible_control,,747962,3071,,,,,COVERED
SAMPLING_STRATUM,,I1|BODY|DIVERGENCE|HIGH,2288,88,2288,88,0.038461538461538464,26.0,COVERED
SAMPLING_STRATUM,,I1|BODY|NO_DIVERGENCE|HIGH,38421,1471,38421,1471,0.03828635381692304,26.11896668932699,COVERED
SAMPLING_STRATUM,,I1|TAIL|DIVERGENCE|HIGH,74,7,74,7,0.0945945945945946,10.571428571428571,COVERED
SAMPLING_STRATUM,,I1|TAIL|NO_DIVERGENCE|HIGH,896,84,896,84,0.09375,10.666666666666666,COVERED
SAMPLING_STRATUM,,I3|BODY|DIVERGENCE|HIGH,10032,92,10032,92,0.009170653907496013,109.04347826086956,COVERED
SAMPLING_STRATUM,,I3|BODY|DIVERGENCE|LOW,18,1,18,1,0.05555555555555555,18.0,COVERED
SAMPLING_STRATUM,,I3|BODY|NO_DIVERGENCE|HIGH,170143,1578,170143,1578,0.009274551406757845,107.82192648922687,COVERED
SAMPLING_STRATUM,,I3|BODY|NO_DIVERGENCE|LOW,1012,9,1012,9,0.008893280632411068,112.44444444444443,COVERED
SAMPLING_STRATUM,,I3|TAIL|DIVERGENCE|HIGH,466,11,466,11,0.023605150214592276,42.36363636363636,COVERED
SAMPLING_STRATUM,,I3|TAIL|NO_DIVERGENCE|HIGH,4196,96,4196,96,0.022878932316491896,43.708333333333336,COVERED
SAMPLING_STRATUM,,I3|TAIL|NO_DIVERGENCE|LOW,78,2,78,2,0.02564102564102564,39.0,COVERED
SAMPLING_STRATUM,,I4|BODY|DIVERGENCE|HIGH,30514,152,30514,152,0.0049813200498132005,200.75,COVERED
SAMPLING_STRATUM,,I4|BODY|DIVERGENCE|LOW,36,1,36,1,0.027777777777777776,36.0,COVERED
SAMPLING_STRATUM,,I4|BODY|NO_DIVERGENCE|HIGH,471856,2356,471856,2356,0.004993048726730189,200.27843803056027,COVERED
SAMPLING_STRATUM,,I4|BODY|NO_DIVERGENCE|LOW,3155,16,3155,16,0.005071315372424723,197.1875,COVERED
SAMPLING_STRATUM,,I4|TAIL|DIVERGENCE|HIGH,990,12,990,12,0.012121212121212121,82.5,COVERED
SAMPLING_STRATUM,,I4|TAIL|NO_DIVERGENCE|HIGH,13582,166,13582,166,0.012222058606979827,81.81927710843374,COVERED
SAMPLING_STRATUM,,I4|TAIL|NO_DIVERGENCE|LOW,205,2,205,2,0.00975609756097561,102.5,COVERED
