scale,plan_count,python_elapsed_seconds,cpp_elapsed_seconds,python_plans_per_second,cpp_plans_per_second,cpp_speedup_vs_python,python_checksum,cpp_checksum,checksum_match
1,500,0.116976,0.087687,4274.37,5702.12,1.334,4374,4374,1
2,1000,0.238831,0.195054,4187.06,5126.79,1.224,8925,8925,1
4,2000,0.488672,0.391155,4092.73,5113.07,1.249,17808,17808,1
8,4000,0.953894,0.758153,4193.34,5275.98,1.258,35661,35661,1
16,8000,1.837983,1.516141,4352.60,5276.55,1.212,69664,69664,1
