split,decision_count,disagreement_count,disagreement_rate,abstain_count,abstain_rate,unsafe_fault_prediction_count,node_window_conflicts
train,821,9,0.01096224,0,0.00000000,0,0
val,238,2,0.00840336,0,0.00000000,0,0
test,127,3,0.02362205,0,0.00000000,0,0
all,1186,14,0.01180438,0,0.00000000,0,0
