task_id,original_project_tth,noastar_tth,delta_seconds,start,goal,leg,early_bag_split,source_node,goal_node,noastar_path,reference_flat_result_path_if_available,model_decisions,fallback_calls,wait_seconds,loop_count,source_retry,top_delay_reason
0,200,194.4,-5.6,3,49,storage_in|storage_out,True,3|52,47|49,"[[3, 16, 17, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,10,4,0,0,0,no_slower_or_faster
1,218,192.800001,-25.199999,4,49,storage_in|storage_out,True,4|52,47|49,"[[4, 17, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,10,3,1.000001,0,1,no_slower_or_faster
2,192,193.000002,1.000002,5,49,storage_in|storage_out,True,5|52,47|49,"[[5, 19, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,9,4,2.000002,0,1,source_retry
3,253,247.200003,-5.799997,3,48,storage_in|storage_out,True,3|52,47|48,"[[3, 16, 17, 18, 22, 24, 27, 28, 47], [52, 40, 41, 45, 48]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,8,4,0.000003,0,1,no_slower_or_faster
4,200,197.400003,-2.599997,3,49,storage_in|storage_out,True,3|52,47|49,"[[3, 16, 17, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,10,4,3.000003,0,1,no_slower_or_faster
5,193,191.8,-1.2,4,49,storage_in|storage_out,True,4|52,47|49,"[[4, 17, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,10,3,0,0,0,no_slower_or_faster
6,217,195.000004,-21.999996,5,49,storage_in|storage_out,True,5|52,47|49,"[[5, 19, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,9,4,4.000004,0,1,no_slower_or_faster
7,200,199.400005,-0.599995,3,49,storage_in|storage_out,True,3|52,47|49,"[[3, 16, 17, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,10,4,5.000005,0,1,no_slower_or_faster
8,256,229.8,-26.2,0,50,storage_in|storage_out,True,0|52,47|50,"[[0, 6, 12, 13, 23, 24, 27, 28, 47], [52, 29, 30, 31, 32, 33, 44, 50]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,12,3,0,0,0,no_slower_or_faster
9,297,245.245147,-51.754853,4,48,storage_in|storage_out,True,4|52,47|48,"[[4, 17, 18, 22, 24, 27, 28, 47], [52, 40, 41, 45, 48]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,8,3,0.645147,0,1,no_slower_or_faster
10,245,244.800004,-0.199996,5,48,storage_in|storage_out,True,5|52,47|48,"[[5, 19, 18, 22, 24, 27, 28, 47], [52, 40, 41, 45, 48]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,7,4,1.000004,0,1,no_slower_or_faster
11,264,236.439671,-27.560329,1,50,storage_in|storage_out,True,1|52,47|50,"[[1, 7, 8, 11, 13, 23, 24, 27, 28, 47], [52, 29, 30, 31, 32, 33, 44, 50]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,13,3,2.039671,0,1,no_slower_or_faster
12,192,190.8,-1.2,0,49,storage_in|storage_out,True,0|52,47|49,"[[0, 6, 12, 13, 23, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,11,3,0,0,0,no_slower_or_faster
13,193,191.8,-1.2,4,49,storage_in|storage_out,True,4|52,47|49,"[[4, 17, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,10,3,0,0,0,no_slower_or_faster
14,192,197.000006,5.000006,5,49,storage_in|storage_out,True,5|52,47|49,"[[5, 19, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,9,4,6.000006,0,1,source_retry
15,225,195.400001,-29.599999,3,49,storage_in|storage_out,True,3|52,47|49,"[[3, 16, 17, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,10,4,1.000001,0,1,no_slower_or_faster
16,220,201.400007,-18.599993,3,49,storage_in|storage_out,True,3|52,47|49,"[[3, 16, 17, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,10,4,7.000007,0,1,no_slower_or_faster
17,238,239.000002,1.000002,2,50,storage_in|storage_out,True,2|52,47|50,"[[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47], [52, 29, 30, 31, 32, 33, 44, 50]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,13,4,2.000002,0,1,source_retry
18,256,234.353064,-21.646936,0,50,storage_in|storage_out,True,0|52,47|50,"[[0, 6, 12, 13, 23, 24, 27, 28, 47], [52, 29, 30, 31, 32, 33, 44, 50]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,12,3,4.553064,0,1,no_slower_or_faster
19,264,235.835321,-28.164679,1,50,storage_in|storage_out,True,1|52,47|50,"[[1, 7, 8, 11, 13, 23, 24, 27, 28, 47], [52, 29, 30, 31, 32, 33, 44, 50]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,13,3,1.435321,0,0,no_slower_or_faster
20,253,247.907881,-5.092119,3,48,storage_in|storage_out,True,3|52,47|48,"[[3, 16, 17, 18, 22, 24, 27, 28, 47], [52, 40, 41, 45, 48]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,8,4,0.707881,0,0,no_slower_or_faster
21,285,238.778423,-46.221577,2,50,storage_in|storage_out,True,2|52,47|50,"[[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47], [52, 29, 30, 31, 32, 33, 44, 50]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,13,4,1.778423,0,1,no_slower_or_faster
22,247,192.800001,-54.199999,4,49,storage_in|storage_out,True,4|52,47|49,"[[4, 17, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,10,3,1.000001,0,1,no_slower_or_faster
23,192,193.778424,1.778424,5,49,storage_in|storage_out,True,5|52,47|49,"[[5, 19, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,9,4,2.778424,0,1,source_retry
24,200,195.400001,-4.599999,3,49,storage_in|storage_out,True,3|52,47|49,"[[3, 16, 17, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,10,4,1.000001,0,1,no_slower_or_faster
25,269,196.578426,-72.421574,4,49,storage_in|storage_out,True,4|52,47|49,"[[4, 17, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,10,3,4.778426,0,1,no_slower_or_faster
26,246,246.245148,0.245148,4,48,storage_in|storage_out,True,4|52,47|48,"[[4, 17, 18, 22, 24, 27, 28, 47], [52, 40, 41, 45, 48]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,8,3,1.645148,0,1,source_retry
27,223,199.622319,-23.377681,5,49,storage_in|storage_out,True,5|52,47|49,"[[5, 19, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,9,4,8.622319,0,1,no_slower_or_faster
28,225,203.400009,-21.599991,3,49,storage_in|storage_out,True,3|52,47|49,"[[3, 16, 17, 18, 22, 24, 27, 28, 47], [52, 29, 30, 31, 32, 37, 49]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,10,4,9.000009,0,1,no_slower_or_faster
29,256,236.399992,-19.600008,0,50,storage_in|storage_out,True,0|52,47|50,"[[0, 6, 12, 13, 23, 24, 27, 28, 47], [52, 29, 30, 31, 32, 33, 44, 50]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,12,3,6.599992,0,1,no_slower_or_faster
30,296,244.800001,-51.199999,5,48,storage_in|storage_out,True,5|52,47|48,"[[5, 19, 18, 22, 24, 27, 28, 47], [52, 40, 41, 45, 48]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,7,4,1.000001,0,1,no_slower_or_faster
31,282,243.018251,-38.981749,1,50,storage_in|storage_out,True,1|52,47|50,"[[1, 7, 8, 11, 13, 23, 24, 27, 28, 47], [52, 29, 30, 31, 32, 33, 44, 50]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,13,3,8.618251,0,1,no_slower_or_faster
32,238,246.618252,8.618252,2,50,storage_in|storage_out,True,2|52,47|50,"[[2, 9, 7, 8, 11, 13, 23, 24, 27, 28, 47], [52, 29, 30, 31, 32, 33, 44, 50]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,13,4,9.618252,0,1,source_retry
33,281,232.539973,-48.460027,0,50,storage_in|storage_out,True,0|52,47|50,"[[0, 6, 12, 13, 23, 24, 27, 28, 47], [52, 29, 30, 31, 32, 33, 44, 50]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,12,3,2.739973,0,1,no_slower_or_faster
34,304,249.933546,-54.066454,3,48,storage_in|storage_out,True,3|52,47|48,"[[3, 16, 17, 18, 22, 24, 27, 28, 47], [52, 40, 41, 45, 48]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,8,4,2.733546,0,1,no_slower_or_faster
35,279,246.239035,-32.760965,4,48,storage_in|storage_out,True,4|52,47|48,"[[4, 17, 18, 22, 24, 27, 28, 47], [52, 40, 41, 45, 48]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,8,3,1.639035,0,1,no_slower_or_faster
36,257,237.439672,-19.560328,1,50,storage_in|storage_out,True,1|52,47|50,"[[1, 7, 8, 11, 13, 23, 24, 27, 28, 47], [52, 29, 30, 31, 32, 33, 44, 50]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,13,3,3.039672,0,1,no_slower_or_faster
37,245,246.572315,1.572315,5,48,storage_in|storage_out,True,5|52,47|48,"[[5, 19, 18, 22, 24, 27, 28, 47], [52, 40, 41, 45, 48]]",C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\项目仿真（数据+分析）\仿真数据2\2.5 0.txt,7,4,2.772315,0,1,source_retry
