case,policy,task_offset,max_tasks,fault_edges,fault_windows,python_planned,cpp_planned,python_unplanned,cpp_unplanned,python_decisions,cpp_decisions,python_conflicts,cpp_conflicts,python_elapsed_seconds,cpp_elapsed_seconds,python_decisions_per_second,cpp_decisions_per_second,python_tasks_per_second,cpp_tasks_per_second,cpp_decision_speedup,cpp_task_speedup,mean_travel_abs_diff,makespan_abs_diff,summary_parity_pass,first_mismatch_status,first_mismatch_field,python_value,cpp_value
legacy_first16,edge_score_event,0,16,none,none,16,16,0,0,173,173,0,0,0.08531479997327551,0.0401076,2027.7841600073082,4313.396962171758,187.54073156136954,398.92688667484464,2.12714797128912,2.1271479712891197,0.0,0.0,True,match,none,,
legacy_first16,fallback_event,0,16,none,none,15,15,1,1,168,168,0,0,0.0329316999996081,0.0314887,5101.46758296715,5335.247247425266,485.8540555206809,508.11878546907303,1.045825962952046,1.0458259629520463,0.0,0.0,True,match,none,,
legacy_first32,edge_score_event,0,32,none,none,24,24,8,8,330,330,0,0,0.17295159999048337,0.0655398,1908.0482633185134,5035.108437926268,185.02286189755281,488.25293943527447,2.638878971105853,2.6388789711058527,0.0,0.0,True,match,none,,
legacy_first32,fallback_event,0,32,none,none,25,25,7,7,346,346,0,0,0.0716715999878943,0.0598933,4827.5746607922965,5776.939991618428,446.48089348368063,534.2834674329182,1.1966547174374147,1.1966547174374145,0.0,0.0,True,match,none,,
legacy_first64,edge_score_event,0,64,none,none,41,41,23,23,695,695,0,0,0.36997810000320897,0.1386811,1878.4895646363177,5011.4976013314,172.98321170751703,461.4904265974239,2.6678336125341446,2.6678336125341446,0.0,0.0,True,match,none,,
legacy_first64,fallback_event,0,64,none,none,43,43,21,21,721,721,0,0,0.15869719994952902,0.1204715,4543.243360495975,5984.817985996689,403.28373796358176,531.2459793395119,1.3173007719629046,1.3173007719629044,0.0,0.0,True,match,none,,
legacy_offset64_repair32,edge_score_event,64,32,none,"28->47@[0.000,12000.000)",15,15,17,17,323,323,0,0,0.17624180001439527,0.0564506,1832.7093798044373,5721.816951458443,181.56873112613619,566.8673140763783,3.1220536188170764,3.122053618817077,0.0,0.0,True,match,none,,
legacy_offset64_repair32,fallback_event,64,32,none,"28->47@[0.000,12000.000)",13,13,19,19,321,321,0,0,0.07036369998240843,0.0502151,4562.01137916643,6392.499467291711,454.77995057110826,637.258513873317,1.4012458400442982,1.4012458400442982,0.0,0.0,True,match,none,,
