table_id,case_id,metric,s4_value,baseline_value,unit,comparison,measurement_status,evidence,verdict
5.2,t5_2_speed_1p5,completed_raw_bags,57012,56822,raw_bags,fresh_hca_2x_fixed_population,MEASURED,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,S4_WIN
5.2,t5_2_speed_1p5,min,5.088922222221906,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_1p5,min,5.088922222221906,5.1,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_1p5,mean,5.725105848671219,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_1p5,mean,5.725105848671219,6.655409876456302,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_1p5,p95,6.744511111111691,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_1p5,p95,6.744511111111691,8.116666666666667,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_1p5,p99,6.88201111111072,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_1p5,p99,6.88201111111072,8.916666666666666,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_1p5,max,8.472288888889064,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_1p5,max,8.472288888889064,9.633333333333333,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_2,completed_raw_bags,57012,56992,raw_bags,fresh_hca_2x_fixed_population,MEASURED,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,S4_WIN
5.2,t5_2_speed_2,min,3.8666999999998857,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2,min,3.8666999999998857,3.8833333333333333,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_2,mean,4.322392263032325,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2,mean,4.322392263032325,5.0328329707093395,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_2,p95,5.075066666666681,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2,p95,5.075066666666681,6.183333333333334,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_2,p99,5.112566666666923,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2,p99,5.112566666666923,6.783333333333333,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
5.2,t5_2_speed_2,max,5.679233333333104,,minutes,fresh_hca_2x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,EXACT_RELEASE_FIXED_POPULATION_CAPACITY,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2,max,5.679233333333104,7.366666666666666,minutes,fresh_hca_censored_survivors_secondary,CENSORED_SECONDARY,does_not_drive_verdict,NOT_MEASURED
