runtime,repeats,case_count,total_plans,elapsed_seconds,plans_per_second,checksum,warmup_repeats,warmup_checksum
legacy_java_astar,10,8000,80000,1.564633700,51130.178265,661760,3,198528
python_reference_astar,10,8000,80000,20.074064500,3985.241753,661760,0,0
cpp_pybind_astar,10,8000,80000,0.901461300,88744.796920,661760,0,0
