source_file,reference_source_file,comparison_status,case_id,map,scale,speed_mps,release,coordination,binary_sha256,arm,arm_label,family,ablation,config,reference_arm,capacity_completed_raw_bags_candidate,capacity_completed_raw_bags_reference,capacity_completed_raw_bags_delta,capacity_completed_raw_bags_relative_delta,capacity_completion_rate_candidate,capacity_completion_rate_reference,capacity_completion_rate_delta,capacity_completion_rate_relative_delta,wall_seconds_candidate,wall_seconds_reference,wall_seconds_delta,wall_seconds_relative_delta,event_count_candidate,event_count_reference,event_count_delta,event_count_relative_delta,formal_timing_min_seconds_candidate,formal_timing_min_seconds_reference,formal_timing_min_seconds_delta,formal_timing_min_seconds_relative_delta,formal_timing_mean_seconds_candidate,formal_timing_mean_seconds_reference,formal_timing_mean_seconds_delta,formal_timing_mean_seconds_relative_delta,formal_timing_p95_seconds_candidate,formal_timing_p95_seconds_reference,formal_timing_p95_seconds_delta,formal_timing_p95_seconds_relative_delta,formal_timing_p99_seconds_candidate,formal_timing_p99_seconds_reference,formal_timing_p99_seconds_delta,formal_timing_p99_seconds_relative_delta,formal_timing_max_seconds_candidate,formal_timing_max_seconds_reference,formal_timing_max_seconds_delta,formal_timing_max_seconds_relative_delta
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\feng_dh\canonical\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\g31\canonical\map2_1x.json,MATCHED_CAPACITY_TIMING_NOT_ELIGIBLE,t5_2_map2_1x_speed_2p5,map2,1,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,feng_dh,FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED_NOT_EXACT,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED""}",g31,28506,28506,0,0.0,1.0,1.0,0.0,0.0,29.67223529983312,28.9125288000796,0.7597064997535199,0.026276030886354995,3950032,3997648,-47616,-0.011911003670158052,,,,,,,,,,,,,,,,,,,,
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\s5\canonical\map2_1x.json,,NO_MATCHING_G31_REFERENCE,t5_2_map2_1x_speed_2p5,map2,1,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,s5,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""S5_dynamic_workload_oracle""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\ssp_time\canonical\map2_1x.json,,NO_MATCHING_G31_REFERENCE,t5_2_map2_1x_speed_2p5,map2,1,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,ssp_time,SSP_TIME_ADAPTATION_NOT_FENG_DHA,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""S3_shortest_potential_only""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\tarau_distributed_2010\canonical\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\g31\canonical\map2_1x.json,MATCHED_CAPACITY_TIMING_NOT_ELIGIBLE,t5_2_map2_1x_speed_2p5,map2,1,2.5,canonical,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,tarau_distributed_2010,TARAU_DISTRIBUTED_2010_ADAPTED_ROUTE_ONLY_NOT_EXACT,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo"",""scorer_mode"":""TARAU_DISTRIBUTED_2010_ADAPTED_ROUTE_ONLY""}",g31,28506,28506,0,0.0,1.0,1.0,0.0,0.0,24.208793100202456,25.27659000013955,-1.0677968999370933,-0.04224449974981586,4061624,3997434,64190,0.01605780107939243,,,,,,,,,,,,,,,,,,,,
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo\tarau_local_2009\canonical\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo\g31\canonical\map2_1x.json,MATCHED_CAPACITY_TIMING_NOT_ELIGIBLE,t5_2_map2_1x_speed_2p5,map2,1,2.5,canonical,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,tarau_local_2009,TARAU_LOCAL_2009_CIE_DH_ADAPTED_NOT_EXACT,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo"",""scorer_mode"":""FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED""}",g31,28506,28506,0,0.0,1.0,1.0,0.0,0.0,27.83823399990797,27.180875800084323,0.6573581998236477,0.02418458495077662,3949959,3997434,-47475,-0.011876368690514965,,,,,,,,,,,,,,,,,,,,
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\feng_dh\same_hca\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\g31\same_hca\map2_1x.json,MATCHED_CAPACITY_AND_FORMAL_SAME_HCA_TIMING,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,G31_BASE_COORDINATION_UNCHANGED,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,feng_dh,FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED_NOT_EXACT,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED""}",g31,28506,28506,0,0.0,1.0,1.0,0.0,0.0,24.461798700038344,25.90344600006938,-1.4416473000310361,-0.05565465305377419,3829807,3878847,-49040,-0.012642932294055425,188.0009999999893,188.0009999999893,0.0,0.0,210.884582298465,210.55305735634744,0.3315249421175679,0.0015745434727004858,247.20199999999022,247.20199999999022,0.0,0.0,256.4019999999946,254.049499999997,2.352499999997576,0.009260006416063027,275.80199999999604,279.20199999999386,-3.399999999997817,-0.012177563197963811
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\s5\same_hca\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\g31\same_hca\map2_1x.json,MATCHED_CAPACITY_AND_FORMAL_SAME_HCA_TIMING,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,G31_BASE_COORDINATION_UNCHANGED,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,s5,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""S5_dynamic_workload_oracle""}",g31,28506,28506,0,0.0,1.0,1.0,0.0,0.0,29.43699639989063,24.53465920011513,4.902337199775502,0.1998127285889709,3878857,3878847,10,2.5780857043343033e-06,188.0009999999893,188.0009999999893,0.0,0.0,210.66901890830135,210.55305735634744,0.11596155195391589,0.0005507474144992275,247.20200000001205,247.20199999999022,2.1827872842550278e-11,8.829974208360427e-14,257.0020000000348,254.049499999997,2.9525000000377872,0.011621750879406659,287.80199999999604,279.20199999999386,8.600000000002183,0.030802071618406646
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\ssp_time\same_hca\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\g31\same_hca\map2_1x.json,MATCHED_CAPACITY_AND_FORMAL_SAME_HCA_TIMING,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,G31_BASE_COORDINATION_UNCHANGED,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,ssp_time,SSP_TIME_ADAPTATION_NOT_FENG_DHA,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""scorer_mode"":""S3_shortest_potential_only""}",g31,28506,28506,0,0.0,1.0,1.0,0.0,0.0,20.965776400174946,24.53465920011513,-3.5688827999401838,-0.14546290497988398,3887164,3878847,8317,0.00214419388029484,188.0009999999893,188.0009999999893,0.0,0.0,210.76742626113935,210.55305735634744,0.21436890479191106,0.0010181229732945912,247.20200000003388,247.20199999999022,4.3655745685100555e-11,1.7659948416720854e-13,259.2019999999937,254.049499999997,5.152499999996678,0.020281480577591132,292.60199999999895,279.20199999999386,13.400000000005093,0.04799392554496525
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\tarau_distributed_2010\same_hca\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\g31\same_hca\map2_1x.json,MATCHED_CAPACITY_AND_FORMAL_SAME_HCA_TIMING,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,tarau_distributed_2010,TARAU_DISTRIBUTED_2010_ADAPTED_ROUTE_ONLY_NOT_EXACT,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo"",""scorer_mode"":""TARAU_DISTRIBUTED_2010_ADAPTED_ROUTE_ONLY""}",g31,28506,28506,0,0.0,1.0,1.0,0.0,0.0,21.970915499841794,23.777772299945354,-1.80685680010356,-0.07598932218337849,3939931,3878593,61338,0.015814497679957656,188.0009999999893,188.0009999999893,0.0,0.0,211.24695162422074,210.54564663579737,0.7013049884233737,0.003330892847366698,247.80199999999513,247.20199999999022,0.6000000000049113,0.002427164828783485,262.00200000001405,254.00199999999677,8.00000000001728,0.03149581499365116,298.20199999999386,278.20199999999386,20.0,0.07189020927240078
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo\tarau_local_2009\map2_1x.json,C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_ablations\same_hca\c_fifo\map2_1x.json,MATCHED_CAPACITY_AND_FORMAL_SAME_HCA_TIMING,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,"{""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo""}",884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,tarau_local_2009,TARAU_LOCAL_2009_CIE_DH_ADAPTED_NOT_EXACT,NOT_REPORTED,NOT_REPORTED,"{""enable_s4_direct_neighbor_merge_calendar_visibility"":false,""enable_s4_local_potential_descent_guard"":false,""merge_grant_rule"":""M1"",""merge_grant_timing_mode"":""jit_fifo"",""scorer_mode"":""FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED""}",g31,28506,28506,0,0.0,1.0,1.0,0.0,0.0,24.19324279995635,25.261575900018215,-1.0683331000618637,-0.04229083348917648,3829878,3878593,-48715,-0.012559966977715888,188.0009999999893,188.0009999999893,0.0,0.0,210.88763604153664,210.54564663579737,0.3419894057392696,0.001624300531517729,247.20199999999022,247.20199999999022,0.0,0.0,256.4019999999946,254.00199999999677,2.399999999997817,0.009448744498066345,275.80199999999604,278.20199999999386,-2.399999999997817,-0.008626825112680248
