prefix_segments,scale,variant_id,status,mean_tth_seconds,p50_tth_seconds,p95_tth_seconds,p99_tth_seconds,max_tth_seconds,source_wait_mean_seconds,network_time_mean_seconds,merge_grant_wait_mean_seconds,event_count,events_per_completed_segment,merge_grant_service_opportunity_count,merge_grant_multi_candidate_opportunity_count,merge_grant_true_competition_count,merge_grant_order_mutation_count,merge_grant_peak_pending_requests,merge_grant_wakeup_scheduled_count,merge_grant_wakeup_coalesced_count,merge_grant_stale_wakeup_count,hard_safety_pass,wall_seconds,cpu_seconds
144,1,J0_F2_EAGER,COMPLETE,10212.42233934722,10648.062225,11436.12360435,11543.1984448,11749.09285,1.2743055555555556,224.25387124999878,0.7707045833333773,14969,103.95138888888889,0,0,0,0,1,666,0,0,True,0.11502029991243035,0.109375
144,1,J1_F2_JIT_FIFO,COMPLETE,10212.380695319443,10648.062225,11436.12360435,11543.138159600001,11748.88497,1.2743055555555556,224.2122272222206,0.7290605555552045,14122,98.06944444444444,442,0,0,0,2,444,83,2,True,0.10458880010992289,0.078125
144,1,J2_F2_JIT_FAIR_AGING_DEADLINE,COMPLETE,10212.380695319443,10648.062225,11436.12360435,11543.138159600001,11748.88497,1.2743055555555556,224.2122272222206,0.7290605555552045,14122,98.06944444444444,442,0,0,0,2,444,83,2,True,0.10364479990676045,0.09375
2048,1,J0_F2_EAGER,COMPLETE,6313.742402753578,6264.558549999998,10876.900578999997,11452.135283,11869.193259999985,16.739493791786057,239.63489000954755,1.9509060936006417,225269,109.99462890625,0,0,0,0,1,12728,0,0,True,1.7974136000266299,1.796875
2048,1,J1_F2_JIT_FIFO,COMPLETE,6312.535969764085,6264.558549999998,10876.055388999994,11444.667296399997,11828.000569999997,16.739493791786057,238.42845702005408,1.5299202674307864,208554,101.8330078125,6407,74,74,0,4,6665,4661,258,True,2.2268163999542594,2.1875
2048,1,J2_F2_JIT_FAIR_AGING_DEADLINE,COMPLETE,6312.535969764085,6264.558549999998,10876.219158999995,11450.6729738,11861.554939999995,16.739493791786057,238.42845702005408,1.657408223495724,208385,101.75048828125,6407,138,138,134,4,6667,4791,260,True,2.3109304000390694,2.265625
512,1,J0_F2_EAGER,COMPLETE,8816.72193442578,9418.706354999998,11183.227207499998,11755.365823,11780.405669999996,3.126953125,228.76652433593617,1.3423699609375177,54469,106.384765625,0,0,0,0,1,2844,0,0,True,0.3809827999211848,0.375
512,1,J1_F2_JIT_FIFO,COMPLETE,8816.347362785154,9418.706354999998,11176.475534999998,11748.383518499999,11780.108759999996,3.126953125,228.39195269531064,1.1403071093744828,50424,98.484375,1573,10,10,0,3,1609,731,36,True,0.4173114999430254,0.421875
512,1,J2_F2_JIT_FAIR_AGING_DEADLINE,COMPLETE,8816.347362785154,9418.706354999998,11175.843132499996,11752.4073765,11780.108759999996,3.126953125,228.39195269531064,1.1679588281244833,50383,98.404296875,1573,13,13,13,3,1609,737,36,True,0.40033600002061576,0.40625
