case_id,standard_speed_mps,deviation_percent,archived_dynamic_minutes,archived_static_minutes,g28_minutes,g28_vs_archived_dynamic,g28_vs_archived_static,status
t5_4_bias_std_1p5_dev_10,1.5,10,6.45,6.59,5.845874353423312,G28_WIN,G28_WIN,COMPLETE
t5_4_bias_std_1p5_dev_20,1.5,20,6.67,6.86,5.951105680045191,G28_WIN,G28_WIN,COMPLETE
t5_4_bias_std_1p5_dev_30,1.5,30,6.91,7.11,6.053343011050292,G28_WIN,G28_WIN,COMPLETE
t5_4_bias_std_2_dev_10,2.0,10,4.92,5.07,4.454283811403384,G28_WIN,G28_WIN,COMPLETE
t5_4_bias_std_2_dev_20,2.0,20,5.16,5.36,4.559216588535323,G28_WIN,G28_WIN,COMPLETE
t5_4_bias_std_2_dev_30,2.0,30,5.42,5.62,4.663054160759542,G28_WIN,G28_WIN,COMPLETE
t5_4_bias_std_2p5_dev_10,2.5,10,3.99,4.19,3.6333402069619805,G28_WIN,G28_WIN,COMPLETE
t5_4_bias_std_2p5_dev_20,2.5,20,4.25,4.46,3.739563125499242,G28_WIN,G28_WIN,COMPLETE
t5_4_bias_std_2p5_dev_30,2.5,30,4.49,4.72,3.8411543460544455,G28_WIN,G28_WIN,COMPLETE
t5_4_bias_std_3_dev_10,3.0,10,3.39,3.56,3.0731202621528984,G28_WIN,G28_WIN,COMPLETE
t5_4_bias_std_3_dev_20,3.0,20,3.51,3.72,3.17938341240009,G28_WIN,G28_WIN,COMPLETE
t5_4_bias_std_3_dev_30,3.0,30,3.64,3.87,3.2821831348998325,G28_WIN,G28_WIN,COMPLETE
