group_type,group_value,total_segments,java_release_time_tth,original_entry_time_tth,ambiguous_equal,release_share,entry_share,dominant_denominator
segment_type,direct,13409,9066,4340,3,0.67611306,0.32366321,java_release_time_tth
segment_type,storage_in,15097,10297,4798,2,0.68205604,0.31781149,java_release_time_tth
segment_type,storage_out,15097,14937,0,160,0.98940187,0,java_release_time_tth
early_bag_split,False,13409,9066,4340,3,0.67611306,0.32366321,java_release_time_tth
early_bag_split,True,30194,25234,4798,162,0.83572895,0.15890574,java_release_time_tth
pass_time_integrality,fractional_pass_time,28501,19363,9138,0,0.67937967,0.32062033,java_release_time_tth
pass_time_integrality,integer_pass_time,15102,14937,0,165,0.98907429,0,java_release_time_tth
