table_id,case_id,metric,s4_value,baseline_value,comparison,measurement_status,verdict
5.2,t5_2_speed_1p5,completed_raw_bags,85518,68047,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.2,t5_2_speed_1p5,min,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_1p5,mean,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_1p5,p95,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_1p5,p99,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_1p5,max,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2,completed_raw_bags,85518,58854,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.2,t5_2_speed_2,min,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2,mean,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2,p95,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2,p99,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2,max,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2p5,completed_raw_bags,85518,73081,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.2,t5_2_speed_2p5,min,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2p5,mean,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2p5,p95,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2p5,p99,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_2p5,max,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_3,completed_raw_bags,85518,69267,fresh_hca_3x_fixed_population,MEASURED,S4_WIN
5.2,t5_2_speed_3,min,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_3,mean,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_3,p95,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
5.2,t5_2_speed_3,p99,,,fresh_hca_3x_full_population_timing,NOT_APPLICABLE_BASELINE_INCOMPLETE,NOT_APPLICABLE_BASELINE_INCOMPLETE
