scenario,edge,g3f_local_label,required_semantics,case_count,mean_wait_needed_if_nonoccupying
legacy_offset32_static16,27->28,ABSTAIN_NO_TEACHER,backpressure_or_non_node_occupying_wait,6,4.736866666665871
legacy_offset64_repair32,18->22,ABSTAIN_NO_TEACHER,backpressure_or_non_node_occupying_wait,6,6.43089999999908
legacy_offset64_merge32,18->22,ABSTAIN_NO_TEACHER,backpressure_or_non_node_occupying_wait,5,6.4652519999988725
legacy_first32,18->22,ABSTAIN_NO_TEACHER,backpressure_or_non_node_occupying_wait,3,4.201383333332463
legacy_offset64_repair32,27->28,ABSTAIN_NO_TEACHER,backpressure_or_non_node_occupying_wait,3,8.8986433333345
legacy_first32,27->28,ABSTAIN_NO_TEACHER,backpressure_or_non_node_occupying_wait,2,5.187870000001567
legacy_first32,18->22,LEGACY_NEXT_GLOBALLY_UNSAFE,backpressure_or_non_node_occupying_wait,1,4.783639999997831
legacy_offset32_static16,27->28,LEGACY_NEXT_GLOBALLY_UNSAFE,backpressure_or_non_node_occupying_wait,1,4.226849999995466
legacy_offset64_merge32,27->28,ABSTAIN_NO_TEACHER,backpressure_or_non_node_occupying_wait,1,1.9602299999987736
legacy_offset64_repair32,27->28,LEGACY_NEXT_GLOBALLY_UNSAFE,backpressure_or_non_node_occupying_wait,1,9.217850000000908
