regression_scope,case,run_id,status,policy,reservation_semantics,complete_bags,processed_segment_count,planned_segments,failed_segments,mean_tht,gap_vs_original_min,source_retry_count,node_window_conflicts,runtime_full_astar_calls,bag_success_rate,reference_bag_success_rate,paper_success_rate,paper_dynamic,paper_static,material_regression,note
speed_sweep,1.5,source_queue_plus_open_end_speed_1.5,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,5.75688101,1.7897583,0,0,0,,,,,,False,candidate speed regression
speed_sweep,2,source_queue_plus_open_end_speed_2.0,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,4.36419993,0.39707722,0,0,0,,,,,,False,candidate speed regression
speed_sweep,2.5,source_queue_plus_open_end_speed_2.5,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,3.54670701,-0.4204157,0,0,0,,,,,,False,candidate speed regression
speed_sweep,3,source_queue_plus_open_end_speed_3.0,PASS,model_plus_pibt_lite,reservation_open_end_boundary,28506,43603,43603,0,2.98957705,-0.97754566,0,0,0,,,,,,False,candidate speed regression
fault_16,paper_fault_arc_1,source_queue_plus_open_end_fault_paper_fault_arc_1,PARTIAL,model_plus_pibt_lite,reservation_open_end_boundary,25306,43603,40403,3200,3.53790432,-0.42921839,0,0,0,0.88774293,0.88774293,1,,,False,paper_success=1.0
fault_16,paper_fault_arc_2,source_queue_plus_open_end_fault_paper_fault_arc_2,PARTIAL,model_plus_pibt_lite,reservation_open_end_boundary,25313,43603,40410,3193,3.53366162,-0.43346109,0,0,0,0.88798849,0.88798849,0.88,,,False,paper_success=0.88
fault_16,paper_fault_arc_3,source_queue_plus_open_end_fault_paper_fault_arc_3,PARTIAL,model_plus_pibt_lite,reservation_open_end_boundary,25307,43603,40404,3199,3.52594631,-0.4411764,0,0,0,0.88777801,0.88777801,1,,,False,paper_success=1.0
fault_16,paper_fault_arc_4,source_queue_plus_open_end_fault_paper_fault_arc_4,PARTIAL,model_plus_pibt_lite,reservation_open_end_boundary,23619,43603,38716,4887,3.52960568,-0.43751703,0,0,0,0.82856241,0.82856241,0.95,,,False,paper_success=0.95
fault_16,paper_fault_arc_5,source_queue_plus_open_end_fault_paper_fault_arc_5,PARTIAL,model_plus_pibt_lite,reservation_open_end_boundary,23619,43603,38716,4887,3.53995004,-0.42717267,0,0,0,0.82856241,0.82856241,0.97,,,False,paper_success=0.97
fault_16,paper_fault_arc_6,source_queue_plus_open_end_fault_paper_fault_arc_6,PARTIAL,model_plus_pibt_lite,reservation_open_end_boundary,23620,43603,38717,4886,3.54404417,-0.42307854,0,0,0,0.82859749,0.82859749,0.96,,,False,paper_success=0.96
