schema,candidate,split,row_count,activation_count,activation_coverage,beneficial_activation_count,harmful_activation_count,neutral_activation_count,beneficial_precision,beneficial_recall,harmful_activation_rate,high_confidence_harmful_precision,neutral_activation_rate,target_panel_abstention_rate,direct_benefit_sum_seconds,direct_benefit_mean_seconds,risk_adjusted_utility_sum_seconds,risk_adjusted_utility_mean_seconds,risk_adjusted_utility_lcb_seconds,externality_cvar95_mean_seconds,externality_cvar95_max_seconds
czr005.g4irsf16.i3_offline_ab.v1,risk_veto_linear,calibration,165,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,
czr005.g4irsf16.i3_offline_ab.v1,risk_veto_linear,validation,150,1,0.006666666666666667,1,0,0,1.0,0.3333333333333333,0.0,0.0,0.0,0.9933333333333333,1.0999999999985448,1.0999999999985448,-2.889011152744129,-2.889011152744129,,0.7056050000010146,0.7056050000010146
