gate,pass,value,threshold,decision
learner_visited_planned_gt_old_edgescore,True,144>97,> old EdgeScore,g4d_candidate
learner_visited_planned_gt_fallback,True,144>93,> fallback,g4d_candidate
learner_visited_planned_ge_138,True,144,>=138/144,g4d_candidate
node_window_conflicts_zero,True,0,0,g4d_candidate
wrong_high_confidence_actions_decline,True,14->0,decline,g4d_candidate
fallback_calls_reasonable,True,0.09612142,<=0.20 of interface decisions,g4d_candidate
edge_capacity_primary_disabled,True,False,edge_capacity=1 not primary,g4d_candidate
recommend_g4d_not_rl,True,G4D_candidate,data expansion before RL,g4d_candidate
