case,agent_count,node_reservation_count,merge_group_count,fault_edge_count,hold_seconds,python_actions,cpp_actions,python_hold_count,cpp_hold_count,parity_pass,first_mismatch_status,first_mismatch_index,first_mismatch_field,python_value,cpp_value
merge_priority_conflict,2,0,0,0,1.0,2:move:1->2:best_safe_edge;1:hold:0->0:no_safe_edge,2:move:1->2:best_safe_edge;1:hold:0->0:no_safe_edge,1,1,True,match,,none,,
merge_waiting_priority,2,0,0,0,1.0,1:move:0->2:best_safe_edge;2:hold:1->1:no_safe_edge,1:move:0->2:best_safe_edge;2:hold:1->1:no_safe_edge,1,1,True,match,,none,,
merge_custom_hold_seconds,2,0,0,0,2.5,2:move:1->2:best_safe_edge;1:hold:0->0:no_safe_edge,2:move:1->2:best_safe_edge;1:hold:0->0:no_safe_edge,1,1,True,match,,none,,
parallel_explicit_merge_group,2,0,2,0,1.0,1:move:0->2:best_safe_edge;2:hold:1->1:no_safe_edge,1:move:0->2:best_safe_edge;2:hold:1->1:no_safe_edge,1,1,True,match,,none,,
branch_fault_alternative,1,0,0,1,1.0,3:move:0->2:best_safe_edge,3:move:0->2:best_safe_edge,0,0,True,match,,none,,
branch_reservation_alternative,1,1,0,0,1.0,4:move:0->1:best_safe_edge,4:move:0->1:best_safe_edge,0,0,True,match,,none,,
handoff_priority_inheritance,2,0,0,0,1.0,1:move:0->1:priority_inheritance;2:move:1->3:inherited_move,1:move:0->1:priority_inheritance;2:move:1->3:inherited_move,0,0,True,match,,none,,
handoff_blocked_uses_alternative,2,0,0,0,1.0,1:move:0->2:best_safe_edge;2:move:1->0:best_safe_edge,1:move:0->2:best_safe_edge;2:move:1->0:best_safe_edge,0,0,True,match,,none,,
synthetic_seed7_medium_repair_first_four_slice,4,0,0,0,1.0,0:move:0->3:best_safe_edge;1:move:2->5:best_safe_edge;2:move:2->6:best_safe_edge;3:move:1->4:best_safe_edge,0:move:0->3:best_safe_edge;1:move:2->5:best_safe_edge;2:move:2->6:best_safe_edge;3:move:1->4:best_safe_edge,0,0,True,match,,none,,
