scenario,event_variant,edge,blocked_count,mean_wait_needed,max_wait_needed,max_queue_length,release_audit_rows
legacy_first32,capacity_wait_budget_30s,11->13,2,8.719025000000329,9.438050000000658,2,2
legacy_first32,capacity_wait_budget_30s,18->22,15,3.091697909090065,7.0755799999988085,2,15
legacy_first32,capacity_wait_budget_30s,22->24,12,3.6579983333331256,8.0,2,12
legacy_first32,capacity_wait_budget_30s,24->27,1,0.005589999997027917,0.005589999997027917,2,1
legacy_first32,capacity_wait_budget_30s,27->28,16,4.4577784615362015,9.599999999998545,2,16
legacy_first32,capacity_wait_budget_30s,4->17,1,2.0820200000016484,2.0820200000016484,2,1
legacy_first32,capacity_wait_budget_30s,8->11,1,0.4666700000016135,0.4666700000016135,2,1
legacy_first32,capacity_wait_budget_5s,11->13,2,5.619024999999965,8.0,2,2
legacy_first32,capacity_wait_budget_5s,18->22,15,3.091697909090065,7.0755799999988085,2,15
legacy_first32,capacity_wait_budget_5s,22->24,11,3.2632709090906826,6.0,2,11
legacy_first32,capacity_wait_budget_5s,24->27,2,0.2533099999964179,0.5010299999958079,2,2
legacy_first32,capacity_wait_budget_5s,27->28,14,4.154165833331414,9.599999999998545,2,14
legacy_first32,capacity_wait_budget_5s,4->17,1,2.0820200000016484,2.0820200000016484,2,1
legacy_first32,capacity_wait_budget_5s,46->36,1,4.2989699999998265,4.2989699999998265,2,1
legacy_first32,capacity_wait_budget_5s,8->11,1,0.4666700000016135,0.4666700000016135,2,1
legacy_first32,capacity_wait_budget_60s,11->13,2,8.719025000000329,9.438050000000658,2,2
legacy_first32,capacity_wait_budget_60s,18->22,15,3.091697909090065,7.0755799999988085,2,15
legacy_first32,capacity_wait_budget_60s,22->24,12,3.6579983333331256,8.0,2,12
legacy_first32,capacity_wait_budget_60s,24->27,1,0.005589999997027917,0.005589999997027917,2,1
legacy_first32,capacity_wait_budget_60s,27->28,16,4.4577784615362015,9.599999999998545,2,16
legacy_first32,capacity_wait_budget_60s,4->17,1,2.0820200000016484,2.0820200000016484,2,1
legacy_first32,capacity_wait_budget_60s,8->11,1,0.4666700000016135,0.4666700000016135,2,1
legacy_first32,edge_release_wait_scheduler,11->13,2,8.719025000000329,9.438050000000658,2,2
legacy_first32,edge_release_wait_scheduler,18->22,15,3.091697909090065,7.0755799999988085,2,15
legacy_first32,edge_release_wait_scheduler,22->24,12,3.6579983333331256,8.0,2,12
legacy_first32,edge_release_wait_scheduler,24->27,1,0.005589999997027917,0.005589999997027917,2,1
legacy_first32,edge_release_wait_scheduler,27->28,16,4.4577784615362015,9.599999999998545,2,16
legacy_first32,edge_release_wait_scheduler,4->17,1,2.0820200000016484,2.0820200000016484,2,1
legacy_first32,edge_release_wait_scheduler,8->11,1,0.4666700000016135,0.4666700000016135,2,1
legacy_first32,fifo_edge_queue_scheduler,11->13,2,8.719025000000329,9.438050000000658,2,2
legacy_first32,fifo_edge_queue_scheduler,18->22,15,3.091697909090065,7.0755799999988085,2,15
legacy_first32,fifo_edge_queue_scheduler,22->24,12,3.6579983333331256,8.0,2,12
legacy_first32,fifo_edge_queue_scheduler,24->27,1,0.005589999997027917,0.005589999997027917,2,1
legacy_first32,fifo_edge_queue_scheduler,27->28,16,4.4577784615362015,9.599999999998545,2,16
legacy_first32,fifo_edge_queue_scheduler,4->17,1,2.0820200000016484,2.0820200000016484,2,1
legacy_first32,fifo_edge_queue_scheduler,8->11,1,0.4666700000016135,0.4666700000016135,2,1
legacy_first32,g3d_reroute_anchor,11->13,5,2.8837740000002667,7.4666700000016135,2,5
legacy_first32,g3d_reroute_anchor,13->23,1,0.6286500000005617,0.6286500000005617,2,1
legacy_first32,g3d_reroute_anchor,18->22,33,2.051691896551535,6.561200000001918,2,33
legacy_first32,g3d_reroute_anchor,22->24,7,1.3166237142852748,1.867502000000968,2,7
legacy_first32,g3d_reroute_anchor,24->27,2,0.30997000000115804,0.46688000000358443,2,2
legacy_first32,g3d_reroute_anchor,27->28,31,3.3740151999980297,8.07220999999663,2,31
legacy_first32,g3d_reroute_anchor,4->17,3,1.0820200000016484,2.0820200000016484,2,3
legacy_first32,g3d_reroute_anchor,46->36,21,5.52327285714169,11.507879999997385,2,21
legacy_first32,g3d_reroute_anchor,8->11,1,0.4666700000016135,0.4666700000016135,2,1
legacy_first32,hybrid_executable_teacher,11->13,2,8.719025000000329,9.438050000000658,2,2
legacy_first32,hybrid_executable_teacher,18->22,15,3.091697909090065,7.0755799999988085,2,15
legacy_first32,hybrid_executable_teacher,22->24,12,3.6579983333331256,8.0,2,12
legacy_first32,hybrid_executable_teacher,24->27,1,0.005589999997027917,0.005589999997027917,2,1
legacy_first32,hybrid_executable_teacher,27->28,16,4.4577784615362015,9.599999999998545,2,16
legacy_first32,hybrid_executable_teacher,4->17,1,2.0820200000016484,2.0820200000016484,2,1
legacy_first32,hybrid_executable_teacher,8->11,1,0.4666700000016135,0.4666700000016135,2,1
legacy_offset32_static16,capacity_wait_budget_10s,11->13,3,5.575780000001032,9.918660000003001,2,3
legacy_offset32_static16,capacity_wait_budget_10s,16->21,1,14.665369999998802,14.665369999998802,2,1
legacy_offset32_static16,capacity_wait_budget_10s,18->22,1,6.53327999999965,6.53327999999965,2,1
legacy_offset32_static16,capacity_wait_budget_10s,22->24,2,1.3329549999998562,2.0,2,2
legacy_offset32_static16,capacity_wait_budget_10s,24->27,3,0.366269999997409,0.5377499999976862,2,3
legacy_offset32_static16,capacity_wait_budget_10s,27->28,15,4.962911249999024,9.400219999999536,2,15
legacy_offset32_static16,capacity_wait_budget_30s,11->13,3,5.575780000001032,9.918660000003001,2,3
legacy_offset32_static16,capacity_wait_budget_30s,16->21,1,14.665369999998802,14.665369999998802,2,1
legacy_offset32_static16,capacity_wait_budget_30s,18->22,1,6.53327999999965,6.53327999999965,2,1
legacy_offset32_static16,capacity_wait_budget_30s,22->24,2,1.3329549999998562,2.0,2,2
legacy_offset32_static16,capacity_wait_budget_30s,24->27,3,0.366269999997409,0.5377499999976862,2,3
legacy_offset32_static16,capacity_wait_budget_30s,27->28,15,4.962911249999024,9.400219999999536,2,15
legacy_offset32_static16,capacity_wait_budget_5s,11->13,3,2.5091133333341227,5.985340000001088,2,3
legacy_offset32_static16,capacity_wait_budget_5s,16->21,1,14.665369999998802,14.665369999998802,2,1
legacy_offset32_static16,capacity_wait_budget_5s,18->22,1,6.53327999999965,6.53327999999965,2,1
legacy_offset32_static16,capacity_wait_budget_5s,22->24,2,1.3329549999998562,2.0,2,2
legacy_offset32_static16,capacity_wait_budget_5s,24->27,3,0.366269999997409,0.5377499999976862,2,3
legacy_offset32_static16,capacity_wait_budget_5s,27->28,14,3.6338014285712625,6.395449999996345,2,14
legacy_offset32_static16,capacity_wait_budget_60s,11->13,3,5.575780000001032,9.918660000003001,2,3
legacy_offset32_static16,capacity_wait_budget_60s,16->21,1,14.665369999998802,14.665369999998802,2,1
legacy_offset32_static16,capacity_wait_budget_60s,18->22,1,6.53327999999965,6.53327999999965,2,1
legacy_offset32_static16,capacity_wait_budget_60s,22->24,2,1.3329549999998562,2.0,2,2
legacy_offset32_static16,capacity_wait_budget_60s,24->27,3,0.366269999997409,0.5377499999976862,2,3
legacy_offset32_static16,capacity_wait_budget_60s,27->28,15,4.962911249999024,9.400219999999536,2,15
legacy_offset32_static16,edge_release_wait_scheduler,11->13,3,5.575780000001032,9.918660000003001,2,3
legacy_offset32_static16,edge_release_wait_scheduler,16->21,1,14.665369999998802,14.665369999998802,2,1
