projection,base_planned,added_unique_segments,projected_planned,projected_planned_gate,teacher_source,raw_cie_conflicts_if_executed_blindly,status
g3f_best_current,96,0,96,False,cie_route_intent_plus_current_local_wrapper,458,observed
cie_preserve_edge_backpressure,96,21,117,True,original_cie_same_bottleneck_edge_with_upstream_wait,458,counterfactual_candidate
cie_backpressure_plus_cie_upstream_reroute,96,23,119,True,original_cie_node_window_path_with_runtime_backpressure_wrapper,458,counterfactual_candidate_needs_closed_loop_replay
cie_no_path_remaining_inventory,96,3,119,True,cie_no_path_or_not_yet_explained,458,remaining_blocker_inventory
