check,pass,value,threshold,decision
scenario_not_in_model_features,True,"[""candidate_bottleneck_score_scaled"", ""candidate_downstream_node_pressure_2hop_scaled"", ""candidate_downstream_node_pressure_3hop_scaled"", ""candidate_faulted"", ""candidate_goal_direction_score_scaled"", ""candidate_historical_risk_from_training_only_scaled"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_static_remaining_hops_to_goal_scaled"", ""candidate_static_second_best_gap_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""source_retry_pressure_scaled"", ""time_slack_scaled"", ""unfinished_task_queue_size_near_current_source_scaled""]",forbidden feature absent,pass
teacher_next_node_not_in_model_features,True,"[""candidate_bottleneck_score_scaled"", ""candidate_downstream_node_pressure_2hop_scaled"", ""candidate_downstream_node_pressure_3hop_scaled"", ""candidate_faulted"", ""candidate_goal_direction_score_scaled"", ""candidate_historical_risk_from_training_only_scaled"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_static_remaining_hops_to_goal_scaled"", ""candidate_static_second_best_gap_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""source_retry_pressure_scaled"", ""time_slack_scaled"", ""unfinished_task_queue_size_near_current_source_scaled""]",forbidden feature absent,pass
route_path_not_in_model_features,True,"[""candidate_bottleneck_score_scaled"", ""candidate_downstream_node_pressure_2hop_scaled"", ""candidate_downstream_node_pressure_3hop_scaled"", ""candidate_faulted"", ""candidate_goal_direction_score_scaled"", ""candidate_historical_risk_from_training_only_scaled"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_static_remaining_hops_to_goal_scaled"", ""candidate_static_second_best_gap_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""source_retry_pressure_scaled"", ""time_slack_scaled"", ""unfinished_task_queue_size_near_current_source_scaled""]",forbidden feature absent,pass
full_cie_route_suffix_not_in_model_features,True,"[""candidate_bottleneck_score_scaled"", ""candidate_downstream_node_pressure_2hop_scaled"", ""candidate_downstream_node_pressure_3hop_scaled"", ""candidate_faulted"", ""candidate_goal_direction_score_scaled"", ""candidate_historical_risk_from_training_only_scaled"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_static_remaining_hops_to_goal_scaled"", ""candidate_static_second_best_gap_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""source_retry_pressure_scaled"", ""time_slack_scaled"", ""unfinished_task_queue_size_near_current_source_scaled""]",forbidden feature absent,pass
future_schedule_not_in_model_features,True,"[""candidate_bottleneck_score_scaled"", ""candidate_downstream_node_pressure_2hop_scaled"", ""candidate_downstream_node_pressure_3hop_scaled"", ""candidate_faulted"", ""candidate_goal_direction_score_scaled"", ""candidate_historical_risk_from_training_only_scaled"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_static_remaining_hops_to_goal_scaled"", ""candidate_static_second_best_gap_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""source_retry_pressure_scaled"", ""time_slack_scaled"", ""unfinished_task_queue_size_near_current_source_scaled""]",forbidden feature absent,pass
future_sipp_schedule_not_in_model_features,True,"[""candidate_bottleneck_score_scaled"", ""candidate_downstream_node_pressure_2hop_scaled"", ""candidate_downstream_node_pressure_3hop_scaled"", ""candidate_faulted"", ""candidate_goal_direction_score_scaled"", ""candidate_historical_risk_from_training_only_scaled"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_static_remaining_hops_to_goal_scaled"", ""candidate_static_second_best_gap_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""source_retry_pressure_scaled"", ""time_slack_scaled"", ""unfinished_task_queue_size_near_current_source_scaled""]",forbidden feature absent,pass
label_source_not_in_model_features,True,"[""candidate_bottleneck_score_scaled"", ""candidate_downstream_node_pressure_2hop_scaled"", ""candidate_downstream_node_pressure_3hop_scaled"", ""candidate_faulted"", ""candidate_goal_direction_score_scaled"", ""candidate_historical_risk_from_training_only_scaled"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_static_remaining_hops_to_goal_scaled"", ""candidate_static_second_best_gap_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""source_retry_pressure_scaled"", ""time_slack_scaled"", ""unfinished_task_queue_size_near_current_source_scaled""]",forbidden feature absent,pass
post_hoc_success_not_in_model_features,True,"[""candidate_bottleneck_score_scaled"", ""candidate_downstream_node_pressure_2hop_scaled"", ""candidate_downstream_node_pressure_3hop_scaled"", ""candidate_faulted"", ""candidate_goal_direction_score_scaled"", ""candidate_historical_risk_from_training_only_scaled"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_static_remaining_hops_to_goal_scaled"", ""candidate_static_second_best_gap_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""source_retry_pressure_scaled"", ""time_slack_scaled"", ""unfinished_task_queue_size_near_current_source_scaled""]",forbidden feature absent,pass
post_hoc_success_flag_not_in_model_features,True,"[""candidate_bottleneck_score_scaled"", ""candidate_downstream_node_pressure_2hop_scaled"", ""candidate_downstream_node_pressure_3hop_scaled"", ""candidate_faulted"", ""candidate_goal_direction_score_scaled"", ""candidate_historical_risk_from_training_only_scaled"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_static_remaining_hops_to_goal_scaled"", ""candidate_static_second_best_gap_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""source_retry_pressure_scaled"", ""time_slack_scaled"", ""unfinished_task_queue_size_near_current_source_scaled""]",forbidden feature absent,pass
scenario_schema_metadata_only,True,False,scenario metadata only,pass
