ablation,all_top1,val_top1,test_top1
none,0.98819562,0.99159664,0.97637795
no_slack,0.96205734,0.98319328,0.94488189
no_node_pressure,0.97976391,0.99159664,0.96062992
no_fault_flag,0.98566610,0.99159664,0.96850394
no_branch_flag,0.98819562,0.99159664,0.97637795
no_candidate_distance,0.97807757,0.98739496,0.97637795
