case,policy,fault_edges,max_tasks,planned_count,unplanned_count,post_shield_conflicts,shield_blocks,unsafe_proposals,steps,truncated,elapsed_seconds,decisions_per_second
density_train_first8,python_runtime_text_policy,none,8,8,0,0,0,0,78,False,0.051429000101052225,1516.6540249030456
density_train_first8,cpp_runtime_policy,none,8,8,0,0,0,0,78,False,0.05958539992570877,1309.0455060677716
density_combined_first16,python_runtime_text_policy,none,16,16,0,0,0,0,173,False,0.13437040010467172,1287.4859333992952
density_combined_first16,cpp_runtime_policy,none,16,16,0,0,0,0,173,False,0.13263020000886172,1304.3786406749064
fault_alt_route_first8,python_runtime_text_policy,16->17,8,8,0,0,0,0,74,False,0.0588024000171572,1258.4520356041332
fault_alt_route_first8,cpp_runtime_policy,16->17,8,8,0,0,0,0,74,False,0.058186199981719255,1271.7792195271227
fault_goal_exit_first8,python_runtime_text_policy,28->47,8,8,0,0,0,0,186,False,0.13546450005378574,1373.0534562645512
fault_goal_exit_first8,cpp_runtime_policy,28->47,8,8,0,0,0,0,186,False,0.14267889992333949,1303.626535527935
