scope,executed_group_count,h_system_label_count,action_changed_group_count,action_changed_rate,system_mean_delta_min_seconds,system_mean_delta_mean_seconds,system_mean_delta_max_seconds,system_mean_delta_nonzero_count,system_p95_delta_max_seconds,system_p99_delta_max_seconds,deadline_miss_delta_max,h_system_current_bag_cost_mean_seconds,h_system_current_bag_cost_max_seconds,h_system_current_bag_cost_nonzero_count,neutral_count,weak_diagnostic_fair_count,promotion_eligible_fair_count,harmful_count,unfair_count,weak_diagnostic_strata_count,promotion_eligible_strata_count,execution_coverage_pass,exact_action_contract_pass,safety_pass,pilot_support_pass,decision
all,256,176,256,1.0,-0.0048374728137901,-0.0000821388079177219,0.00000777029853793465,26,0.0,0.0,0,0.00008522727274463581,0.0010000000002037268,15,173,3,0,0,0,2,0,true,true,true,false,TARGETED_SOURCE_NO_SUPPORT
block_7,192,128,192,1.0,-0.0048374728137901,-0.00011340923843694561,0.00000014032082162884763,11,0.0,0.0,0,0.0,0.0,0,125,3,0,0,0,2,0,true,true,true,false,TARGETED_SOURCE_NO_SUPPORT
block_8,64,48,64,1.0,0.0,0.000001249006800208008,0.00000777029853793465,15,0.0,0.0,0,0.00031250000006366463,0.0010000000002037268,15,48,0,0,0,0,0,0,true,true,true,false,TARGETED_SOURCE_NO_SUPPORT
