scenario,scale,evidence_status,raw_bags,complete_bags,planned_segments,mean_tth,p95_tth,p99_tth,source_queue_backlog,max_source_queue_delay,loop_count,fallback_calls,fallback_per_decision,decision_throughput_per_second,safe_execution_pass,queue_stability_status,service_level_status,capacity_status
high_flow_no_fault_1x,1x,RECORDED,28506,28506,43603,3.55659385,4.18000003,4.38666673,310,309.0,0,83320,1.9108776919019335,4689.8879742443905,True,UNVERIFIED_NO_TIME_SERIES,UNVERIFIED_NO_SLO,UNVERIFIED
high_flow_no_fault_2x,2x,RECORDED,57012,57012,87206,4.12307776,6.3266812,7.50334825,956,955.0,4504,168171,1.9284338233607778,2942.3408818146295,True,UNVERIFIED_NO_TIME_SERIES,UNVERIFIED_NO_SLO,UNVERIFIED
high_flow_no_fault_4x,4x,RECORDED,114024,114024,174412,74.04123981,138.72455853,189.49082148,6968,6967.0,2473,331248,1.899227117400179,1454.5926812772889,True,UNVERIFIED_NO_TIME_SERIES,UNVERIFIED_NO_SLO,UNVERIFIED
high_flow_no_fault_8x,8x,RECORDED,228048,228048,348824,590.21708243,1270.11580828,1496.81279776,60556,60555.0,2534,618332,1.7726188565006995,753.0822577198571,True,UNVERIFIED_NO_TIME_SERIES,UNVERIFIED_NO_SLO,UNVERIFIED
high_flow_no_fault_16x,16x,RECORDED,456096,456096,697648,1551.371367,3502.99704214,3773.31410471,179744,179743.0,2354,1228403,1.7607776414466894,392.4883784782019,True,UNVERIFIED_NO_TIME_SERIES,UNVERIFIED_NO_SLO,UNVERIFIED
