group_type,group_value,threshold_source,bag_count,bag_fraction,mean_delta_seconds,total_delta_seconds,average_contribution_seconds_per_all_bags,share_of_total_gap
bag_class,storage_in_out,not_thresholded,15097,0.52960780186627376,1.7506769490064022,26429.969899149655,0.92717217074123537,0.81710501249494605
bag_class,direct,not_thresholded,13409,0.47039219813372624,0.44118852300536449,5915.8969049789321,0.20753163912786543,0.18289498750496672
deadline_slack_bucket,tight,protected_std_minus_pass_time_empirical_tertiles,15840,0.55567249000210484,1.7002674222314689,26932.235968146466,0.94479183218082041,0.83263299546842007
deadline_slack_bucket,ample,protected_std_minus_pass_time_empirical_tertiles,9502,0.33333333333333331,0.49772505514506998,4729.3834739884551,0.16590835171502333,0.14621291501096487
deadline_slack_bucket,normal,protected_std_minus_pass_time_empirical_tertiles,3164,0.11099417666456185,0.21626022819001486,684.24736199320705,0.024003625973240968,0.021154089520513664
entry_time_band,early,protected_original_entry_time_empirical_tertiles,9502,0.33333333333333331,3.1657959030731946,30081.392671001497,1.0552653010243982,0.92999185500755599
entry_time_band,normal,protected_original_entry_time_empirical_tertiles,9502,0.33333333333333331,0.55057417985871338,5231.5558570174944,0.18352472661957112,0.16173800160301435
entry_time_band,late,protected_original_entry_time_empirical_tertiles,9502,0.33333333333333331,-0.31225865332423031,-2967.0817238868362,-0.10408621777474343,-0.091729856610547306
first_divergence_node,NO_DIVERGENCE,not_thresholded,26667,0.93548726583877073,1.3395870346921763,35722.767454136265,1.2531666124372505,1.1043997574853532
first_divergence_node,22,not_thresholded,628,0.02203044972988143,-6.1233201178374932,-3845.4450340019457,-0.13489949603599052,-0.11888520586842899
first_divergence_node,52,not_thresholded,452,0.015856310952080264,7.2506571460190736,3277.2970300006214,0.11496867431420127,0.10132042680587633
first_divergence_node,19,not_thresholded,689,0.024170350101732969,-4.5550505936202406,-3138.4298590043459,-0.11009716757890781,-0.097027230032477804
first_divergence_node,27,not_thresholded,6,0.00021048200378867606,113.74508016666971,682.47048100001825,0.023941292394584236,0.021099155732405631
first_divergence_node,16,not_thresholded,60,0.0021048200378867609,-5.9565477999970167,-357.39286799982102,-0.012537461166064022,-0.011049104671208647
first_divergence_node,9,not_thresholded,4,0.00014032133585911737,1.1499000000019493,4.599600000007797,0.0001613555041046726,0.00014220054846142841
goal,50,not_thresholded,8899,0.3121798919525714,4.3966403983631457,39125.702905033635,1.3725427245153172,1.2096044029970552
goal,48,not_thresholded,6306,0.22121658598189856,-2.6665772372315404,-16815.436057982093,-0.58989111267740457,-0.51986351640557438
goal,49,not_thresholded,13301,0.46660352206553007,0.75449965845290301,10035.599957082062,0.35205219803136401,0.31025911340858719
hour,6,not_thresholded,3107,0.10899459762856942,8.9714609127788254,27874.329056003811,0.97784077232876632,0.86175860504203694
hour,16,not_thresholded,1606,0.056339016347435628,-4.1675484190512,-6693.0827609962271,-0.23479557850965505,-0.20692234966296671
hour,18,not_thresholded,1859,0.065214340840524798,2.6628459015651442,4950.2305310096035,0.17365574023046387,0.15304058972929829
hour,5,not_thresholded,2499,0.087665754577983576,1.8048025578234168,4510.2015920007188,0.1582193780958647,0.13943672059592629
hour,4,not_thresholded,795,0.02788886550199958,-5.1895018289303865,-4125.6539539996575,-0.14472931852942039,-0.12754810310022993
hour,12,not_thresholded,1467,0.051462849926331301,2.3220247900467368,3406.4103669985629,0.11949801329539617,0.10531207550027614
hour,10,not_thresholded,1776,0.062302673121448118,-1.8720834476322405,-3324.8202029948593,-0.11663580309390512,-0.10278964614329622
hour,15,not_thresholded,1442,0.050585841577211813,-2.278560171288162,-3285.6837669975293,-0.11526288384892758,-0.10157970991761649
hour,8,not_thresholded,1289,0.045218550480600576,2.1103892226531302,2720.2917079998847,0.09542874159825597,0.084100133240282579
hour,11,not_thresholded,1321,0.046341121167473513,1.8160159735053507,2398.9571010005684,0.084156216270278833,0.074165800395064985
hour,17,not_thresholded,1498,0.052550340279239459,1.4844692757173121,2223.7349750245335,0.078009365573020892,0.068748659248807173
hour,14,not_thresholded,1420,0.049814074229986668,-1.1743423668983479,-1667.5661609956539,-0.058498777836092537,-0.051554227039068326
hour,7,not_thresholded,2148,0.075352557356346037,0.76955773230789137,1653.0100089973507,0.057988143162749972,0.051104211212117473
hour,9,not_thresholded,1338,0.046937486844874761,1.1809014245169107,1580.0461060036264,0.055428545078356359,0.048848470055587241
hour,13,not_thresholded,1402,0.049182628218620641,0.4495160178344213,630.22145700385863,0.022108379183465188,0.01948383268935501
hour,20,not_thresholded,1237,0.043394373114432047,-0.37647738152565424,-465.70252094723429,-0.016336999963068626,-0.014397589768339488
hour,21,not_thresholded,613,0.021504244720409738,0.49093652531352566,300.94409001719123,0.010557219182529685,0.0093039426594915941
hour,19,not_thresholded,1419,0.049778993896021889,-0.20689658562190102,-293.58625499747757,-0.010299103872780381,-0.0090764689280170702
hour,3,not_thresholded,169,0.0059285764400477088,-0.54693798816563921,-92.432519999993019,-0.0032425636708059012,-0.0028576300199253581
hour,22,not_thresholded,79,0.0027713463832175684,0.54969093671112645,43.425584000178986,0.0015233839893418575,0.0013425388864407371
hour,2,not_thresholded,22,0.00077176734722514558,0.11783500000084049,2.5923700000184908,9.0941205360923696e-05,8.0145324771057852e-05
merge_involvement,True,not_thresholded,28506,1,1.1347038098691997,32345.866804131409,1.1347038098691997,1
pibt_involvement,False,not_thresholded,28475,0.99891250964709188,1.0812223608123162,30787.8067241307,1.080046541925584,0.95183124664936469
pibt_involvement,True,not_thresholded,31,0.0010874903529081597,50.260002580642734,1558.0600799999247,0.054657267943588182,0.048168753350611083
source,2,not_thresholded,3199,0.11222198835332912,7.0124223591796015,22432.739127015546,0.78694798032047797,0.69352722135584577
source,1,not_thresholded,3193,0.11201150634954045,6.3607360366477712,20309.830165016334,0.71247562495672256,0.62789568410707242
source,5,not_thresholded,4886,0.17140251175191187,-3.680269254807278,-17981.79557898836,-0.63080739419730447,-0.55592251362055378
source,0,not_thresholded,3200,0.1122570686872939,4.8200453265694962,15424.145045022387,0.54108415930058185,0.47685057069029674
source,4,not_thresholded,4887,0.17143759208587667,-2.1268477982362697,-10393.905189980651,-0.36462166526277451,-0.32133642461710377
source,53,not_thresholded,4254,0.14923174068617134,1.9764635044741587,8407.8757480330714,0.29495108917536911,0.25993663422119723
source,3,not_thresholded,4887,0.17143759208587667,-1.1976718870442788,-5853.0225119853903,-0.20532598442381922,-0.18095117213670733
