table_id,case_id,metric,observed,reference,unit,comparison,evidence,exact,verdict,improvement_percent
5.2,t5_2_speed_1p5,min,5.088922222221906,5.1,minutes,fresh_hca,EXACT_FRESH_RELEASE_ALIGNED,true,G28_WIN,
5.2,t5_2_speed_1p5,min,5.088922222221906,5.1,minutes,archived_paper,ARCHIVED,false,G28_WIN,
5.2,t5_2_speed_1p5,mean,5.716155588686958,6.4199238756752965,minutes,fresh_hca,EXACT_FRESH_RELEASE_ALIGNED,true,G28_WIN,
5.2,t5_2_speed_1p5,mean,5.716155588686958,6.44,minutes,archived_paper,ARCHIVED,false,G28_WIN,
5.2,t5_2_speed_1p5,max,7.222288888889003,9.633333333333333,minutes,fresh_hca,EXACT_FRESH_RELEASE_ALIGNED,true,G28_WIN,
5.2,t5_2_speed_1p5,max,7.222288888889003,9.68,minutes,archived_paper,ARCHIVED,false,G28_WIN,
5.2,t5_2_speed_2,min,3.8666999999998857,3.8666666666666667,minutes,fresh_hca,EXACT_FRESH_RELEASE_ALIGNED,true,RESOLUTION_BOUND_TIE,
5.2,t5_2_speed_2,min,3.8666999999998857,3.87,minutes,archived_paper,ARCHIVED,false,PAPER_RESOLUTION_TIE,
5.2,t5_2_speed_2,mean,4.323393002642675,4.9273766926261136,minutes,fresh_hca,EXACT_FRESH_RELEASE_ALIGNED,true,G28_WIN,
5.2,t5_2_speed_2,mean,4.323393002642675,4.93,minutes,archived_paper,ARCHIVED,false,G28_WIN,
5.2,t5_2_speed_2,max,5.308399999999771,7.366666666666666,minutes,fresh_hca,EXACT_FRESH_RELEASE_ALIGNED,true,G28_WIN,
5.2,t5_2_speed_2,max,5.308399999999771,7.37,minutes,archived_paper,ARCHIVED,false,G28_WIN,
5.2,t5_2_speed_2p5,min,3.133366666666431,3.1333333333333333,minutes,fresh_hca,EXACT_FRESH_RELEASE_ALIGNED,true,RESOLUTION_BOUND_TIE,
5.2,t5_2_speed_2p5,min,3.133366666666431,3.13,minutes,archived_paper,ARCHIVED,false,PAPER_RESOLUTION_TIE,
5.2,t5_2_speed_2p5,mean,3.5092248158282477,3.94516943801305,minutes,fresh_hca,EXACT_FRESH_RELEASE_ALIGNED,true,G28_WIN,
5.2,t5_2_speed_2p5,mean,3.5092248158282477,3.96,minutes,archived_paper,ARCHIVED,false,G28_WIN,
5.2,t5_2_speed_2p5,max,4.6533999999999045,5.95,minutes,fresh_hca,EXACT_FRESH_RELEASE_ALIGNED,true,G28_WIN,
5.2,t5_2_speed_2p5,max,4.6533999999999045,5.98,minutes,archived_paper,ARCHIVED,false,G28_WIN,
5.2,t5_2_speed_3,min,2.633366666666431,2.6333333333333333,minutes,fresh_hca,EXACT_FRESH_RELEASE_ALIGNED,true,RESOLUTION_BOUND_TIE,
5.2,t5_2_speed_3,min,2.633366666666431,2.63,minutes,archived_paper,ARCHIVED,false,PAPER_RESOLUTION_TIE,
5.2,t5_2_speed_3,mean,2.9499244541109637,3.3545686288266796,minutes,fresh_hca,EXACT_FRESH_RELEASE_ALIGNED,true,G28_WIN,
5.2,t5_2_speed_3,mean,2.9499244541109637,3.37,minutes,archived_paper,ARCHIVED,false,G28_WIN,
5.2,t5_2_speed_3,max,3.8056222222223974,5.05,minutes,fresh_hca,EXACT_FRESH_RELEASE_ALIGNED,true,G28_WIN,
5.2,t5_2_speed_3,max,3.8056222222223974,5.05,minutes,archived_paper,ARCHIVED,false,G28_WIN,
5.3,speed_2.5,min,3.13,3.13,minutes,paper_hca,ARCHIVED_PAPER_COMPARATOR_PLUS_EXACT_FRESH_G28,false,PAPER_RESOLUTION_TIE,
5.3,speed_2.5,min_improvement,12.1,12.1,percent,paper_reported_improvement,ARCHIVED_PAPER_COMPARATOR_PLUS_EXACT_FRESH_G28,false,PAPER_RESOLUTION_TIE,12.1
5.3,speed_2.5,mean,3.51,3.96,minutes,paper_hca,ARCHIVED_PAPER_COMPARATOR_PLUS_EXACT_FRESH_G28,false,G28_WIN,
5.3,speed_2.5,mean_improvement,20.8,10.6,percent,paper_reported_improvement,ARCHIVED_PAPER_COMPARATOR_PLUS_EXACT_FRESH_G28,false,G28_WIN,20.8
5.3,speed_2.5,max,4.65,5.98,minutes,paper_hca,ARCHIVED_PAPER_COMPARATOR_PLUS_EXACT_FRESH_G28,false,G28_WIN,
5.3,speed_2.5,max_improvement,46.1,30.6,percent,paper_reported_improvement,ARCHIVED_PAPER_COMPARATOR_PLUS_EXACT_FRESH_G28,false,G28_WIN,46.1
5.4,t5_4_bias_std_1p5_dev_10,mean,5.845874353423312,6.45,minutes,archived_dynamic,DESCRIPTIVE_UNPAIRED,false,G28_WIN,9.366289094212217
5.4,t5_4_bias_std_1p5_dev_10,mean,5.845874353423312,6.59,minutes,archived_static,DESCRIPTIVE_UNPAIRED,false,G28_WIN,11.291739705260815
5.4,t5_4_bias_std_1p5_dev_10,improvement,11.291739705260815,2.12,percent,paper_reported_improvement,DESCRIPTIVE_UNPAIRED,false,G28_WIN,11.291739705260815
5.4,t5_4_bias_std_1p5_dev_20,mean,5.951105680045191,6.67,minutes,archived_dynamic,DESCRIPTIVE_UNPAIRED,false,G28_WIN,10.778025786428922
5.4,t5_4_bias_std_1p5_dev_20,mean,5.951105680045191,6.86,minutes,archived_static,DESCRIPTIVE_UNPAIRED,false,G28_WIN,13.249188337533665
5.4,t5_4_bias_std_1p5_dev_20,improvement,13.249188337533665,2.77,percent,paper_reported_improvement,DESCRIPTIVE_UNPAIRED,false,G28_WIN,13.249188337533665
5.4,t5_4_bias_std_1p5_dev_30,mean,6.053343011050292,6.91,minutes,archived_dynamic,DESCRIPTIVE_UNPAIRED,false,G28_WIN,12.397351504337308
5.4,t5_4_bias_std_1p5_dev_30,mean,6.053343011050292,7.11,minutes,archived_static,DESCRIPTIVE_UNPAIRED,false,G28_WIN,14.861561026015584
5.4,t5_4_bias_std_1p5_dev_30,improvement,14.861561026015584,2.81,percent,paper_reported_improvement,DESCRIPTIVE_UNPAIRED,false,G28_WIN,14.861561026015584
5.4,t5_4_bias_std_2_dev_10,mean,4.454283811403384,4.92,minutes,archived_dynamic,DESCRIPTIVE_UNPAIRED,false,G28_WIN,9.465776190988134
5.4,t5_4_bias_std_2_dev_10,mean,4.454283811403384,5.07,minutes,archived_static,DESCRIPTIVE_UNPAIRED,false,G28_WIN,12.144303522615708
5.4,t5_4_bias_std_2_dev_10,improvement,12.144303522615708,2.96,percent,paper_reported_improvement,DESCRIPTIVE_UNPAIRED,false,G28_WIN,12.144303522615708
5.4,t5_4_bias_std_2_dev_20,mean,4.559216588535323,5.16,minutes,archived_dynamic,DESCRIPTIVE_UNPAIRED,false,G28_WIN,11.64308936947049
5.4,t5_4_bias_std_2_dev_20,mean,4.559216588535323,5.36,minutes,archived_static,DESCRIPTIVE_UNPAIRED,false,G28_WIN,14.939989019863384
5.4,t5_4_bias_std_2_dev_20,improvement,14.939989019863384,3.73,percent,paper_reported_improvement,DESCRIPTIVE_UNPAIRED,false,G28_WIN,14.939989019863384
5.4,t5_4_bias_std_2_dev_30,mean,4.663054160759542,5.42,minutes,archived_dynamic,DESCRIPTIVE_UNPAIRED,false,G28_WIN,13.965790391890362
5.4,t5_4_bias_std_2_dev_30,mean,4.663054160759542,5.62,minutes,archived_static,DESCRIPTIVE_UNPAIRED,false,G28_WIN,17.027506036307077
5.4,t5_4_bias_std_2_dev_30,improvement,17.027506036307077,3.56,percent,paper_reported_improvement,DESCRIPTIVE_UNPAIRED,false,G28_WIN,17.027506036307077
5.4,t5_4_bias_std_2p5_dev_10,mean,3.6333402069619805,3.99,minutes,archived_dynamic,DESCRIPTIVE_UNPAIRED,false,G28_WIN,8.938841930777437
5.4,t5_4_bias_std_2p5_dev_10,mean,3.6333402069619805,4.19,minutes,archived_static,DESCRIPTIVE_UNPAIRED,false,G28_WIN,13.285436588019566
5.4,t5_4_bias_std_2p5_dev_10,improvement,13.285436588019566,4.77,percent,paper_reported_improvement,DESCRIPTIVE_UNPAIRED,false,G28_WIN,13.285436588019566
5.4,t5_4_bias_std_2p5_dev_20,mean,3.739563125499242,4.25,minutes,archived_dynamic,DESCRIPTIVE_UNPAIRED,false,G28_WIN,12.010279400017833
5.4,t5_4_bias_std_2p5_dev_20,mean,3.739563125499242,4.46,minutes,archived_static,DESCRIPTIVE_UNPAIRED,false,G28_WIN,16.153293150241208
5.4,t5_4_bias_std_2p5_dev_20,improvement,16.153293150241208,4.71,percent,paper_reported_improvement,DESCRIPTIVE_UNPAIRED,false,G28_WIN,16.153293150241208
5.4,t5_4_bias_std_2p5_dev_30,mean,3.8411543460544455,4.49,minutes,archived_dynamic,DESCRIPTIVE_UNPAIRED,false,G28_WIN,14.45090543308585
5.4,t5_4_bias_std_2p5_dev_30,mean,3.8411543460544455,4.72,minutes,archived_static,DESCRIPTIVE_UNPAIRED,false,G28_WIN,18.619611312405812
5.4,t5_4_bias_std_2p5_dev_30,improvement,18.619611312405812,4.87,percent,paper_reported_improvement,DESCRIPTIVE_UNPAIRED,false,G28_WIN,18.619611312405812
5.4,t5_4_bias_std_3_dev_10,mean,3.0731202621528984,3.39,minutes,archived_dynamic,DESCRIPTIVE_UNPAIRED,false,G28_WIN,9.34748489224489
5.4,t5_4_bias_std_3_dev_10,mean,3.0731202621528984,3.56,minutes,archived_static,DESCRIPTIVE_UNPAIRED,false,G28_WIN,13.676397130536563
5.4,t5_4_bias_std_3_dev_10,improvement,13.676397130536563,4.78,percent,paper_reported_improvement,DESCRIPTIVE_UNPAIRED,false,G28_WIN,13.676397130536563
