schema,scenario_id,scenario_group,thesis_arc_ids_json,map2_edges_json,map_identity_pass,paper_reported_affected_conveyors,paper_reported_success_rate,paper_outcome_scope,baseline_reachable_source_goal_pairs,remaining_reachable_source_goal_pairs,lost_reachable_source_goal_pairs,disconnected_pairs_json,mapping_status,runtime_replication_status
czr005.g4irsf13.fault_control.v1,single_1,single,[1],"[{""end"":6,""start"":0}]",True,1,1,THESIS_REPORTED_NOT_G4IRSF13_RESULT,35,30,5,"[{""goal"":47,""source"":0},{""goal"":48,""source"":0},{""goal"":49,""source"":0},{""goal"":50,""source"":0},{""goal"":51,""source"":0}]",EXACT_ARC_TXT_TO_REAL_MAP2,MAPPED_FOR_LOCAL_OVERLAY_PROBES
czr005.g4irsf13.fault_control.v1,single_2,single,[2],"[{""end"":7,""start"":1}]",True,7,0.88,THESIS_REPORTED_NOT_G4IRSF13_RESULT,35,30,5,"[{""goal"":47,""source"":1},{""goal"":48,""source"":1},{""goal"":49,""source"":1},{""goal"":50,""source"":1},{""goal"":51,""source"":1}]",EXACT_ARC_TXT_TO_REAL_MAP2,MAPPED_FOR_LOCAL_OVERLAY_PROBES
czr005.g4irsf13.fault_control.v1,single_3,single,[3],"[{""end"":9,""start"":2}]",True,5,1,THESIS_REPORTED_NOT_G4IRSF13_RESULT,35,30,5,"[{""goal"":47,""source"":2},{""goal"":48,""source"":2},{""goal"":49,""source"":2},{""goal"":50,""source"":2},{""goal"":51,""source"":2}]",EXACT_ARC_TXT_TO_REAL_MAP2,MAPPED_FOR_LOCAL_OVERLAY_PROBES
czr005.g4irsf13.fault_control.v1,single_4,single,[4],"[{""end"":16,""start"":3}]",True,15,0.94999999999999996,THESIS_REPORTED_NOT_G4IRSF13_RESULT,35,30,5,"[{""goal"":47,""source"":3},{""goal"":48,""source"":3},{""goal"":49,""source"":3},{""goal"":50,""source"":3},{""goal"":51,""source"":3}]",EXACT_ARC_TXT_TO_REAL_MAP2,MAPPED_FOR_LOCAL_OVERLAY_PROBES
czr005.g4irsf13.fault_control.v1,single_5,single,[5],"[{""end"":17,""start"":4}]",True,24,0.96999999999999997,THESIS_REPORTED_NOT_G4IRSF13_RESULT,35,30,5,"[{""goal"":47,""source"":4},{""goal"":48,""source"":4},{""goal"":49,""source"":4},{""goal"":50,""source"":4},{""goal"":51,""source"":4}]",EXACT_ARC_TXT_TO_REAL_MAP2,MAPPED_FOR_LOCAL_OVERLAY_PROBES
czr005.g4irsf13.fault_control.v1,single_6,single,[6],"[{""end"":19,""start"":5}]",True,7,0.95999999999999996,THESIS_REPORTED_NOT_G4IRSF13_RESULT,35,30,5,"[{""goal"":47,""source"":5},{""goal"":48,""source"":5},{""goal"":49,""source"":5},{""goal"":50,""source"":5},{""goal"":51,""source"":5}]",EXACT_ARC_TXT_TO_REAL_MAP2,MAPPED_FOR_LOCAL_OVERLAY_PROBES
czr005.g4irsf13.fault_control.v1,single_7,single,[7],"[{""end"":8,""start"":6}]",True,1,1,THESIS_REPORTED_NOT_G4IRSF13_RESULT,35,35,0,[],EXACT_ARC_TXT_TO_REAL_MAP2,MAPPED_FOR_LOCAL_OVERLAY_PROBES
czr005.g4irsf13.fault_control.v1,single_8,single,[8],"[{""end"":12,""start"":6}]",True,7,0.98999999999999999,THESIS_REPORTED_NOT_G4IRSF13_RESULT,35,35,0,[],EXACT_ARC_TXT_TO_REAL_MAP2,MAPPED_FOR_LOCAL_OVERLAY_PROBES
czr005.g4irsf13.fault_control.v1,pair_1_7,pair,"[1,7]","[{""end"":6,""start"":0},{""end"":8,""start"":6}]",True,2,1,THESIS_REPORTED_NOT_G4IRSF13_RESULT,35,30,5,"[{""goal"":47,""source"":0},{""goal"":48,""source"":0},{""goal"":49,""source"":0},{""goal"":50,""source"":0},{""goal"":51,""source"":0}]",EXACT_ARC_TXT_TO_REAL_MAP2,MAPPED_FOR_LOCAL_OVERLAY_PROBES
czr005.g4irsf13.fault_control.v1,pair_2_4,pair,"[2,4]","[{""end"":7,""start"":1},{""end"":16,""start"":3}]",True,22,0.76000000000000001,THESIS_REPORTED_NOT_G4IRSF13_RESULT,35,25,10,"[{""goal"":47,""source"":1},{""goal"":48,""source"":1},{""goal"":49,""source"":1},{""goal"":50,""source"":1},{""goal"":51,""source"":1},{""goal"":47,""source"":3},{""goal"":48,""source"":3},{""goal"":49,""source"":3},{""goal"":50,""source"":3},{""goal"":51,""source"":3}]",EXACT_ARC_TXT_TO_REAL_MAP2,MAPPED_FOR_LOCAL_OVERLAY_PROBES
