check,pass,value,threshold,decision
scenario_schema_metadata_only,True,False,scenario must be metadata/split/audit only,pass
scenario_not_in_model_features,True,"[""candidate_faulted"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""time_slack_scaled""]",no scenario feature,pass
teacher_next_not_in_model_features,True,"[""candidate_faulted"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""time_slack_scaled""]",label excluded,pass
full_route_suffix_not_in_model_features,True,"[""candidate_faulted"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""time_slack_scaled""]",route suffix excluded,pass
future_schedule_not_in_model_features,True,"[""candidate_faulted"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""time_slack_scaled""]",future schedule excluded,pass
label_source_not_in_model_features,True,"[""candidate_faulted"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""time_slack_scaled""]",label source excluded,pass
post_hoc_success_not_in_model_features,True,"[""candidate_faulted"", ""candidate_is_goal"", ""candidate_node_pressure_scaled"", ""candidate_node_type_scaled"", ""candidate_service_time_scaled"", ""candidate_shortest_time_to_goal_scaled"", ""candidate_travel_time_scaled"", ""current_node_scaled"", ""goal_node_scaled"", ""is_branch_node"", ""local_node_pressure_scaled"", ""out_degree_scaled"", ""time_slack_scaled""]",post-hoc success excluded,pass
no_scenario_top1_not_collapsed,True,0.98819562,>=0.95,pass
no_scenario_beats_shortest_time,True,0.98819562>0.85581788,model > shortest-time heuristic,pass
scenario_lookup_diagnostic_recorded,True,0.98313659,"diagnostic only, not model input",pass
