comparison_kind,map,scale,policy,policy_label,metric,metric_label,preferred_direction,comparison_status,missing_cells,ff_off,sa_off,ff_full,sa_full,potential_main_effect_sa_minus_ff,dynamic_main_effect_full_minus_off,interaction_difference_in_differences,adaptation_contrast_sa_minus_ff
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,completed_segment_count,completed segments,higher,COMPLETE,,43603,43603,43603,43603,0.0,0.0,0.0,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,completed_raw_bag_count,completed raw bags,higher,COMPLETE,,28506,28506,28506,28506,0.0,0.0,0.0,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,completion_rate,raw-bag completion rate,higher,COMPLETE,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,population_latency_mean_seconds,population latency mean (s),lower,COMPLETE,,211.24893892513984,210.76714912650107,211.0255105241015,210.54564663579737,-0.4808268434714478,-0.22246544587102335,0.0019259103346485063,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,population_latency_p95_seconds,population latency P95 (s),lower,COMPLETE,,247.80199999999604,247.20200000003388,247.60199999999168,247.20199999999022,-0.4999999999818101,-0.10000000002401066,0.19999999996070983,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,population_latency_p99_seconds,population latency P99 (s),lower,COMPLETE,,262.00200000001496,259.2019999999937,260.80199999999604,254.00199999999677,-4.8000000000103,-3.20000000000789,-3.9999999999780016,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,population_latency_max_seconds,population latency max (s),lower,COMPLETE,,298.20199999999386,292.60199999999895,292.60199999999895,278.20199999999386,-10.0,-10.0,-8.800000000010186,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,business_on_time_raw_bag_count,fixed-denominator on-time raw bags,higher,COMPLETE,,28506,28506,28506,28506,0.0,0.0,0.0,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,business_on_time_rate,fixed-denominator on-time rate,higher,COMPLETE,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
S4_TWO_BY_TWO_FACTORIAL,map2,1,s4,G31_S4_NEUTRAL_FIFO,business_missed_raw_bag_count,fixed-denominator missed raw bags,lower,COMPLETE,,0,0,0,0,0.0,0.0,0.0,
