metric,original_value,generated_value,claim_level
original_count,43603,348824,distribution_preserving_resample
pass_time_min,8267.845453,8267.8455196,distribution_preserving_resample
pass_time_max,81900,81900.0700666,distribution_preserving_resample
pass_time_p50_mod_day,43843.4935,43843.5285666,distribution_preserving_resample
pass_time_p95_mod_day,74100,74100.0300666,distribution_preserving_resample
ks_statistic_mod_day,0,0.0071096,distribution_preserving_resample
relative_time_span,73632.154547,73632.224547,distribution_preserving_resample
