policy_family,failure_motif,scenario_context,failed_tasks,share_of_family_failures,suggested_next_fix
pibt_active_bag_replay,wrong_branch_vs_sipp,no_fault,22,0.20952380952380953,Collect SIPP teacher counterfactual slices and run feature ablations before RL.
pibt_active_bag_replay,hold_when_sipp_moves,no_fault,16,0.1523809523809524,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.
pibt_active_bag_replay,buffer_capacity_branch_gap,buffer_capacity,13,0.12380952380952381,Collect SIPP teacher counterfactual slices and run feature ablations before RL.
pibt_active_bag_replay,hold_when_sipp_moves,repair_window,13,0.12380952380952381,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.
pibt_active_bag_replay,hold_when_sipp_moves,merge_group,12,0.11428571428571428,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.
fallback_event,hold_when_sipp_moves,merge_group,10,0.19607843137254902,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.
fallback_event,hold_when_sipp_moves,repair_window,10,0.19607843137254902,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.
pibt_active_bag_replay,hold_when_sipp_moves,static_fault,10,0.09523809523809523,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.
edge_score_event,hold_when_sipp_moves,merge_group,9,0.19148936170212766,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.
fallback_event,wrong_branch_vs_sipp,merge_group,9,0.17647058823529413,Collect SIPP teacher counterfactual slices and run feature ablations before RL.
edge_score_event,hold_when_sipp_moves,repair_window,8,0.1702127659574468,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.
edge_score_event,wrong_branch_vs_sipp,merge_group,7,0.14893617021276595,Collect SIPP teacher counterfactual slices and run feature ablations before RL.
fallback_event,repair_window_branch_gap,repair_window,7,0.13725490196078433,Generate fault/repair teacher slices and expose active repair-window features.
edge_score_event,repair_window_branch_gap,repair_window,6,0.1276595744680851,Generate fault/repair teacher slices and expose active repair-window features.
pibt_active_bag_replay,wrong_branch_vs_sipp,merge_group,6,0.05714285714285714,Collect SIPP teacher counterfactual slices and run feature ablations before RL.
pibt_active_bag_replay,repair_window_branch_gap,repair_window,5,0.047619047619047616,Generate fault/repair teacher slices and expose active repair-window features.
pibt_active_bag_replay,static_fault_branch_gap,static_fault,5,0.047619047619047616,Generate fault/repair teacher slices and expose active repair-window features.
edge_score_event,wrong_branch_vs_sipp,no_fault,4,0.0851063829787234,Collect SIPP teacher counterfactual slices and run feature ablations before RL.
fallback_event,hold_when_sipp_moves,no_fault,4,0.0784313725490196,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.
edge_score_event,hold_when_sipp_moves,no_fault,3,0.06382978723404255,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.
edge_score_event,hold_when_sipp_moves,static_fault,3,0.06382978723404255,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.
edge_score_event,no_safe_action_at_divergence,repair_window,3,0.06382978723404255,Audit safe-mask timing and add no-safe-action risk labels to the dataset.
fallback_event,no_safe_action_at_divergence,static_fault,3,0.058823529411764705,Audit safe-mask timing and add no-safe-action risk labels to the dataset.
fallback_event,wrong_branch_vs_sipp,no_fault,3,0.058823529411764705,Collect SIPP teacher counterfactual slices and run feature ablations before RL.
pibt_active_bag_replay,hold_when_sipp_moves,buffer_capacity,3,0.02857142857142857,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.
edge_score_event,no_safe_action_at_divergence,merge_group,2,0.0425531914893617,Audit safe-mask timing and add no-safe-action risk labels to the dataset.
fallback_event,no_safe_action_at_divergence,repair_window,2,0.0392156862745098,Audit safe-mask timing and add no-safe-action risk labels to the dataset.
edge_score_event,no_safe_action_at_divergence,no_fault,1,0.02127659574468085,Audit safe-mask timing and add no-safe-action risk labels to the dataset.
edge_score_event,static_fault_branch_gap,static_fault,1,0.02127659574468085,Generate fault/repair teacher slices and expose active repair-window features.
fallback_event,buffer_capacity_branch_gap,buffer_capacity,1,0.0196078431372549,Collect SIPP teacher counterfactual slices and run feature ablations before RL.
fallback_event,hold_when_sipp_moves,static_fault,1,0.0196078431372549,Train against SIPP next-hop rankings and add shortest-to-goal plus downstream reservation features.
fallback_event,no_safe_action_at_divergence,no_fault,1,0.0196078431372549,Audit safe-mask timing and add no-safe-action risk labels to the dataset.
