scenario,context,replay_variant,variant_mode,diagnostic_ablation,teacher_source,decision_ordinal,task_decision_ordinal,task_index,segment_id,task_id,source_line,current,goal,ready_time,candidate_next_nodes,safe_next_nodes,legacy_route_suffix,legacy_next,label_taxonomy,label_kind,label_next,hold_until_time,hold_duration,earliest_safe_time,earliest_hold_duration,earliest_safe_status,block_reason,block_reason_detail,label_source,post_label_safe,teacher_finish_time,branch_or_linear,fault_state,repair_state,merge_state,buffer_state,executed_kind,executed_next,edge_start,edge_end,node_start,node_end,terminal_reason,reroute_attempted,sipp_repair_attempted,g4a_primary_eligible
legacy_first16,no_fault,g3c_baseline_reproduction,baseline,False,python_faithful_legacy_astar_wait_horizon_audit,15,3,2,2:storage_in,2,4,18,47,8882.216299,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,8883.216299,1.0,8883.445453,1.2291540000005625,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8921.416298999999,linear,none,none,none,none,hold,18,,,8882.216299,8883.216299,,False,False,False
legacy_first16,no_fault,g3c_baseline_reproduction,baseline,False,python_faithful_legacy_astar_wait_horizon_audit,17,4,2,2:storage_in,2,4,18,47,8883.216299,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,8884.216299,1.0,8883.445453,0.22915400000056252,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8922.416298999999,linear,none,none,none,none,hold,18,,,8883.216299,8884.216299,,False,False,False
legacy_first16,no_fault,g3c_baseline_reproduction,baseline,False,python_faithful_legacy_astar_wait_horizon_audit,21,4,3,3:storage_in,3,5,18,47,8889.800872000002,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,8890.800872000002,1.0,8892.616299,2.815426999997726,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8929.000872,linear,none,none,none,none,hold,18,,,8889.800872000002,8890.800872000002,,False,False,False
legacy_first16,no_fault,g3c_baseline_reproduction,baseline,False,python_faithful_legacy_astar_wait_horizon_audit,22,5,3,3:storage_in,3,5,18,47,8890.800872000002,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,8891.800872000002,1.0,8892.616299,1.815426999997726,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8930.000872,linear,none,none,none,none,hold,18,,,8890.800872000002,8891.800872000002,,False,False,False
legacy_first16,no_fault,g3c_baseline_reproduction,baseline,False,python_faithful_legacy_astar_wait_horizon_audit,23,6,3,3:storage_in,3,5,18,47,8891.800872000002,22,,18 22 24 27 28 47,22,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,22,8892.800872000002,1.0,8892.616299,0.8154269999977259,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8931.000872,linear,none,none,none,none,hold,18,,,8891.800872000002,8892.800872000002,,False,False,False
legacy_first16,no_fault,g3c_baseline_reproduction,baseline,False,python_faithful_legacy_astar_wait_horizon_audit,25,6,2,2:storage_in,2,4,22,47,8893.616299,24 26,26,22 24 27 28 47,24,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,24,8894.616299,1.0,8894.845453,1.2291540000005625,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8923.416298999999,branch,none,none,none,none,hold,22,,,8893.616299,8894.616299,,False,False,False
legacy_first16,no_fault,g3c_baseline_reproduction,baseline,False,python_faithful_legacy_astar_wait_horizon_audit,26,7,2,2:storage_in,2,4,22,47,8894.616299,24 26,26,22 24 27 28 47,24,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,24,8895.616299,1.0,8894.845453,0.22915400000056252,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8924.416298999999,branch,none,none,none,none,hold,22,,,8894.616299,8895.616299,,False,False,False
legacy_first16,no_fault,g3c_baseline_reproduction,baseline,False,python_faithful_legacy_astar_wait_horizon_audit,30,8,3,3:storage_in,3,5,22,47,8902.200872000001,24 26,26,22 24 27 28 47,24,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,24,8903.200872000001,1.0,8906.016298999999,3.815426999997726,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8932.000872,branch,none,none,none,none,hold,22,,,8902.200872000001,8903.200872000001,,False,False,False
legacy_first16,no_fault,g3c_baseline_reproduction,baseline,False,python_faithful_legacy_astar_wait_horizon_audit,31,9,3,3:storage_in,3,5,22,47,8903.200872000001,24 26,26,22 24 27 28 47,24,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,24,8904.200872000001,1.0,8906.016298999999,2.815426999997726,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8933.000872,branch,none,none,none,none,hold,22,,,8903.200872000001,8904.200872000001,,False,False,False
legacy_first16,no_fault,g3c_baseline_reproduction,baseline,False,python_faithful_legacy_astar_wait_horizon_audit,32,10,3,3:storage_in,3,5,22,47,8904.200872000001,24 26,26,22 24 27 28 47,24,LEGACY_NEXT_TEMPORARILY_BLOCKED,hold,24,8905.200872000001,1.0,8906.016298999999,1.815426999997726,ok,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,8934.000872,branch,none,none,none,none,hold,22,,,8904.200872000001,8905.200872000001,,False,False,False
