scenario,context,replay_variant,variant_mode,diagnostic_ablation,hybrid_repair,max_tasks,planned_count,unplanned_count,decision_count,legacy_route_next_labels,route_intent_task_coverage,move_now_legacy_labels,wait_edge_capacity_labels,wait_edge_queue_labels,wait_node_capacity_labels,wait_merge_group_labels,wait_fault_repair_labels,wait_until_safe_labels,wait_executable_labels,reroute_now_legacy_labels,legacy_no_path_labels,temporarily_blocked_labels,globally_unsafe_labels,fallback_safe_labels,sipp_repair_labels,abstain_labels,route_intent_only_labels,primary_g4a_label_count,primary_g4a_label_coverage,branch_decision_count,branch_effective_label_coverage,unresolved_edge_capacity_cases,unresolved_edge_capacity_share_of_g3d,mean_wait_inserted,max_wait_inserted,mean_travel_time,p95_travel_time,p99_travel_time,late_count,max_lateness,makespan,node_reservation_conflicts,edge_reservation_conflicts,merge_group_conflicts,post_shield_conflicts,real_constraint_conflicts,label_taxonomy_distribution,block_reason_distribution
legacy_first16,no_fault,g3d_reroute_anchor,reroute,False,False,16,15,1,171,171,16,135,0,0,0,0,0,0,0,4,0,30,1,0,0,1,0,139,0.8128654970760234,72,0.875,32,0.059149722735674676,1.0,1.0,57.71999999999971,81.13999999999888,82.14799999999948,0,0.0,10753.88828,0,0,0,0,0,ABSTAIN_NO_TEACHER:1;LEGACY_NEXT_GLOBALLY_UNSAFE:1;LEGACY_NEXT_TEMPORARILY_BLOCKED:30;MOVE_NOW_LEGACY:135;REROUTE_NOW_LEGACY:4,edge_capacity:36
legacy_first16,no_fault,edge_release_wait_scheduler,edge_release_wait,False,False,16,15,1,125,118,16,97,21,0,0,0,0,0,21,0,7,0,0,0,0,0,0,118,0.944,55,1.0,0,0.0,2.459188407407055,9.599999999998545,51.21320579999907,60.99634999999744,65.5666219999977,0,0.0,10733.178849999998,0,0,0,0,0,LEGACY_NO_PATH:7;MOVE_NOW_LEGACY:97;WAIT_EDGE_CAPACITY:21,edge_capacity:21;legacy_astar_no_path:7
legacy_first16,no_fault,fifo_edge_queue_scheduler,fifo_queue,False,False,16,15,1,125,118,16,97,0,21,0,0,0,0,21,0,7,0,0,0,0,0,0,118,0.944,55,1.0,0,0.0,2.459188407407055,9.599999999998545,51.21320579999907,60.99634999999744,65.5666219999977,0,0.0,10733.178849999998,0,0,0,0,0,LEGACY_NO_PATH:7;MOVE_NOW_LEGACY:97;WAIT_EDGE_QUEUE:21,edge_capacity:21;legacy_astar_no_path:7
legacy_first16,no_fault,capacity_wait_budget_5s,wait_budget,False,False,16,15,1,125,118,16,97,21,0,0,0,0,0,21,0,7,0,0,0,0,0,0,118,0.944,55,1.0,0,0.0,2.459188407407055,9.599999999998545,51.21320579999907,60.99634999999744,65.5666219999977,0,0.0,10733.178849999998,0,0,0,0,0,LEGACY_NO_PATH:7;MOVE_NOW_LEGACY:97;WAIT_EDGE_CAPACITY:21,edge_capacity:21;legacy_astar_no_path:7
legacy_first16,no_fault,capacity_wait_budget_10s,wait_budget,False,False,16,15,1,125,118,16,97,21,0,0,0,0,0,21,0,7,0,0,0,0,0,0,118,0.944,55,1.0,0,0.0,2.459188407407055,9.599999999998545,51.21320579999907,60.99634999999744,65.5666219999977,0,0.0,10733.178849999998,0,0,0,0,0,LEGACY_NO_PATH:7;MOVE_NOW_LEGACY:97;WAIT_EDGE_CAPACITY:21,edge_capacity:21;legacy_astar_no_path:7
legacy_first16,no_fault,capacity_wait_budget_30s,wait_budget,False,False,16,15,1,125,118,16,97,21,0,0,0,0,0,21,0,7,0,0,0,0,0,0,118,0.944,55,1.0,0,0.0,2.459188407407055,9.599999999998545,51.21320579999907,60.99634999999744,65.5666219999977,0,0.0,10733.178849999998,0,0,0,0,0,LEGACY_NO_PATH:7;MOVE_NOW_LEGACY:97;WAIT_EDGE_CAPACITY:21,edge_capacity:21;legacy_astar_no_path:7
legacy_first16,no_fault,capacity_wait_budget_60s,wait_budget,False,False,16,15,1,125,118,16,97,21,0,0,0,0,0,21,0,7,0,0,0,0,0,0,118,0.944,55,1.0,0,0.0,2.459188407407055,9.599999999998545,51.21320579999907,60.99634999999744,65.5666219999977,0,0.0,10733.178849999998,0,0,0,0,0,LEGACY_NO_PATH:7;MOVE_NOW_LEGACY:97;WAIT_EDGE_CAPACITY:21,edge_capacity:21;legacy_astar_no_path:7
legacy_first16,no_fault,route_intent_only_teacher,route_intent,False,False,16,0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,ROUTE_INTENT_LEGACY:16,none
legacy_first16,no_fault,hybrid_executable_teacher,hybrid,False,True,16,15,1,125,118,16,97,21,0,0,0,0,0,21,0,7,0,0,0,0,0,0,118,0.944,55,1.0,0,0.0,2.459188407407055,9.599999999998545,51.21320579999907,60.99634999999744,65.5666219999977,0,0.0,10733.178849999998,0,0,0,0,0,LEGACY_NO_PATH:7;MOVE_NOW_LEGACY:97;WAIT_EDGE_CAPACITY:21,edge_capacity:21;legacy_astar_no_path:7
legacy_first16_buffer2,buffer_capacity,g3d_reroute_anchor,reroute,False,False,16,15,1,171,171,16,135,0,0,0,0,0,0,0,4,0,30,1,0,0,1,0,139,0.8128654970760234,72,0.875,32,0.059149722735674676,1.0,1.0,57.71999999999971,81.13999999999888,82.14799999999948,0,0.0,10753.88828,0,0,0,0,0,ABSTAIN_NO_TEACHER:1;LEGACY_NEXT_GLOBALLY_UNSAFE:1;LEGACY_NEXT_TEMPORARILY_BLOCKED:30;MOVE_NOW_LEGACY:135;REROUTE_NOW_LEGACY:4,edge_capacity:36
