criterion,status,evidence,decision_if_failed
teacher_planned_scope_success,PASS,4449,do_not_escalate_to_rl_or_bigger_model
node_window_conflicts_zero,PASS,0,do_not_escalate_to_rl_or_bigger_model
runtime_full_cie_astar_zero,PASS,0,do_not_escalate_to_rl_or_bigger_model
forbidden_feature_audit_pass,PASS,"[""PASS"", ""PASS"", ""PASS"", ""PASS"", ""PASS"", ""PASS"", ""PASS""]",do_not_escalate_to_rl_or_bigger_model
beats_model_only_on_key_metric,PASS,route_exact 3097 vs 2850; wait 1.0732253753656846 vs 1.281377480557331,do_not_escalate_to_rl_or_bigger_model
beats_pibt_lite_only_on_key_metric,PASS,planned 4449 vs 582; loop_deadlock 0 vs 3867,do_not_escalate_to_rl_or_bigger_model
loop_deadlock_cases_zero,PASS,0,do_not_escalate_to_rl_or_bigger_model
avg_no_progress_below_threshold,PASS,0.49763992,do_not_escalate_to_rl_or_bigger_model
task_1024_windows_stable,PASS,1024 stress rows,do_not_escalate_to_rl_or_bigger_model
smoke_2048_4096_no_catastrophic_failure,PASS,2048/4096 smoke,do_not_escalate_to_rl_or_bigger_model
teacher_no_path_boundary_preserved,PASS,47,do_not_escalate_to_rl_or_bigger_model
overall_g4g_gate,PASS,recommend G4H C++ runtime,do_not_escalate_to_rl_or_bigger_model
